DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5550965;1;2;1;70;2;3;48;1;;2;3;1;;3;2;1;;;;;;;;;;;1;1;280000;908600;2;;10;45;55;1;1;09;1081;68;2105.2640588
5550966;1;1;1;70;2;8;54;1;;2;8;1;;9;2;1;;;;;;;;;;;1;2;;1500000;2;;09;98;99;1;1;09;0990;68;2105.2640588
5550967;1;2;1;70;2;104;48;1;;2;104;1;;2;2;2;;;;;;;;;;;1;2;;908600;2;;56;59;53;1;2;09;5630;68;2105.2640588
5550974;1;2;1;70;2;32;48;4;;2;32;4;;1;2;1;;;;;;;;;;;1;2;;700000;2;;01;61;61;1;2;09;0161;15;711.01002639
5550976;1;1;1;70;2;2;40;3;;2;2;4;;1;2;1;;;;;;;;;;;1;1;400000;908700;2;;01;54;61;1;1;09;0161;15;730.59251697
5553740;1;1;1;70;2;4;48;4;;2;4;8;;2;2;1;;;;;;;;;;;1;1;220000;907000;2;;01;61;62;1;1;09;0141;68;684.74959295
5553873;1;1;1;70;2;4;48;1;;2;4;1;;9;2;1;;;;;;;;;;;1;1;2000000;960000;2;;06;58;87;1;1;09;0610;68;2105.2640588
5553877;1;3;1;70;2;14;48;1;;2;14;1;;4;2;1;;;;;;;;;;;1;2;;1000000;2;;56;45;53;1;2;09;5611;68;526.3160147
5553878;1;3;1;70;2;14;40;1;;1;;;;;;;;.;;;;;;;;.;;;;950000;;;;53;;1;2;09;.;68;1699.0289503
5553918;1;1;1;70;2;3;40;1;;2;5;1;;3;2;1;;;;;;;;;;;1;2;;600000;2;;10;62;62;1;1;09;1072;15;2279.4231886
5553936;1;1;1;70;2;2;48;4;;2;2;4;;3;2;1;;;;;;;;;;;1;1;100000;600000;2;;01;62;62;1;1;09;0124;15;2844.0401055
5554749;1;3;1;70;2;8;48;1;;2;52;3;;1;2;1;;;;;;;;;;;1;2;;970000;2;;97;45;54;1;1;09;9700;41;1912.5991568
5554786;1;1;1;70;2;30;44;1;;2;30;4;;1;2;1;;;;;;;;;;;1;2;;900000;2;;81;53;54;1;2;09;8121;50;2738.9983718
5554788;1;2;1;70;2;3;50;1;;2;3;1;;3;2;1;;;;;;;;;;;1;1;780000;950000;2;;41;95;95;1;1;09;4111;50;684.74959295
5554790;1;1;1;70;2;3;48;4;;2;3;4;;1;2;1;;;;;;;;;;;1;1;900000;900000;2;;81;54;54;1;1;09;8121;50;1708.8602198
5554791;1;1;1;70;2;24;48;1;;2;24;1;;4;2;1;;;;;;;;;;;1;2;;600000;2;;01;53;53;1;2;09;0112;50;2738.9983718
5554792;1;1;1;70;2;104;48;1;;2;104;1;;2;2;1;;;;;;;;;;;1;2;;300000;2;;81;55;55;1;2;09;8121;50;684.74959295
5555888;1;2;1;70;2;20;48;1;;2;20;1;;6;2;1;;;;;;;;;;;1;2;;600000;2;;64;33;33;1;2;09;6499;47;8587.5607951
5556057;1;1;1;70;2;16;40;1;;2;16;1;;2;2;1;;;;;;;;;;;1;1;110000;1000000;2;;47;45;45;1;2;09;4719;52;2065.7657368
5556064;1;1;1;70;2;52;40;8;;2;52;8;;2;2;7;;;;;;;;;;;1;2;;300000;2;;01;60;60;1;2;09;0123;52;1585.4949437
5556086;1;1;1;70;2;16;48;1;;2;106;1;;2;2;1;;;;;;;;;;;1;1;200000;800000;2;;47;45;45;1;2;09;4711;52;3416.420951
5556091;1;5;1;70;2;24;48;1;;2;72;1;;9;2;1;;;;;;;;;;;1;2;;908526;2;;80;32;32;1;2;09;8010;52;1585.4949437
