DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5544838;1;1;1;70;05;60;48;1;;2;86;4;;2;2;1;;;;;;;;;;;1;2;;908526;2;;56;53;53;1;2;5619;09;05;880.2585807
5544843;1;2;1;70;05;12;48;4;;2;36;1;;3;2;2;;;;;;;;;;;1;2;;1000000;2;;69;03;32;1;1;6910;09;05;1194.591743
5544845;1;5;1;70;05;1;48;1;;2;1;1;;7;2;3;;;;;;;;;;;1;2;;908526;2;;41;84;95;1;1;4111;09;05;2862.2013931
5544846;1;4;1;70;05;24;48;1;;2;24;1;;6;2;1;;;;;;;;;;;1;2;;908526;2;;14;79;79;1;2;1410;09;05;1071.3788705
5544847;1;4;1;70;05;32;48;3;;2;34;1;;2;2;4;;;;;;;;;;;1;2;;908526;2;;56;54;52;1;2;5619;09;05;1183.979828
5544850;1;1;1;70;05;32;66;4;;2;32;4;;1;2;2;;;;;;;;;;;1;2;;1000000;2;;47;41;41;1;2;4729;09;05;1399.1903717
5544851;1;2;1;70;05;2;48;1;;2;32;3;;1;2;1;;;;;;;;;;;1;2;;908526;2;;97;38;54;1;1;9700;09;05;979.94689872
5544852;1;1;1;70;05;58;48;3;;2;8;3;;1;2;1;;;;;;;;;;;1;1;55000;908526;2;;97;54;54;1;2;9700;09;05;1468.8084746
5544856;1;2;1;70;05;8;48;3;;2;10;3;;1;2;1;;;;;;;;;;;1;2;;908526;2;;97;54;54;1;1;9700;09;05;2051.3301986
5544868;1;4;1;70;05;8;48;1;;2;20;1;;4;2;1;;;;;;;;;;;1;2;;908526;2;;46;97;97;1;1;4669;09;05;726.43637944
