DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5544574;1;3;1;80;;1;2;;;;2;;;.;2;;2;;;;;2;1;09;;68;2537.9604021
5544575;1;3;1;80;;1;2;;;;2;;;.;;;2;;;;;;1;09;;68;5342.7236543
5544576;1;2;1;80;;1;1;7;;2;;;9;;2;;2;;1;48;1000000;2;1;09;3;68;2953.5913417
5544577;1;2;1;80;;1;1;4;;2;;;4;;2;;2;;;;;2;1;09;4;68;2537.9604021
5544578;1;1;1;80;;1;1;8;;1;;1;5;;2;;2;;;;;2;1;09;2;68;4239.1111618
5544579;1;3;1;80;;1;2;;;;1;1;2;;2;;2;;1;24;700000;2;1;09;;68;5301.7411548
5544579;1;4;1;80;;1;2;;;;2;;;.;;;2;;;;;;1;09;;68;5301.7411548
5544582;1;1;1;80;;1;1;4;;1;;2;8;;2;;1;150000;;;1300000;2;1;09;1.1;68;3066.6609994
5544583;1;1;1;80;;1;1;4;;2;;;8;;2;;2;;;;;2;1;09;4;68;1907.4866122
5544583;1;2;1;80;;1;1;5;;2;;;10;;3;;2;;;;;3;1;09;4;68;1907.4866122
5544584;1;1;1;80;;1;1;4;;2;;;4;;2;;2;;1;48;908526;2;1;09;2;68;1868.1378462
5544584;1;2;1;80;;1;1;4;;2;;;4;;2;;2;;;;;2;1;09;4;68;1868.1378462
5544587;1;1;1;80;;1;1;7;;2;;;10;;3;;2;;;;;3;1;09;3;68;1868.1378462
5544587;1;3;1;80;;1;2;;;;2;;;.;2;;2;;;;;2;1;09;;68;1868.1378462
5544588;1;1;1;80;;1;1;3;;2;;;9;;2;;2;;;;;2;1;09;4;68;2060.12067
5544588;1;3;1;80;;1;2;;;;1;2;2;;2;;2;;1;24;454263;2;1;09;;68;2060.12067
5544588;1;6;1;80;;1;1;4;;2;;;8;;2;;2;;;;;2;1;09;4;68;2060.12067
5544588;1;8;1;80;;1;1;4;;2;;;8;;2;;2;;;;;2;1;09;4;68;2060.12067
5544589;1;3;1;80;;1;2;;;;2;;;.;;;2;;;;;;1;09;;68;3862.2943895
