DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;AREA;ESC;DPTO;fex_c_2011;P6030S1;P6030S3
1072236;1;1;1;10;1;2;1;56;1;6;1; ; ;1;2;61000;2;1;2; ;3;2; ;05;2;05;741,639917123516;5;1952
1072236;1;2;1;10;2;2;1;72;5;6;1; ; ;1;2;64000;2;1;2; ;3;5; ;05;5;05;741,639917123516;10;1936
1072237;1;1;1;10;1;2;1;81;1;5;1; ; ;3; ; ;1;1;2; ;3;3; ;05;3;05;469,052392446422;6;1927
1072237;1;2;1;10;2;2;1;20;4;6;1; ; ;3; ; ;2;1;2; ;5;11;2;05;11;05;469,052392446422;9;1988
1072237;1;3;1;10;2;2;1;0;5; ;1; ; ;1;5; ;2; ; ; ; ; ; ;05; ;05;469,052392446422;6;2008
1072237;1;4;1;10;2;2;1;12;4;6;1; ; ;3; ; ;2;2;1;1;3;0; ;05;0;05;469,052392446422;6;1996
1072237;1;5;1;10;5;2;1;7;4; ;1; ; ;3; ; ;2;1;2; ;3;2; ;05;2;05;469,052392446422;7;2001
1072238;1;1;1;10;1;1;1;43;1;4;1; ; ;1;1;32000;2;1;2; ;3;5; ;05;5;05;1060,91612939857;11;1965
1072238;1;2;1;10;2;2;1;34;5;4;1; ; ;1;4; ;2;1;2; ;3;5; ;05;5;05;1060,91612939857;5;1974
1072238;1;3;1;10;2;2;1;6;5; ;1; ; ;1;5; ;2;1;1;1;3;0; ;05;0;05;1060,91612939857;7;2002
1072241;1;1;1;10;1;2;1;35;1;6;1; ; ;1;1;92000;2;1;2; ;6;4;4;05;15;05;1041,80757100507;1;1974
1072241;1;2;1;10;1;1;1;9;3; ;1; ; ;1;5; ;2;1;1;1;3;3; ;05;3;05;1041,80757100507;1;2000
1072241;1;3;1;10;3;1;1;26;5;6;1; ; ;3; ; ;2;1;1;2;6;0;2;05;11;05;1041,80757100507;12;1982
1072242;1;1;1;10;1;1;1;53;1;3;1; ; ;1;1;120000;2;1;2; ;6;6;4;05;17;05;1009,19076767812;12;1955
1072242;1;2;1;10;2;2;1;49;2;3;1; ; ;1;5; ;1;1;2; ;5;11;2;05;11;05;1009,19076767812;2;1960
1072242;1;3;1;10;3;2;1;19;3;6;1; ; ;1;5; ;2;1;1;2;6;0;2;05;11;05;1009,19076767812;7;1989
1072242;1;4;1;10;4;2;1;13;3;6;1; ; ;1;5; ;2;1;1;2;4;7; ;05;7;05;1009,19076767812;7;1995
1072243;1;1;1;10;1;1;1;48;1;3;1; ; ;1;5; ;2;1;2; ;6;5;4;05;16;05;905,058626932189;8;1960
1072243;1;2;1;10;2;2;1;38;2;3;1; ; ;1;1;88000;2;1;2; ;6;5;4;05;16;05;905,058626932189;6;1970
1072243;1;3;1;10;2;1;1;8;3; ;1; ; ;1;5; ;2;1;1;2;3;2; ;05;2;05;905,058626932189;5;2000
1072243;1;4;1;10;2;1;1;3;3; ;1; ; ;1;5; ;2;2;1;2;2;0; ;05;0;05;905,058626932189;5;2005
1072244;1;1;1;10;1;2;1;59;1;4;1; ; ;2;1;78000;2;1;2; ;6;5;4;05;16;05;824,151231071771;12;1949
1072244;1;2;1;10;2;1;1;20;3;6;1; ; ;1;1;19600;2;1;1;1;6;1;2;05;12;05;824,151231071771;2;1989
1072245;1;1;1;10;1;2;1;66;1;5;1; ; ;1;5; ;2;1;2; ;3;3; ;05;3;05;808,430111135361;12;1942
1072245;1;2;1;10;2;1;1;22;3;6;1; ; ;1;1;30000;2;1;1;1;6;0;2;05;11;05;808,430111135361;11;1986
1072245;1;3;1;10;3;1;1;20;4;6;1; ; ;1;5; ;2;1;1;2;6;0;3;05;11;05;808,430111135361;4;1988
1072247;1;1;1;10;1;1;1;38;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ;05;5;05;1093,87364137803;10;1970
1072247;1;2;1;10;2;2;1;37;2;1;2;1;4; ; ; ;2;1;2; ;6;5;4;05;16;05;1093,87364137803;6;1971
1072247;1;3;1;10;2;2;1;14;3;6;1; ; ;1;5; ;2;1;1;1;4;8; ;05;8;05;1093,87364137803;8;1994
1072249;1;1;1;10;1;1;1;55;1;3;1; ; ;1;3;62000;2;1;2; ;5;11;2;05;11;05;1036,33029974529;2;1954
1072249;1;2;1;10;2;2;1;55;2;3;1; ; ;1;2;170000;2;1;2; ;4;8; ;05;8;05;1036,33029974529;8;1953
1072249;1;3;1;10;3;1;1;31;3;6;1; ; ;1;3;62000;2;1;2; ;6;3;3;05;14;05;1036,33029974529;7;1977
