DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;P5070;DPTO;ORDEN;fex_c_2011
1072265;1;4;3;1;1;1;1;4;3; ; ; ; ;200000;1;1;2;2;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;05;1;924,167185325685
1072267;1;3;2;1;1;1;1;3;1; ; ;50000000;250000; ;1;1;2;1;1;1;1;1;1;1;1;2;1;2;2;2;1;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;799,239176901126
1072269;1;2;1;1;1;1;1;3;3; ; ; ; ;180000;1;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;1050,65069415032
1072271;1;3;2;1;1;1;1;4;3; ; ; ; ;450000;1;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1147,11427520513
1072272;1;4;1;1;1;1;1;1;4; ; ; ;350000; ;1;1;2;1;1;2;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1178,55651507795
1072273;1;3;1;1;1;1;1;3;2; ;600000;90000000;600000; ;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;2;2;1;2;1;2;1;4;1;1;1;1;1;4;2;1;01;05;1;05;1;1178,55651507795
1072274;1;3;2;1;1;1;1;3;2; ;750000;90000000;650000; ;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;2;2;1;2;1;2;1;4;1;1;1;1;1;4;2;1;01;05;1;05;1;1050,28948588406
1072275;1;5;3;1;1;1;1;3;2; ;600000;130000000;650000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;2;1;2;1;4;1;1;1;1;1;4;2;1;01;05;1;05;1;1078,15252144162
1072276;1;4;1;1;1;1;1;3;2; ;680000;100000000;600000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;2;1;4;1;1;1;1;1;4;2;1;01;05;1;05;1;1178,55651507795
1072278;1;2;1;1;2;1;1;3;4; ; ; ;150000; ;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;05;1;469,052392446422
1072278;2;1;1;1;2;1;1;3;4; ; ; ;120000; ;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;05; ;05;1;469,052392446422
1072280;1;3;2;1;1;1;1;3;3; ; ; ; ;240000;1;1;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;1;05;1;700,951847183639
1072281;1;5;2;1;1;1;1;3;1; ; ;30000000;250000; ;1;1;2;1;1;1;1;1;2;1;1;2;1;2;2;2;2;1;2;2;1;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;1178,55651507795
1072282;1;3;2;3;1;1;1;3;3; ; ; ; ;200000;1;1;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;2;1;1;2;2;1;01;05;1;05;1;881,28494675049
1072283;1;6;5;1;1;1;1;3;3; ; ; ; ;250000;1;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;1277,16482476827
1072284;1;6;4;1;1;1;1;4;3; ; ; ; ;270000;1;1;1;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1093,87364137803
1072285;1;3;1;1;1;1;1;3;1; ; ;20000000;150000; ;1;2;2;2;1;1;2;2;1;2;1;2;2;2;2;1;2;2;2;2;1;1;2;1;2;1;1;1;1;1;2;2;1;01;05;1;05;1;839,87235100818
1072286;1;3;2;1;1;1;1;1;1; ; ;45000000;300000; ;1;2;2;1;2;1;1;1;1;2;1;1;1;1;2;2;2;1;2;1;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1162,83539514154
1072287;1;3;1;1;1;1;1;4;3; ; ; ; ;420000;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1178,55651507795
1072288;1;2;1;1;1;1;1;1;1; ; ;13000000;120000; ;1;1;2;1;1;1;2;2;2;1;1;1;1;2;2;2;1;1;1;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;05;1;1178,55651507795
1072289;1;6;3;1;1;1;1;3;1; ; ;100000000;450000; ;1;1;2;1;1;1;1;2;1;1;1;1;1;1;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;1012,12726492989
1072290;1;4;1;1;1;1;1;3;1; ; ;80000000;350000; ;1;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;839,87235100818
1072291;1;3;2;1;1;1;1;3;1; ; ;120000000;250000; ;1;1;2;2;1;1;1;1;2;1;1;1;1;2;2;2;2;2;2;2;1;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;706,422199411199
1072291;2;3;2;1;1;1;1;4;4; ; ; ;150000; ;1;1;1;2;1;1;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;05; ;05;1;706,422199411199
1072295;1;6;2;1;1;1;1;3;1; ; ;150000000;600000; ;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;908,424478817667
1072296;1;6;4;1;1;1;1;3;1; ; ;120000000;450000; ;1;1;2;1;1;1;1;2;2;1;1;1;2;1;2;2;2;2;2;2;1;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;812,725899908789
1072298;1;4;1;1;1;1;1;3;1; ; ;25000000;200000; ;1;1;2;2;1;1;1;2;2;1;1;1;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;05;1;933,010308470938
1072299;1;5;3;1;1;1;1;4;3; ; ; ; ;400000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;1009,19076767812
1072300;1;3;1;1;1;1;1;1;3; ; ; ; ;180000;1;1;2;1;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1041,80757100507
1072301;1;5;2;1;1;1;1;1;3; ; ; ; ;190000;1;2;2;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;967,778171935807
1072302;1;4;3;1;1;1;1;3;1; ; ;50000000;250000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;960,51213576224
1072303;1;4;2;1;1;1;1;1;3; ; ; ; ;230000;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;1;2;1;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;1041,80757100507
1072304;1;5;3;1;1;1;1;1;3; ; ; ; ;300000;1;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1045,55621772842
1072305;1;4;3;1;1;1;1;4;3; ; ; ; ;600000;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;829,218876377526
1072307;1;5;3;1;1;1;1;4;4; ; ; ;500000; ;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;2;2;2;1;1;2;1;1;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1164,23612067292
1072308;1;3;2;1;1;1;1;3;3; ; ; ; ;700000;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;4;2;1;01;05;1;05;1;771,675534744787
1072309;1;4;3;1;1;1;1;4;4; ; ; ;150000; ;1;1;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;05;1;1064,60296125688
1072310;1;5;2;1;1;1;1;4;3; ; ; ; ;400000;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;1;2;1;2;1;4;1;2;1;1;1;4;2;1;01;05;1;05;1;1034,92957421391
1072311;1;4;2;1;1;1;1;3;3; ; ; ; ;600000;1;1;2;1;1;1;1;2;1;1;1;1;1;1;2;2;2;2;1;1;2;1;2;1;4;1;1;1;1;1;4;2;1;01;05;1;05;1;1291,10242433543
1072313;1;4;3;1;1;1;1;4;3; ; ; ; ;500000;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;1;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1078,15252144162
1072314;1;2;1;1;1;1;1;1;3; ; ; ; ;100000;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;2;05;1;924,167185325685
1072315;1;5;4;1;1;1;1;3;3; ; ; ; ;200000;1;1;2;1;1;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;05;1;1092,10478854818
1072316;1;1;1;1;1;1;1;1;3; ; ; ; ;150000;2;1;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;2;05;1;881,28494675049
1072317;1;4;2;1;1;1;1;4;3; ; ; ; ;180000;1;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;05;1;829,218876377526
1072318;1;3;2;1;1;1;1;1;2; ;543000;45000000;250000; ;1;2;1;1;1;1;1;2;2;2;1;1;2;1;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1034,92957421391
1072320;1;3;2;1;1;1;1;4;3; ; ; ; ;250000;1;2;2;2;2;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;3;2;1;01;05;1;05;1;1045,55621772842
1072321;1;4;3;1;1;1;1;3;2; ;170000;45000000;300000; ;2;1;2;2;1;1;1;1;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;1060,91612939857
1072322;1;4;2;1;1;1;1;3;2; ;250000;40000000;280000; ;1;1;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;1060,91612939857
1072323;1;3;2;1;1;1;1;4;3; ; ; ; ;290000;1;1;2;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;863,687346441172
1072324;1;1;1;1;1;1;1; ;3; ; ; ; ;100000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;4;1;2;1;1;1;3;2;1;01;05;6;05;1;1066,01060582047
