DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;fex_c_2011
1072237;1;2;1;70;05;5;48;1; ;2;5;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;650000;2;45;45;36;1;1;3699;05;469,052392446422
1072241;1;3;1;70;05;4;42;1; ;2;36;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;92;17;1;1;1730;05;1041,80757100507
1072243;1;1;1;70;05;8;48;4; ;2;14;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;81;81;36;1;1;3611;05;905,058626932189
1072247;1;2;1;70;05;12;48;2; ;2;16;2; ;9;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8011;05;1093,87364137803
1072250;1;1;1;70;05;24;48;1; ;2;24;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;05;1036,33029974529
1072250;1;2;1;70;05;8;48;1; ;2;48;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;54;95;1;1;9500;05;1036,33029974529
1072250;1;3;1;70;05;16;48;1; ;2;16;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;50;1;2;5051;05;1036,33029974529
1072260;1;3;1;70;05;3;42;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;05;525,083978798305
1072260;1;5;1;70;05;1;50;1; ;2;4;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;75;1;1;7522;05;525,083978798305
1072264;1;3;1;70;05;12;48;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5249;05;654,397444289528
1072278;1;2;1;70;05;5;48;3; ;2;8;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;05;469,052392446422
1072280;1;1;1;70;05;52;48;1; ;2;14;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5249;05;700,951847183639
1072284;1;2;1;70;05;36;48;1; ;2;36;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;37;74;1;2;7492;05;1093,87364137803
1072286;1;2;1;70;05;12;48;1; ;2;72;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;58;58;74;1;1;7492;05;1162,83539514154
1072288;1;1;1;70;05;20;48;1; ;2;32;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;55;1;2;5529;05;1178,55651507795
1072291;1;2;1;70;05;52;48;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;39;39;74;1;2;7499;05;706,422199411199
1072291;2;1;2;70;05;156;48;1; ;2;156;1; ;9;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2;97;97;18;1;2;1810;05;706,422199411199
1072296;1;3;1;70;05;9;48;1; ;2;10;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;53;55;1;1;5521;05;812,725899908789
1072301;1;2;1;70;05;32;48;1; ;2;32;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;05;967,778171935807
1072302;1;3;1;70;05;8;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;05;960,51213576224
1072314;1;1;1;70;05;8;48;1; ;2;8;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;05;924,167185325685
1072315;1;2;1;70;05;12;48;1; ;2;12;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;45;52;1;1;5221;05;1092,10478854818
1072317;1;1;1;70;05;3;60;4; ;2;3;4; ;1;7; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;79;18;18;1;1;1810;05;829,218876377526
1072322;1;2;1;70;05;40;48;1; ;2;40;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;33;51;1;2;5132;05;1060,91612939857
1072330;1;6;1;70;05;20;48;1; ;2;20;8; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;62;01;1;2;0111;05;503,799546630677
