DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,CLASE,P5070,DPTO,ORDEN,fex_c_2011
638637,1,2,1,1,1,1,1,4,3,,,,,200000,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,4,1,2,1,1,1,2,1,1,1,2,1,25,1,228.433.111.831.918
638639,1,2,2,2,1,1,1,4,4,,,,100000,,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,2,1,1,2,1,2,1,2,1,25,1,220.144.255.922.087
638640,1,1,1,2,1,1,1,4,4,,,,80000,,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,4,1,4,1,2,2,1,1,2,1,2,1,2,2,25,1,228.433.111.831.918
638642,1,3,1,2,1,1,1,4,1,,,20000000,200000,,1,2,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,4,1,2,2,1,1,2,1,1,1,2,1,25,1,158.037.441.879.026
638644,1,3,3,2,1,1,6,4,4,,,,150000,,1,2,2,2,1,1,1,2,2,1,1,2,1,1,2,2,2,2,1,1,2,1,1,1,4,1,2,2,1,2,2,1,,1,2,1,25,1,22.797.938.713.896
638646,1,3,2,2,1,1,1,4,4,,,,100000,,1,2,2,1,1,1,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,1,1,1,6,1,2,2,1,1,2,1,1,1,2,1,25,1,212.309.124.705.214
638649,1,3,2,2,1,4,6,4,3,,,,,100000,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,4,1,2,2,2,2,1,,,1,2,1,25,1,18.661.985.711.476
638654,1,6,1,2,1,4,4,4,1,,,2000000,200000,,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,4,1,2,2,2,2,3,,,1,2,1,25,1,143.556.915.693.938
638655,1,2,1,2,1,4,6,5,4,,,,120000,,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,3,2,1,2,2,2,2,2,,,1,2,1,25,1,35.734.514.326.043
638658,1,1,1,2,1,5,6,,4,,,,100000,,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,,,1,2,6,25,1,319.730.977.133.431
638666,1,4,2,2,1,4,1,4,4,,,,100000,,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,,1,1,2,1,25,1,222.891.595.026.181
638668,1,4,3,1,1,4,1,5,1,,,20000000,100000,,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,4,1,2,1,2,1,2,,1,1,2,1,25,1,145.084.827.523.685
638673,1,4,2,1,1,4,1,4,1,,,40000000,200000,,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,1,2,1,1,1,4,1,2,1,2,1,2,,1,1,2,1,25,1,119.507.791.076.443
638675,1,4,2,2,1,1,1,4,1,,,30000000,300000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,3,1,2,2,1,1,4,1,1,1,2,1,25,1,136.257.488.170.178
638677,1,4,3,2,1,1,1,4,4,,,,250000,,2,2,2,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,4,1,2,2,1,1,3,1,1,1,2,1,25,1,254.530.793.883.121
638679,1,4,3,2,1,1,1,4,1,,,30000000,300000,,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,1,1,1,4,1,2,2,1,1,4,1,1,1,2,1,25,1,136.872.501.237.091
638681,1,1,1,2,2,4,2,4,4,,,,200000,,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,3,1,2,2,2,2,2,,,1,2,3,25,1,184.411.730.986.055
638684,1,2,1,2,1,4,1,4,4,,,,200000,,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,,1,1,2,1,25,1,327.791.066.561.151
638695,1,5,3,1,1,4,1,6,1,,,50000000,230000,,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,3,1,2,1,2,1,2,,1,1,2,1,25,1,119.507.791.076.443
638696,1,2,1,1,1,4,1,4,3,,,,,150000,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,4,1,2,1,2,1,2,,1,1,2,1,25,1,206.382.850.948.822
638701,1,1,1,2,1,4,1,,4,,,,100000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,1,2,1,1,1,2,6,25,1,319.730.977.133.431
638702,1,2,1,2,1,1,1,4,3,,,,,150000,1,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,2,1,1,2,1,1,1,2,1,25,1,278.489.912.226.698
638703,1,3,2,2,1,1,1,5,4,,,,200000,,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,25,1,265.113.264.204.088
638705,1,3,3,2,1,1,2,4,4,,,,200000,,2,2,2,2,1,1,1,2,2,1,1,2,1,2,2,2,2,1,1,2,2,1,1,1,2,1,2,2,1,2,3,1,,1,2,1,25,1,22.797.938.713.896
