DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;CLASE;P7510S7A1;P7510S7;DPTO;fex_c_2011
905156;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;659.199.650.583.717
905156;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;659.199.650.583.717
905156;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;659.199.650.583.717
905156;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;659.199.650.583.717
905159;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;496.047.519.798.277
905159;1;2;1;95;2;;;;;;;;1;1;2;;;;110000;;2;2;2;2;;2;13;496.047.519.798.277
905159;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;496.047.519.798.277
905163;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;379.482.910.131.825
905163;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;379.482.910.131.825
905165;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;240.070.163.001.841
905165;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;240.070.163.001.841
905236;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;358.332.247.078.649
905237;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;238.297.165.577.728
905238;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;209.259.067.135.078
905238;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;209.259.067.135.078
905240;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;197.467.133.458.816
905240;1;2;1;95;2;;;;;;;;1;1;2;;;;30000;;2;2;2;2;;2;13;197.467.133.458.816
905248;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;476.181.672.071.264
