DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;AREA;ESC;DPTO;fex_c_2011
885452;1;2;1;10;1;2;1;11;2004;3;3;;1;;;3;;;1;2;2;;1;0;;5;0;5;218.088.638.353.384
885453;1;1;1;10;1;2;1;9;1959;49;1;3;1;;;1;5;;2;1;2;;3;5;;5;5;5;730.926.642.505.878
885453;1;2;1;10;2;1;1;2;1956;52;2;3;1;;;1;1;39000;2;1;2;;4;6;;5;6;5;730.926.642.505.878
885453;1;3;1;10;3;1;1;3;1984;24;3;6;1;;;1;1;22000;2;1;2;;5;11;2;5;11;5;730.926.642.505.878
885453;1;4;1;10;4;1;1;3;1985;23;3;6;1;;;1;1;18500;2;1;2;;5;11;2;5;11;5;730.926.642.505.878
885455;1;1;1;10;1;1;1;12;1949;58;1;3;1;;;1;1;18000;2;1;2;;5;11;2;5;11;5;650.359.798.913.589
885455;1;2;1;10;2;2;1;3;1964;44;2;3;1;;;1;5;;2;1;2;;3;5;;5;5;5;650.359.798.913.589
885455;1;3;1;10;3;1;1;11;1983;24;3;6;1;;;1;1;40000;1;1;2;;5;11;2;5;11;5;650.359.798.913.589
885455;1;4;1;10;4;2;1;10;1986;21;3;6;1;;;1;1;18500;2;1;2;;5;11;2;5;11;5;650.359.798.913.589
885455;1;5;1;10;5;2;1;1;1991;17;3;6;1;;;1;5;;2;1;1;2;6;0;2;5;11;5;650.359.798.913.589
885455;1;6;1;10;1;2;1;6;1998;10;3;6;1;;;1;5;;2;1;1;1;3;3;;5;3;5;650.359.798.913.589
885456;1;1;1;10;1;1;1;12;1975;32;1;1;1;;;1;1;72000;2;1;2;;6;3;3;5;14;5;764.508.650.884.198
885456;1;2;1;10;2;2;1;10;1971;37;2;1;2;1;12;;;;2;1;2;;6;3;3;5;14;5;764.508.650.884.198
885456;1;3;1;10;2;1;1;7;1995;13;3;6;2;1;12;;;;2;1;1;1;4;6;;5;6;5;764.508.650.884.198
885457;1;1;1;10;1;2;1;9;1965;43;1;5;1;;;3;;;2;1;2;;3;5;;5;5;5;441.105.598.645.877
885457;1;2;1;10;2;2;1;9;1985;23;3;6;1;;;3;;;2;1;1;1;5;10;1;5;10;5;441.105.598.645.877
885457;1;3;1;10;3;2;1;9;1987;21;3;6;1;;;3;;;2;1;2;;5;11;2;5;11;5;441.105.598.645.877
885457;1;4;1;10;4;2;1;8;1982;26;3;6;2;1;2;;;;2;1;2;;5;11;2;5;11;5;441.105.598.645.877
885457;1;5;1;10;4;2;1;9;2004;4;4;;2;1;2;;;;1;2;1;1;1;0;;5;0;5;441.105.598.645.877
885457;1;6;1;10;6;2;1;9;1966;42;5;6;1;;;3;;;2;1;2;;3;4;;5;4;5;441.105.598.645.877
885457;1;7;1;10;7;2;1;9;1963;45;5;5;1;;;1;5;;1;1;2;;3;5;;5;5;5;441.105.598.645.877
885457;1;8;1;10;8;1;1;12;1983;24;5;6;1;;;1;1;19000;2;1;2;;4;8;;5;8;5;441.105.598.645.877
885457;1;9;1;10;9;2;1;6;1987;21;5;6;1;;;3;;;2;1;2;;4;7;;5;7;5;441.105.598.645.877
885457;1;10;1;10;7;1;1;6;1996;12;5;6;1;;;3;;;2;1;1;1;3;5;;5;5;5;441.105.598.645.877
885458;1;1;1;10;1;2;1;12;1966;41;1;3;1;;;1;1;22000;2;1;2;;4;6;;5;6;5;798.090.659.262.518
885458;1;2;1;10;2;1;1;11;1968;39;2;3;1;;;1;5;;2;1;2;;4;8;;5;8;5;798.090.659.262.518
885460;1;1;1;10;1;1;1;2;1965;43;1;3;1;;;1;1;68400;2;1;2;;6;3;3;5;14;5;798.090.659.262.518
885460;1;2;1;10;2;2;1;7;1970;38;2;3;1;;;1;1;22000;2;1;2;;6;5;4;5;16;5;798.090.659.262.518
885461;1;1;1;10;1;1;1;10;1963;45;1;3;1;;;1;3;60000;2;1;2;;3;5;;5;5;5;69.906.579.497.839
885461;1;2;1;10;2;2;1;5;1962;46;2;3;1;;;1;5;;2;1;2;;4;8;;5;8;5;69.906.579.497.839
885461;1;3;1;10;3;2;1;5;1988;20;3;6;1;;;1;5;;2;1;1;1;6;2;2;5;13;5;69.906.579.497.839
885461;1;4;1;10;4;2;1;9;1990;18;3;6;1;;;1;5;;2;1;1;2;6;0;2;5;11;5;69.906.579.497.839
885462;1;1;1;10;1;1;1;12;1943;64;1;3;1;;;1;3;57700;2;1;2;;3;4;;5;4;5;77.824.492.292.706
885462;1;2;1;10;2;2;1;1;1952;56;2;3;1;;;1;5;;2;1;2;;4;6;;5;6;5;77.824.492.292.706
885462;1;3;1;10;3;1;1;12;1982;25;3;6;1;;;1;4;;2;1;2;;6;1;2;5;12;5;77.824.492.292.706
885462;1;4;1;10;4;2;1;6;1988;20;3;6;1;;;1;5;;2;1;1;2;6;1;2;5;12;5;77.824.492.292.706
885463;1;1;1;10;1;1;1;3;1985;23;1;2;1;;;3;;;2;1;2;;4;7;;5;7;5;84.053.837.568.103
