DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;CLASE;FT;P7510S7A1;P7510S7;DPTO;AREA;fex_c_2011
885441;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;286.653.036.871.753
885441;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;286.653.036.871.753
885441;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;286.653.036.871.753
885441;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;286.653.036.871.753
885442;1;1;1;95;1;;1;1;;1146000;250000;2;2;;;;;;;;;;;1;1;;;5;5;299.431.290.848.182
885442;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;299.431.290.848.182
885442;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;299.431.290.848.182
885443;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;316.439.526.951.984
885443;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;316.439.526.951.984
885443;1;5;1;95;1;;2;1;;461500;;2;2;;;;;;;;;;;1;1;;;5;5;316.439.526.951.984
885444;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;340.652.272.679.716
885444;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;340.652.272.679.716
885444;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;340.652.272.679.716
885445;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;773.657.720.553.439
885445;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;773.657.720.553.439
885445;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;773.657.720.553.439
885445;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;773.657.720.553.439
885446;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;81.292.367.065.466
885446;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;81.292.367.065.466
885446;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;81.292.367.065.466
885446;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;81.292.367.065.466
885446;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;81.292.367.065.466
885447;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;899.982.321.775.948
885447;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;899.982.321.775.948
885447;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;899.982.321.775.948
885448;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;252.495.502.401.019
885448;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;252.495.502.401.019
885449;1;1;1;95;1;;1;2;;;300000;2;2;;;;;;;;;;;1;1;;;5;5;20.348.388.991.876
885449;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;20.348.388.991.876
885450;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;219.973.125.493.775
885450;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;219.973.125.493.775
885450;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;219.973.125.493.775
885451;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;24.465.729.435.999
885451;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;24.465.729.435.999
885452;1;1;1;95;2;;;;;;;;1;2;2;;;;;3000000;2;1;2;1;1;;2;5;5;218.088.638.353.384
885453;1;1;1;95;1;;1;2;;;230000;2;2;;;;;;;;;;;1;1;;;5;5;730.926.642.505.878
885453;1;2;1;95;2;;;;;;;;1;2;1;;600000;;;;2;2;2;1;1;;2;5;5;730.926.642.505.878
885453;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;730.926.642.505.878
885453;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;730.926.642.505.878
885455;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;650.359.798.913.589
885455;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;650.359.798.913.589
885455;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;650.359.798.913.589
885455;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;650.359.798.913.589
885455;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;5;5;650.359.798.913.589
