DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;AREA;fex_c_2011
885441;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;286.653.036.871.753
885441;1;4;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;286.653.036.871.753
885442;1;1;1;80;1;2;;;;2;;1;1400000;2;;.;;;1;5;5;299.431.290.848.182
885442;1;2;1;80;1;2;;;;1;1;1;1200000;2;;.;;;1;5;5;299.431.290.848.182
885442;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;299.431.290.848.182
885443;1;1;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;316.439.526.951.984
885443;1;5;1;80;1;1;4;4;;3;;2;;;;;9;2;1;5;5;316.439.526.951.984
885444;1;2;1;80;1;1;4;2;;2;;2;;;;;9;2;1;5;5;340.652.272.679.716
885444;1;5;1;80;1;1;2;6;;2;;2;;;;;11;2;1;5;5;340.652.272.679.716
885445;1;4;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;773.657.720.553.439
885446;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;81.292.367.065.466
885446;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;81.292.367.065.466
885446;1;4;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;81.292.367.065.466
885446;1;5;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;81.292.367.065.466
885447;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;899.982.321.775.948
885447;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;899.982.321.775.948
885449;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;20.348.388.991.876
885450;1;1;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;219.973.125.493.775
885450;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;219.973.125.493.775
885451;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;24.465.729.435.999
885452;1;1;1;80;1;1;1;8;EMBARAZO;2;;2;;;;;9;2;1;5;5;218.088.638.353.384
885453;1;1;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;730.926.642.505.878
885455;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;650.359.798.913.589
885455;1;5;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;650.359.798.913.589
885456;1;3;1;80;1;1;2;1;;2;;2;;;;;2;2;1;5;5;764.508.650.884.198
885457;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;441.105.598.645.877
885457;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;441.105.598.645.877
885457;1;9;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;441.105.598.645.877
885457;1;10;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;441.105.598.645.877
885461;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;69.906.579.497.839
885461;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;69.906.579.497.839
885461;1;4;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;69.906.579.497.839
885462;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;77.824.492.292.706
885462;1;4;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;77.824.492.292.706
885463;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;84.053.837.568.103
