DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;AREA;fex_c_2011
885447;1;1;1;70;1;8;48;1;;2;20;4;;1;4;;;;;;;;;;1;;2;;2;37;45;52;1;1;5249;5;5;899.982.321.775.948
885449;1;1;1;70;1;48;48;1;;2;16;1;;9;6;;;;;;;;;;1;;2;;2;33;33;0;1;2;0;5;5;20.348.388.991.876
885456;1;2;1;70;1;50;48;1;;2;50;1;;8;7;;;;;;;;;;1;;2;;2;79;97;51;1;2;5125;5;5;764.508.650.884.198
885457;1;4;1;70;1;8;48;1;;2;8;1;;4;8;;;;;;;;;;1;;2;;2;45;45;52;1;1;5239;5;5;441.105.598.645.877
885468;1;2;1;70;1;12;48;1;;2;12;1;;2;8;;;;;;;;;;1;;2;;2;85;95;45;1;1;4521;5;5;84.849.850.805.416
885473;1;1;1;70;1;3;48;1;;2;3;1;;6;7;;;;;;;;;;1;;1;461500;2;80;80;19;1;1;1926;5;5;231.340.008.529.731
885475;1;1;1;70;1;12;60;1;;2;12;1;;2;8;;;;;;;;;;1;;2;;2;58;58;70;1;1;7020;5;5;246.442.719.380.346
885476;1;2;1;70;1;104;48;1;;2;156;1;;9;2;;;;;;;;;;1;;2;;2;79;79;18;1;2;1810;5;5;840.821.737.310.079
885485;1;4;1;70;1;52;24;1;;2;52;1;;5;2;;;;;;;;;;1;;2;;2;45;94;36;1;2;3699;5;5;223.278.955.146.955
885499;1;2;1;70;1;4;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;1;;5;5;771.133.361.765.771
885505;1;2;1;70;1;52;48;3;;1;;;.;;;.;.;;;;;;;;;.;;;;54;;;1;2;;5;5;815.524.314.533.302
885517;1;2;1;70;1;52;48;1;;2;52;1;;7;3;;;;;;;;;;1;;2;;2;33;33;52;1;2;5249;5;5;854.095.202.993.941
885520;1;1;1;70;1;8;48;1;;2;6;1;;9;3;;;;;;;;;;1;;1;800000;2;95;95;36;1;1;3613;5;5;670.824.984.820.976
885525;1;2;1;70;1;4;48;4;;2;4;4;;1;1;;;;;;;;;;1;;1;30000;2;54;54;74;1;1;7493;5;5;159.618.131.852.504
885526;1;4;1;70;1;36;48;1;;2;36;1;;3;3;;;;;;;;;;1;;2;;2;84;84;51;1;2;5170;5;5;760.593.338.312.484
885527;1;3;1;70;1;2;48;1;;2;2;6;;2;1;;;;;;;;;;1;;2;;2;53;45;52;1;1;5262;5;5;74.180.610.408.427
885530;1;1;1;70;1;5;48;4;;2;5;4;;1;1;;;;;;;;;;1;;1;100000;2;99;99;50;1;1;5020;5;5;13.276.478.237.602
