DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
905054;1;2;1;80;2;2;;;;2;;2;;2;;.;;;1;13;378.198.094.805.662
905058;1;2;1;80;2;2;;;;2;;2;;2;;.;;;1;13;354.467.664.748.115
905064;1;2;1;80;2;1;1;2;;2;;2;;;;;9;2;1;13;577.623.585.190.997
905064;1;3;1;80;2;2;;;;2;;2;;2;;.;;;1;13;577.623.585.190.997
905064;1;4;1;80;2;2;;;;2;;2;;2;;.;;;1;13;577.623.585.190.997
905069;1;2;1;80;2;1;4;2;;2;;2;;;;;8;2;1;13;50.461.730.384.736
905129;1;2;1;80;2;2;;;;2;;2;;2;;.;;;1;13;272.388.462.176.847
905129;1;3;1;80;2;2;;;;2;;2;;2;;.;;;1;13;272.388.462.176.847
905129;1;4;1;80;2;2;;;;2;;2;;2;;.;;;1;13;272.388.462.176.847
905143;1;1;1;80;2;1;1;3;;2;;2;;;;;4;2;1;13;688.942.192.350.995
905143;1;2;1;80;2;2;;;;2;;2;;2;;.;;;1;13;688.942.192.350.995
905143;1;3;1;80;2;2;;;;2;;2;;2;;.;;;1;13;688.942.192.350.995
905143;1;6;1;80;2;2;;;;2;;2;;2;;.;;;1;13;688.942.192.350.995
905143;1;7;1;80;2;2;;;;2;;2;;2;;.;;;1;13;688.942.192.350.995
905154;1;2;1;80;2;1;4;2;;2;;2;;;;;9;2;1;13;30.193.742.865.929
905156;1;2;1;80;2;1;4;2;;2;;2;;;;;9;2;1;13;659.199.650.583.717
905156;1;3;1;80;2;2;;;;2;;2;;2;;.;;;1;13;659.199.650.583.717
905156;1;5;1;80;2;2;;;;2;;2;;2;;.;;;1;13;659.199.650.583.717
905159;1;2;1;80;2;1;4;2;;2;;2;;;;;9;2;1;13;496.047.519.798.277
905159;1;3;1;80;2;2;;;;2;;2;;2;;.;;;1;13;496.047.519.798.277
905163;1;2;1;80;2;2;;;;2;;2;;2;;.;;;1;13;379.482.910.131.825
