Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P6290;P6290s1;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Mes;Ft;Dpto;Fex_c_2011
3332388;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;253,173963280619
3332388;1;2;1;50;73; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;253,173963280619
3332388;1;4;1;50;73; ; ;4;4; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;73;253,173963280619
3332389;1;1;1;50;73;2; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;2;11;1;73;205,67155197142
3332390;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;172,212214479005
3332390;1;2;1;50;73; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;172,212214479005
3332390;1;3;1;50;73; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;172,212214479005
3332390;1;4;1;50;73; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;73;172,212214479005
3332391;1;1;1;50;73;2; ;1;3; ;2;2;2;1; ; ; ; ; ; ; ;1;11;1;73;237,510533884965
3332392;1;1;1;50;73; ; ;1;6;PENSIONADO;2;2;2;2;2; ; ; ; ; ; ; ;11;1;73;194,053457539561
3332392;1;2;1;50;73; ; ;2;6;PENSIONADA;2;2;2;2;2; ; ; ; ; ; ; ;11;1;73;194,053457539561
3332392;1;3;1;50;73; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;73;194,053457539561
3332392;1;4;1;50;73; ; ;4;4; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;73;194,053457539561
3332393;1;1;1;50;73; ; ;1;4; ;2;2;2;2;1;9; ; ; ; ; ; ;11;1;73;221,5952399656
3332394;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;233,069155361424
3332394;1;2;1;50;73; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;11;1;73;233,069155361424
3332394;1;3;1;50;73; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;73;233,069155361424
3332396;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;199,201087250293
3332396;1;2;1;50;73; ; ;1;3; ;2;2;2;2;1;9; ; ; ; ; ; ;11;1;73;199,201087250293
3332397;1;1;1;50;73; ; ;1;2; ;1; ; ; ; ; ; ; ; ; ; ; ;11;1;73;245,925689998048
3332398;1;1;1;50;73; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;73;221,756975572855
3332398;1;2;1;50;73; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;221,756975572855
3332399;1;1;1;50;73; ; ;1;6;ENFERMO;2;2;2;2;1;11; ; ; ; ; ; ;11;1;73;292,174248420444
3332399;1;2;1;50;73; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;292,174248420444
3332399;1;3;1;50;73; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;292,174248420444
3332400;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;233,069155361424
3332400;1;2;1;50;73; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;233,069155361424
3332400;1;3;1;50;73; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;233,069155361424
3332401;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;372,667748715338
3332401;1;2;1;50;73; ; ;1;4; ;2;2;2;2;1;10; ; ; ; ; ; ;11;1;73;372,667748715338
3332402;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;331,960137940353
3332402;1;2;1;50;73; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;73;331,960137940353
3332402;1;3;1;50;73; ; ;3;4; ;2;2;1; ; ; ; ; ; ; ; ; ;11;1;73;331,960137940353
3332403;1;1;1;50;73;2; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;11;1;73;208,345985648472
3332404;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;208,345985648472
3332406;1;1;1;50;73;2; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;11;1;73;225,707212747946
3332406;1;2;1;50;73; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;225,707212747946
3332406;1;3;1;50;73;2; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;11;1;73;225,707212747946
3332406;1;4;1;50;73; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;73;225,707212747946
3332407;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;233,960633253775
3332407;1;2;1;50;73; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;73;233,960633253775
