DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;clase;MES;DSI;DSCY;RAMA4D_D_R4;RAMA2D_D_R4;OFICIO1;OFICIO2;DPTO;fex_c_2011
5164434;1;1;1;70;8;50;1; ;2;10;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;2;04;1;1;0143;01;45;61;44;1666,99690271835
5164441;1;1;1;70;12;50;3; ;2;14;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;2;04;1;1;4781;47;54;45;23;1233,95690912761
5164441;1;3;1;70;5;42;3; ;2;24;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;2;04;1;1;9700;97;54;54;23;1233,95690912761
5164442;1;3;1;70;4;48;8; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;2;04;1;1;0161;01;62;61;23;812,570025108172
5164444;1;3;1;70;12;48;1; ;2;52;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;04;1;1;4771;47;41;45;23;674,824636785571
5164446;1;1;1;70;3;36;8; ;2;3;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;360000;500000;2; ;2;04;1;1;0141;01;62;62;23;1088,05222612196
5164446;1;3;1;70;5;36;8; ;2;5;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;2;04;1;1;0141;01;62;62;23;1088,05222612196
5164449;2;1;2;70;8;48;8; ;2;8;8; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;2;04;1;1;0141;01;62;62;23;984,434616806017
5164464;1;3;1;70;12;40;8; ;2;12;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;2;04;1;1;0141;01;62;62;23;2686,79782862788
5164465;1;1;1;70;2;42;4; ;2;4;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;1;400000;500000;2; ;2;04;1;1;0161;01;61;61;23;3607,36423028054
5164468;1;3;1;70;5;48;1; ;2;6;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;600000;2; ;2;04;1;1;3110;31;81;81;23;3738,291247098
5164476;1;3;1;70;12;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ;2;04;1;1;.; ;95; ;23;3957,98652649102
5164480;1;1;1;70;12;48;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;2;04;1;1;0161;01;61;61;23;2264,14036412349
5164484;1;1;1;70;12;30;4; ;2;4;6; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;2;04;1;1;1081;10;61;45;23;2141,4804239695
5165060;1;2;1;70;90;40;1; ;2;240;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;2;04;1;2;9700;97;79;54;27;2073,22598724125
5165098;1;2;1;70;50;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ;2;04;1;2;.; ;45; ;27;1087,97203882229
5165271;1;3;1;70;16;48;1; ;2;48;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;2;04;1;2;8610;86;58;58;47;1881,90023302855
5165278;1;2;1;70;52;48;3; ;2;208;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;2;04;1;2;9700;97;54;54;47;3337,64726039635
5165284;1;3;1;70;32;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877800; ; ;2;04;1;2;.; ;97; ;47;2273,99670594802
