directorio;secuencia_p;orden;Oficio;Rama2d_r4;Rama4d_r4;P6430;P6800;P6850;P6830;P6500;P6750;P6760;Oci;Mes;Area;Fex_c_2011
3755;1;1;55;86;8610;1;48;48; ;925000; ; ;1;04;68;226,576616167792
7781;1;1;41;13;1392;4;46;0;7; ;0;1;1;04;50;123,073627907147
10515;1;1;44;43;4321;1;48;48; ;877803; ; ;1;04;11;4186,52979527259
12378;1;1;45;47;4752;1;48;0;6;878000; ; ;1;04;11;1611,13988220659
12378;1;2;79;14;1410;4;60;0;6; ;300000;1;1;04;11;1611,13988220659
12378;1;3;79;14;1410;4;60;0;6; ;300000;1;1;04;11;1611,13988220659
12392;1;1;95;42;4290;1;48;0;6;878000; ; ;1;04;11;1968,02117100179
12427;1;1;77;10;1020;5;60;0;7; ;0;1;1;04;17;105,177351161343
12427;1;3;45;56;5619;1;48;0;7;1700000; ; ;1;04;17;105,177351161343
12427;1;4;45;47;4792;4;20;0;7; ;500000;1;1;04;17;105,177351161343
12460;1;1;95;41;4111;1;48;0;7;877828; ; ;1;04;17;581,155125492222
12460;1;2;41;47;4773;4;30;0;7; ;100000;1;1;04;17;581,155125492222
12466;1;1;37;53;5320;1;48;32;3;877803; ; ;1;04;23;325,477025266189
12466;1;2;45;47;4773;1;48;40;2;877803; ; ;1;04;23;325,477025266189
12477;1;1;98;49;4921;4;30;0;7; ;600000;1;1;04;17;229,66093329732
12477;1;2;55;81;8121;4;24;0;7; ;400000;1;1;04;17;229,66093329732
12486;1;1;53;56;5619;4;60;0;7; ; ;1;1;04;17;380,963984496624
12486;1;3;45;10;1081;1;48;0;7;877802; ; ;1;04;17;380,963984496624
12489;1;1;02;71;7110;1;48;48; ;1150000; ; ;1;04;17;229,66093329732
12489;1;2;39;82;8299;1;48;48; ;1000000; ; ;1;04;17;229,66093329732
12494;1;1;98;49;4921;4;60;0;7; ; ;1;1;04;17;616,87317005455
12494;1;2;59;86;8610;1;48;0;7; ; ; ;1;04;17;616,87317005455
12496;1;1;44;64;6422;1;48;48; ;1000000; ; ;1;04;17;314,485290004062
12516;1;1;97;15;1522;1;48;0;6;877802; ; ;1;04;17;210,429086345627
12516;1;2;55;82;8220;1;48;48; ;877802; ; ;1;04;17;210,429086345627
12516;1;3;07;86;8610;1;48;48; ;877802; ; ;1;04;17;210,429086345627
12523;1;1;41;47;4711;4;60;30;7; ;600000;1;1;04;17;220,935149479453
12523;1;2;39;22;2219;1;48;0;7;950000; ; ;1;04;17;220,935149479453
12582;1;1;39;47;4755;1;48;0;7;877802; ; ;1;04;17;73,3756279571782
12583;1;1;30;10;1089;1;48;48; ;2304000; ; ;1;04;17;519,125550660793
12621;1;1;39;84;8415;2;49;49; ;2500000; ; ;1;04;17;86,9469026317363
12627;1;1;37;47;4752;1;48;0;7;950000; ; ;1;04;17;90,3132864055912
12627;1;2;41;47;4771;4;15;15; ; ;800000;1;1;04;17;90,3132864055912
12636;1;1;11;65;6511;1;48;0;3;1100000; ; ;1;04;17;111,052059262159
12662;1;2;13;85;8530;1;48;48; ;900000; ; ;1;04;23;156,789573141574
12663;1;1;06;47;4773;1;48;48; ;1800000; ; ;1;04;17;268,123274788565
