directorio;secuencia_p;orden;Oficio;Rama2d_r4;Rama4d_r4;P6430;P6800;P6850;P6830;P6500;P6750;P6760;Oci;Mes;Area;clase;DPTO;Fex_c_2011
3755;1;1;55;86;8610;1;48;48; ;925000; ; ;1;04;68;1;68;226,576616167792
4255;1;1;53;56;5619;4;40;8;6; ;800000;1;1;04;63;1;63;80,5584137296403
4255;1;2;18;93;9319;4;4;4; ; ;80000;1;1;04;63;1;63;80,5584137296403
4255;1;3;44;45;4512;4;50;40;6; ;700000;1;1;04;63;1;63;80,5584137296403
5453;1;2;55;68;6820;1;20;20; ;420000; ; ;1;04;63;1;63;110,173535843402
5453;1;3;57;96;9602;4;48;40;6; ;1500000;1;1;04;63;1;63;110,173535843402
6500;1;1;39;84;8422;2;48;0;3;1800000; ; ;1;04;63;1;63;55,900799817724
7781;1;1;41;13;1392;4;46;0;7; ;0;1;1;04;50;1;50;123,073627907147
8272;1;4;11;36;3600;1;40;0;7;2200000; ; ;1;04;20;1;20;155,939210275493
9571;1;1;13;85;8530;2;30;0;7;3000000; ; ;1;04;47;1;47;219,212233138275
10515;1;1;44;43;4321;1;48;48; ;877803; ; ;1;04;11;1;11;4186,52979527259
12255;1;1;95;41;4111;5;40;0;5; ;900000;1;1;04;15;1;15;34,3871518771265
12308;1;1;98;49;4921;4;60;10;6; ;900000;1;1;04;63;1;63;105,489402825879
12308;1;2;59;47;4773;1;54;54; ;1000000; ; ;1;04;63;1;63;105,489402825879
12378;1;1;45;47;4752;1;48;0;6;878000; ; ;1;04;11;1;11;1611,13988220659
12378;1;2;79;14;1410;4;60;0;6; ;300000;1;1;04;11;1;11;1611,13988220659
12378;1;3;79;14;1410;4;60;0;6; ;300000;1;1;04;11;1;11;1611,13988220659
12392;1;1;95;42;4290;1;48;0;6;878000; ; ;1;04;11;1;11;1968,02117100179
12427;1;1;77;10;1020;5;60;0;7; ;0;1;1;04;17;1;17;105,177351161343
12427;1;3;45;56;5619;1;48;0;7;1700000; ; ;1;04;17;1;17;105,177351161343
12427;1;4;45;47;4792;4;20;0;7; ;500000;1;1;04;17;1;17;105,177351161343
12460;1;1;95;41;4111;1;48;0;7;877828; ; ;1;04;17;1;17;581,155125492222
12460;1;2;41;47;4773;4;30;0;7; ;100000;1;1;04;17;1;17;581,155125492222
12461;1;1;13;85;8530;2;40;0;3;3500000; ; ;1;04;63;1;63;141,440060552495
