DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5475191;1;1;1;80;2;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;4;15;1194,08950254883
5475191;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;15;1194,08950254883
5475192;1;1;1;80;2;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;4;15;1194,08950254883
5475192;1;2;1;80;2;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;4;15;1194,08950254883
5475193;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;15;1194,08950254883
5475200;1;1;1;80;2;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;4;15;1194,08950254883
5475200;1;2;1;80;2;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;06;4;15;1194,08950254883
5475200;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06; ;15;1194,08950254883
5475201;1;1;1;80;2;1;4; ;1; ;1;1; ;2; ;2; ; ; ; ;2;1;06;2;15;3095,61506113821
5475203;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;1,2;15;6089,85646299904
5475203;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06; ;15;6089,85646299904
5475203;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06; ;15;6089,85646299904
5479640;1;1;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;4;15;1194,08950254883
5479640;1;2;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;4;15;1194,08950254883
5479640;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;15;1194,08950254883
5479641;1;1;1;80;2;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;06;4;15;1194,08950254883
5479643;1;1;1;80;2;1;9;AISLAMIENTO PREVENTIVO POR COVID 19;2; ; ;12;MIEDO AL CONTAGIO POR COVID 19;2; ;2; ;2; ;908526;2;1;06;2;15;6089,85646299904
5479643;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;15;6089,85646299904
5480238;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;15;1194,08950254883
5480238;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;15;1194,08950254883
5480239;1;2;1;80;2;1;7; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;2;15;1194,08950254883
5480241;1;2;1;80;2;1;7; ;2; ; ;9; ;2; ;2; ;1;20;400000;2;1;06;2;15;1194,08950254883
5480242;1;2;1;80;2;1;6; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;4;15;3151,97027664981
5480242;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;15;3151,97027664981
5480242;1;5;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;15;3151,97027664981
5480243;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;4;15;1194,08950254883
5480244;1;2;1;80;2;1;6; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;06;1,4;15;1194,08950254883
5480244;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;15;1194,08950254883
5480245;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06; ;15;6089,85646299904
5480250;1;1;1;80;2;1;9;AISLAMIENTO PREVENTIVO POR COVID 19;2; ; ;12;MIEDO AL CONTAGIO POR COVID 19;2; ;2; ;2; ;908526;2;1;06;2;15;1194,08950254883
5480250;1;2;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;4;15;1194,08950254883
5480251;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;15;1598,11626884172
5480252;1;1;1;80;2;1;7; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;06;4;15;6089,85646299904
5480252;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06; ;15;6089,85646299904
5480253;1;1;1;80;2;1;9;POR ENFERMEDAD DE COVID 19;2; ; ;12;POR ENFERMEDAD DE COVID 19;2; ;2; ; ; ; ;2;1;06;1,1;15;1194,08950254883
5480253;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06; ;15;1194,08950254883
5480266;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;68;1326,2449649647
5480269;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;4;68;1326,2449649647
5480271;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;68;6763,84932131998
5480272;1;1;1;80;2;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;06;3;68;1326,2449649647
5480273;1;2;1;80;2;1;8; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;3;68;1326,2449649647
5480273;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;68;1326,2449649647
5481171;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;1,1;47;2548,37721519584
5481172;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;47;3535,55862128888
5481177;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;4;47;2505,36516551845
5481179;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;1;24;98;2;1;06;4;47;2309,7898398456
5481179;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ;1;48;98;2;1;06; ;47;2309,7898398456
5481179;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06; ;47;2309,7898398456
5481179;1;6;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06; ;47;2309,7898398456
5481180;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;4;47;1883,06648518159
5481180;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;47;1883,06648518159
5481180;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;47;1883,06648518159
5481180;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06; ;47;1883,06648518159
5481180;1;7;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;47;1883,06648518159
5481190;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;47;3315,45962140095
5481190;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06; ;47;3315,45962140095
5481193;1;2;1;80;2;1;6; ;2; ; ;9; ;2; ;2; ;1;48;908000;2;1;06;2;47;3812,32633480947
5481194;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;47;3588,63788277087
5481194;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06; ;47;3588,63788277087
5481194;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06; ;47;3588,63788277087
5481195;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;1,4;47;2505,36516551845
5481196;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;47;2542,39458779917
5481197;1;2;1;80;2;1;8; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;06;4;47;1647,99790321526
5481198;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;47;3411,0088953445
5481198;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06; ;47;3411,0088953445
5481198;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06; ;47;3411,0088953445
5481198;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06; ;47;3411,0088953445
