DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6080;P6080S1;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P3147S10A1;P3246;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;AREA;ESC;MES;DPTO;fex_c_2011
5468958;1;1;1;10;1;2;12;1992;28;1;5; ;6;3; ;1;3; ; ; ; ; ;1; ; ; ; ; ; ; ; ;2;1; ; ;1;1;64000;2;1;2; ;6;2;3; ;05;13;06;05;1442,39108680116
5468958;1;2;1;10;1;1;8;2012;8;3;5; ; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;1;1;1;3;2; ; ;05;2;06;05;1442,39108680116
5468958;1;3;1;10;3;2;11;1967;53;5;5; ;6;3; ;2; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;05;3;06;05;1442,39108680116
5468958;1;4;1;10;4;1;8;2006;14;5;5; ;6;3; ;2; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;8; ; ;05;8;06;05;1442,39108680116
5468958;1;5;1;10;5;1;1;2007;14;5;5; ;6;2; ;2; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;1;5; ;2;1;1;1;4;8; ; ;05;8;06;05;1442,39108680116
5468959;1;1;1;10;1;2;11;1969;51;1;6; ;6;2; ;2; ; ; ; ; ; ;1; ; ; ; ;1;1; ;EL ENCIERRO;2;1; ; ;1;5; ;2;1;2; ;5;11;2; ;05;11;06;05;867,171073921304
5468959;1;2;1;10;2;2;6;1994;26;3;6; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ;1; ;LA VIRTUALIDAD LAS RESTRICCIONES; ;1; ; ;1;1;36341;2;1;2; ;6;3;3; ;05;14;06;05;867,171073921304
5468959;1;3;1;10;3;2;5;2000;21;3;6; ;6;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1; ;LAS RESTRICCIONES; ;1; ; ;1;9; ;2;1;1;2;6;0;2;2;05;11;06;05;867,171073921304
5468959;1;4;1;10;4;1;1;2006;15;4;6; ;6;2; ;2; ; ; ; ; ; ; ; ; ; ;1; ;1; ;EL ENCIERRO; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;05;5;06;05;867,171073921304
5468960;1;1;1;10;1;2;8;1991;29;1;6; ;2;2; ;2; ;1;2; ; ;1;1; ; ; ; ;1; ; ; ;2;1; ; ;1;1;36341;2;1;2; ;6;2;3; ;05;13;06;05;1195,30537084732
5468960;1;2;1;10;2;1;2;1988;33;2;6; ;2;2; ;2; ;1;1; ; ;1;1; ; ; ; ;1; ; ; ; ;1; ; ;1;1;36341;2;1;2; ;3;5; ; ;05;5;06;05;1195,30537084732
5468960;1;3;1;10;1;2;7;2010;10;3;6; ;6;1;2;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;1;5; ;2;1;1;1;3;4; ; ;05;4;06;05;1195,30537084732
5468961;1;1;1;10;1;2;8;2002;18;1;6; ;2;3; ;3; ;1;2; ;1;1; ; ; ; ; ;1; ; ; ;2;2;1;16; ; ; ;2;1;2; ;5;11;2; ;05;11;06;05;1956,05043855734
5468961;1;2;1;10;2;1;12;1985;35;2;6; ;2;2; ;2; ;1;1; ;1;1;1; ; ; ; ;1; ; ; ; ;2;1;12; ; ; ;1;1;2; ;3;3; ; ;05;3;06;05;1956,05043855734
5468961;1;3;1;10;1;2;9;2020;0;3;6; ; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;05; ;06;05;1956,05043855734
5468961;1;4;1;10;4;1;10;1995;25;5;6; ;1;2; ;2; ;1;5; ; ; ;1; ; ; ; ; ; ; ; ; ;2;1;18; ; ; ;2;1;2; ;5;11;2; ;05;11;06;05;1956,05043855734
5468961;1;5;1;10;5;2;10;1991;29;9;6; ;1;2; ;2; ;1;4; ;1;1;1; ; ; ; ; ; ; ; ; ;2;1;18; ; ; ;1;1;2; ;4;8; ; ;05;8;06;05;1956,05043855734
5468961;1;6;1;10;1;1;7;2010;10;9;6; ;6;2; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;2;1;19; ; ; ;2;1;1;1;3;3; ; ;05;3;06;05;1956,05043855734
5468961;1;7;1;10;7;2;9;2012;8;9;6; ; ;2; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ;1;1;1;1;3;1; ; ;05;1;06;05;1956,05043855734
5468961;1;8;1;10;1;1;3;2017;4;9;6; ; ;2; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ;2;2;1;1;2;0; ; ;05;0;06;05;1956,05043855734
5468962;1;1;1;10;1;2;12;1995;25;1;6; ;3;2; ;2; ;1;2; ;1;1; ; ; ;1; ;1; ; ; ;1;1; ; ;3; ; ;1;1;2; ;5;11;2; ;05;11;06;05;1610,48627002962
5468962;1;2;1;10;2;1;3;1996;25;2;5; ;3;2; ;2; ;1;1; ;1;1;1;1; ;1; ;1; ; ; ; ;1; ; ;3; ; ;2;1;2; ;4;9; ; ;05;9;06;05;1610,48627002962
5468962;1;3;1;10;1;2;2;2019;2;3;6; ; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;05; ;06;05;1610,48627002962
5468962;1;4;1;10;1;1;12;2020;0;3;6; ; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;05; ;06;05;1610,48627002962
5468963;1;1;1;10;1;1;7;1990;30;1;5; ;2;2; ;2; ;1;2; ; ; ;1; ; ; ; ;1; ; ; ;1;1; ; ;3; ; ;2;1;1;1;5;10;1; ;05;10;06;05;1028,35550250495
5468963;1;2;1;10;2;2;6;1974;46;2;5; ;2;2; ;3; ;1;1; ;1;1;1; ; ; ; ;1; ; ; ; ;2;1;12; ; ; ;1;1;2; ;5;11;2; ;05;11;06;05;1028,35550250495
5468964;1;1;1;10;1;2;6;1989;31;1;6; ;4;2; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;2;1; ; ;1;1;40000;2;1;2; ;5;11;2; ;05;11;06;05;1520,5371235567
5468964;1;2;1;10;1;1;8;2014;6;3;6; ; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;1;1;1;3;0; ; ;05;0;06;05;1520,5371235567
5468965;1;1;1;10;1;1;8;1992;28;1;6; ;2;2; ;3; ;1;2; ; ; ;1; ; ; ; ;1;1; ;EL ENCIERRO;2;1; ; ;1;1;36341;2;1;2; ;5;11;2; ;05;11;06;05;1443,53640168725
5468965;1;2;1;10;2;2;6;1994;26;2;6; ;2;2; ;2; ;1;1; ;1; ;1; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;1;2; ;5;11;2; ;05;11;06;05;1443,53640168725
5468965;1;3;1;10;2;1;7;2017;3;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;2;1;1;2;0; ; ;05;0;06;05;1443,53640168725
5468966;1;1;1;10;1;1;9;1991;29;1;6; ;2;2; ;1;5;1;2; ; ; ;1; ; ; ; ; ; ; ; ;2;2;1;24; ; ; ;2;1;2; ;6;3;3; ;05;14;06;05;1283,16272929405
5468966;1;2;1;10;2;2;4;1991;30;2;6; ;2;2; ;2; ;1;1; ; ; ; ; ; ;1; ; ; ; ; ; ;2;1;24; ; ; ;2;1;2; ;6;5;4; ;05;16;06;05;1283,16272929405
5468966;1;3;1;10;2;2;2;2012;9;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;12; ; ; ;2;1;1;1;3;2; ; ;05;2;06;05;1283,16272929405
5468966;1;4;1;10;2;2;2;2018;3;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;12; ; ; ;2;2;1;1;2;0; ; ;05;0;06;05;1283,16272929405
5468966;1;5;1;10;5;2;9;1968;52;5;6; ;3;3; ;3; ;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2;1;24; ; ; ;2;1;2; ;3;3; ; ;05;3;06;05;1283,16272929405
5468967;1;1;1;10;1;1;10;1996;24;1;6; ;2;2; ;2; ;1;2; ; ; ;1; ; ; ; ; ; ; ; ;2;1; ; ;1;1;36341;2;1;2; ;4;9; ; ;05;9;06;05;1106,30269751449
5468967;1;2;1;10;2;2;7;1988;32;2;6; ;2;2; ;2; ;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ;1;1;36341;2;1;2; ;6;2;3; ;05;13;06;05;1106,30269751449
5468967;1;3;1;10;3;1;3;2005;16;3;6; ;6;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;1;5; ;2;1;1;1;4;8; ; ;05;8;06;05;1106,30269751449
5468968;1;1;1;10;1;2;2;1995;26;1;5; ;6;2; ;2; ; ; ; ; ;1;1; ; ;1;1; ;1; ;CERRO SU LOCAL DE BELLEZA EL ENCIERRO;1;2;1;12; ; ; ;2;1;1;2;6;0;2;2;05;11;06;05;1272,30609271677
5468968;1;2;1;10;1;2;10;2017;3;3;5; ; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;12; ; ; ;2;2;1;1;2;0; ; ;05;0;06;05;1272,30609271677
5468969;1;1;1;10;1;1;12;1936;84;1;6; ;3;3; ;3; ;1;2; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ;1;5; ;2;2;2; ;1;0; ; ;05;0;06;05;1262,56388087177
5468969;1;2;1;10;2;2;12;1944;76;2;6; ;3;3; ;3; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;5; ;2;1;2; ;3;2; ; ;05;2;06;05;1262,56388087177
5468969;1;3;1;10;3;1;5;1977;44;3;6; ;6;1;1;1;2; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1;1;48000;2;1;2; ;3;3; ; ;05;3;06;05;1262,56388087177
5468969;1;4;1;10;4;1;11;1997;23;4;6; ;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;06;05;1262,56388087177
5468969;1;5;1;10;5;1;1;2003;18;4;6; ;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;05;2;06;05;1262,56388087177
5468970;1;1;1;10;1;2;1;1981;40;1;6; ;6;2; ;2; ; ; ; ; ; ;1; ; ; ; ; ;1; ;EL ENCIERRO;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;06;05;953,174338461753
5468970;1;2;1;10;2;2;3;2002;19;3;6; ;6;2; ;1;1; ; ; ; ; ;1; ; ;1; ; ;1; ;EL ENCIERRO Y LAS DIFICULTADES; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;06;05;953,174338461753
5468970;1;3;1;10;2;2;5;2020;1;4;6; ; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;05; ;06;05;953,174338461753
5468970;1;4;1;10;4;2;8;2004;16;3;6; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;5;10;1; ;05;10;06;05;953,174338461753
5468971;1;1;1;10;1;2;10;1976;44;1;6; ;6;3; ;3; ; ; ; ; ; ;1; ; ; ; ; ;1; ;EL ENCIERRO;2;1; ; ;1;1;36341;2;1;2; ;3;5; ; ;05;5;06;05;1283,97052455974
5468971;1;2;1;10;2;1;5;1994;27;3;6; ;2;2; ;1;1;1;3; ; ; ;1; ; ; ; ; ;1; ;EL ENCIERRO; ;1; ; ;1;1;36341;2;1;2; ;5;11;2; ;05;11;06;05;1283,97052455974
5468971;1;3;1;10;3;2;6;1996;24;5;6; ;2;2; ;2; ;1;2; ; ; ; ; ; ; ; ; ;1; ;EL ENCIERRO; ;2;1;24; ; ; ;2;1;2; ;6;2;2;2;05;13;06;05;1283,97052455974
5468971;1;4;1;10;3;1;11;2017;3;4;6; ; ;1;2;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;2;1;1;2;0; ; ;05;0;06;05;1283,97052455974
5468973;1;1;1;10;1;2;4;1975;46;1;6; ;4;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ;EL ENCIERRO;1;1; ; ;1;5; ;2;2;2; ;1;0; ; ;05;0;06;05;1936,19125930905
