DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6080;P6080S1;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P3147S10A1;P3246;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
5475191;1;1;1;10;1;1;6;1941;79;1;6; ;3;3; ;3; ;1;2; ; ; ; ; ; ; ; ; ; ;1; ;2;1; ; ;1;2;160000;2;1;2; ;3;5; ; ;2;5;06;15;1194,08950254883
5475191;1;2;1;10;2;2;5;1946;75;2;6; ;3;3; ;3; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;06;15;1194,08950254883
5475191;1;3;1;10;3;1;12;1980;40;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;1;240000;2;1;2; ;6;7;5; ;2;18;06;15;1194,08950254883
5475192;1;1;1;10;1;1;8;1942;78;1;6; ;3;3; ;3; ;1;2; ; ; ; ; ; ; ; ; ; ;1; ;2;1; ; ;1;2;112000;2;1;2; ;6;7;5; ;2;18;06;15;1194,08950254883
5475192;1;2;1;10;2;2;11;1945;75;2;6; ;3;3; ;3; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;2;2;200000;2;1;2; ;6;7;5; ;2;18;06;15;1194,08950254883
5475193;1;1;1;10;1;2;9;1956;64;1;6; ;6;3; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2;1; ; ;2;2;480000;2;1;2; ;6;8;5; ;2;19;06;15;1194,08950254883
5475193;1;2;1;10;2;2;12;2000;20;4;6; ;6;2; ;2; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;1;3;113566;2;1;1;2;6;1;2;2;2;12;06;15;1194,08950254883
5475194;1;1;1;10;1;1;8;1980;40;1;6; ;3;2; ;3; ;1;2; ; ; ;1; ; ; ; ; ; ; ; ;2;1; ; ;1;5; ;2;1;2; ;6;8;5; ;2;19;06;15;1194,08950254883
5475194;1;2;1;10;2;2;10;1990;30;2;6; ;3;3; ;2; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;1;36341;2;1;2; ;6;6;5; ;2;17;06;15;1194,08950254883
5475195;1;1;1;10;1;2;10;1956;64;1;6; ;2;3; ;3; ;2; ; ; ; ; ; ; ; ; ; ; ;1; ;2;1; ; ;1;5; ;2;1;2; ;4;8; ; ;2;8;06;15;1194,08950254883
5475200;1;1;1;10;1;1;1;1949;72;1;6; ;3;3; ;3; ;1;2; ; ; ; ; ; ; ; ; ; ;1; ;2;1; ; ;1;2;72640;2;1;2; ;3;5; ; ;2;5;06;15;1194,08950254883
5475200;1;2;1;10;2;2;1;1961;60;2;6; ;3;2; ;3; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;06;15;1194,08950254883
5475200;1;3;1;10;3;2;6;1987;34;5;6; ;3;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;5; ;2;1;2; ;6;1;3; ;2;12;06;15;1194,08950254883
5475200;1;4;1;10;4;1;8;2009;11;4;6; ;6;2; ;1;3; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;1;5; ;2;1;1;2;4;0; ; ;2;5;06;15;1194,08950254883
5475200;1;5;1;10;5;2;10;2014;6;4;6; ; ;2; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;1;1;2;3;0; ; ;2;0;06;15;1194,08950254883
5475201;1;1;1;10;1;2;9;1979;41;1;6; ;2;3; ;2; ;1;2; ; ;1; ; ; ; ; ; ; ; ; ;2;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;11;06;15;3095,61506113821
5475201;1;2;1;10;2;1;11;1988;32;2;6; ;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;1;36341;2;1;2; ;5;11;2; ;2;11;06;15;3095,61506113821
