Directorio;Secuencia_p;Orden;Hogar;Regis;P7480;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Area;Fex_c_2011;Mes;Dpto
2861550;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;73;254,772050548795;01;73
2861551;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;73;353,450230299312;01;73
2861551;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;73;353,450230299312;01;73
2861552;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;24; ; ; ; ; ; ; ; ;73;227,76152716754;01;73
2861553;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;73;227,76152716754;01;73
2861554;1;1;1;90; ;2;1;2;2;1;2;2;2;2;2; ;24; ; ;48; ; ; ; ; ;73;220,823023840237;01;73
2861554;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;220,823023840237;01;73
2861554;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;73;220,823023840237;01;73
2861555;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;73;160,801574711824;01;73
2861555;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;73;160,801574711824;01;73
2861556;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;73;235,311421530117;01;73
2861556;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;73;235,311421530117;01;73
2861557;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;15; ;35; ; ; ; ; ; ;73;330,321787546614;01;73
2861557;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;35; ; ; ; ; ; ;73;330,321787546614;01;73
2861558;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;38; ; ; ; ; ; ;73;205,800240594613;01;73
2861559;1;1;1;90; ;2;1;1;1;2;2;2;2;2;2; ;15;30;20; ; ; ; ; ; ;73;183,838954021687;01;73
2861560;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;25; ;25; ; ; ; ; ; ;73;232,969600513144;01;73
2861560;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;73;232,969600513144;01;73
2861561;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;73;181,826833756138;01;73
2861561;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;15; ;15; ; ; ; ; ; ;73;181,826833756138;01;73
2861561;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;73;181,826833756138;01;73
2861561;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;73;181,826833756138;01;73
2861561;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;73;181,826833756138;01;73
2861562;1;1;1;90; ;1;1;1;1;2;2;2;2;2;2;7;7;3;7; ; ; ; ; ; ;73;531,643379446054;01;73
2861562;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;73;531,643379446054;01;73
2861565;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;73;479,38480024392;01;73
2861565;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;73;479,38480024392;01;73
2861565;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;73;479,38480024392;01;73
2861566;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;300,540944004135;01;73
2861566;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;3; ;14; ; ; ; ; ; ;73;300,540944004135;01;73
2861566;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;14; ;18; ; ; ; ; ; ;73;300,540944004135;01;73
2861566;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;300,540944004135;01;73
2861567;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;73;293,428781170898;01;73
2861568;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;3; ;14; ; ; ; ; ; ;73;240,678331412996;01;73
2861568;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;14; ;28; ; ; ; ; ; ;73;240,678331412996;01;73
2861568;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;3; ;7; ; ; ; ; ; ;73;240,678331412996;01;73
2861568;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;73;240,678331412996;01;73
2861569;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;7; ;8; ; ; ; ; ; ;73;411,600481189227;01;73
2861570;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;73;591,16932786698;01;73
2861570;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;73;591,16932786698;01;73
2861570;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;73;591,16932786698;01;73
2861570;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;73;591,16932786698;01;73
2861571;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;49; ; ; ; ; ; ; ; ;73;219,383409761707;01;73
2861571;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;219,383409761707;01;73
2861571;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;42; ; ; ; ; ; ; ; ;73;219,383409761707;01;73
2861571;1;4;1;90; ;2;1;2;1;2;2;2;2;2;2; ;14; ;35; ; ; ; ; ; ;73;219,383409761707;01;73
2861572;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;73;239,69240012196;01;73
2861572;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;73;239,69240012196;01;73
2861572;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;73;239,69240012196;01;73
2861574;1;1;1;90; ;2;1;1;2;2;2;2;2;2;2; ;21;28; ; ; ; ; ; ; ;73;206,240767415738;01;73
2861575;1;1;1;90; ;2;1;2;2;1;2;2;2;2;2; ;42; ; ;30; ; ; ; ; ;73;555,001538804975;01;73
2861575;1;2;1;90; ;2;1;2;2;1;2;2;2;2;2; ;3; ; ;3; ; ; ; ; ;73;555,001538804975;01;73
2861575;1;3;1;90; ;2;1;2;2;1;2;2;2;2;2; ;9; ; ;8; ; ; ; ; ;73;555,001538804975;01;73
2861576;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;73;571,218448402692;01;73
2861576;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;73;571,218448402692;01;73
2861576;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;73;571,218448402692;01;73
2861577;1;1;1;90; ;2;1;2;2;1;2;2;2;2;2; ;1; ; ;7; ; ; ; ; ;73;277,500769402488;01;73
2861577;1;2;1;90; ;2;1;2;2;1;2;2;2;2;2; ;42; ; ;21; ; ; ; ; ;73;277,500769402488;01;73
2861577;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;277,500769402488;01;73
2861578;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;73;213,350134957191;01;73
2861578;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;73;213,350134957191;01;73
2861579;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;308,011037595397;01;73
2861579;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;73;308,011037595397;01;73
