Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Area;Esc;Mes;Dpto;Fex_c_2011
2861550;1;1;1;10;1;2;1;10;1978;33;1;6;2;2; ; ; ; ;1;1;2; ;4;6; ;73;6;01;73;254,772050548795
2861550;1;2;1;10;1;1;1;11;2004;7;3; ;2;2; ; ; ; ;1;2;1;1;3;0; ;73;0;01;73;254,772050548795
2861550;1;3;1;10;1;1;1;10;2000;11;5;6;1; ; ;3; ; ;2;1;1;1;3;3; ;73;3;01;73;254,772050548795
2861551;1;1;1;10;1;1;1;4;1956;55;1;4;1; ; ;3; ; ;2;1;2; ;6;3;3;73;14;01;73;353,450230299312
2861551;1;2;1;10;2;1;1;3;1987;24;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;73;11;01;73;353,450230299312
2861552;1;1;1;10;1;2;1;7;1985;26;1;4;1; ; ;3; ; ;2;1;2; ;5;11;2;73;11;01;73;227,76152716754
2861552;1;2;1;10;2;2;1;5;2006;5;3; ;1; ; ;3; ; ;2;1;1;1;3;0; ;73;0;01;73;227,76152716754
2861552;1;3;1;10;1;2;1;10;2009;2;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;73; ;01;73;227,76152716754
2861553;1;1;1;10;1;2;1;3;1977;34;1;6;1; ; ;3; ; ;2;1;2; ;5;11;2;73;11;01;73;227,76152716754
2861553;1;2;1;10;1;2;1;3;2005;6;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;73;1;01;73;227,76152716754
2861553;1;3;1;10;1;2;1;6;2009;2;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;73; ;01;73;227,76152716754
2861554;1;1;1;10;1;2;1;12;1940;71;1;5;1; ; ;3; ; ;1;1;2; ;3;5; ;73;5;01;73;220,823023840237
2861554;1;2;1;10;1;2;1;4;1917;94;5;5;1; ; ;3; ; ;2;1;2; ;3;2; ;73;2;01;73;220,823023840237
2861554;1;3;1;10;3;1;1;6;1996;15;4;6;1; ; ;3; ; ;2;1;1;1;4;7; ;73;7;01;73;220,823023840237
2861555;1;1;1;10;1;2;1;5;1950;61;1;4;1; ; ;1;2;75000;2;1;2; ;6;3;3;73;14;01;73;160,801574711824
2861555;1;2;1;10;2;2;1;12;1938;73;5;5;1; ; ;3; ; ;2;1;2; ;3;1; ;73;1;01;73;160,801574711824
2861556;1;1;1;10;1;1;1;9;1969;42;1;2;1; ; ;1;1;26000;2;1;2; ;4;8; ;73;8;01;73;235,311421530117
2861556;1;2;1;10;2;2;1;11;1977;34;2;2;1; ; ;1;1;24000;2;1;2; ;6;5;4;73;16;01;73;235,311421530117
2861556;1;3;1;10;2;2;1;10;2000;11;3;6;1; ; ;1;5; ;2;1;1;1;4;0; ;73;5;01;73;235,311421530117
2861557;1;1;1;10;1;1;1;12;1982;29;1;2;1; ; ;2;5; ;2;1;2; ;3;2; ;73;2;01;73;330,321787546614
2861557;1;2;1;10;2;2;1;8;1989;22;2;2;1; ; ;3; ; ;2;1;2; ;4;6; ;73;6;01;73;330,321787546614
2861557;1;3;1;10;1;2;1;8;2006;5;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;73;0;01;73;330,321787546614
