DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7490;P7490S1;INI;DPTO;fex_c_2011
448060;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;701,589142118332
448060;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;701,589142118332
448069;1;2;05;80;1;1;7; ;2; ; ; ; ; ;1;05;653,247638744421
448071;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;771,412456827505
448071;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;771,412456827505
448072;1;2;05;80;1;4;3; ;2; ; ; ; ; ;1;05;811,011607367658
448075;1;3;05;80;1;4;2; ;2; ; ; ; ; ;1;05;598,13694714006
448076;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;676,128344633527
448076;1;3;05;80;1;1;1; ;2; ; ; ; ; ;1;05;676,128344633527
448076;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;676,128344633527
448077;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;993,175825984238
448077;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;993,175825984238
448078;1;2;05;80;1;2;2; ;2; ; ; ; ; ;1;05;820,186153244225
448078;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;820,186153244225
448078;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;820,186153244225
448082;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;729,393749406684
448083;1;1;05;80;1;4;2; ;2; ; ; ; ; ;1;05;730,308857397744
448083;1;3;05;80;1;1;7; ;2; ; ; ; ; ;1;05;730,308857397744
448083;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;730,308857397744
448086;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;821,005084372656
448086;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;821,005084372656
448087;1;2;05;80;1;1;2; ;2; ; ; ; ; ;1;05;657,25364575678
448087;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;657,25364575678
448087;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;657,25364575678
448088;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;719,208266151533
448089;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;844,485085482904
448089;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;844,485085482904
448090;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;841,411603476039
448091;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;768,33897482064
448091;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;768,33897482064
448093;1;1;05;80;1;1;5; ;2; ; ; ; ; ;1;05;716,213196517758
448095;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;802,051973122818
448095;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;802,051973122818
448096;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;731,774226594987
448096;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;731,774226594987
448096;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;731,774226594987
448097;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;827,684892578135
448097;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;827,684892578135
448097;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;827,684892578135
448097;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;827,684892578135
448099;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;808,631130179356
448100;1;2;05;80;1;3;1; ;2; ; ; ; ; ;1;05;681,152897181714
448101;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;1107,3520540694
448102;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;776,274357869666
448102;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;776,274357869666
448102;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;776,274357869666
448102;1;6;05;80;2; ; ; ; ; ; ; ; ; ;1;05;776,274357869666
448103;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;744,040042581961
448104;1;2;05;80;1;4;3; ;2; ; ; ; ; ;1;05;919,716459243216
448105;1;6;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1091,77323588863
448106;1;2;05;80;1;2;0; ;2; ; ; ; ; ;1;05;919,716459243216
448108;1;2;05;80;1;4;3; ;2; ; ; ; ; ;1;05;933,816594409514
448108;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;933,816594409514
448108;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;933,816594409514
448110;1;2;05;80;1;4;4; ;3; ; ; ; ; ;1;05;821,005084372656
448110;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;821,005084372656
448111;1;1;05;80;1;4;3; ;2; ; ; ; ; ;1;05;720,219203530118
448112;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;974,10874976823
448112;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;974,10874976823
448112;1;6;05;80;1;3;5; ;2; ; ; ; ; ;1;05;974,10874976823
448115;1;3;05;80;1;2;3; ;2; ; ; ; ; ;1;05;657,25364575678
448115;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;657,25364575678
448118;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;591,851114088339
448118;1;3;05;80;1;1;0; ;2; ; ; ; ; ;1;05;591,851114088339
448120;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;946,281903704027
448120;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;946,281903704027
448121;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;976,388575807591
448121;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;976,388575807591
448123;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;893,956632093606
448124;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;834,299602227753
448124;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;834,299602227753
448124;1;6;05;80;1;1;8;ESTA PAGANDO UNA CONDENA DE 15 MESES EN LA CASA;2; ; ; ; ; ;1;05;834,299602227753
448124;1;7;05;80;2; ; ; ; ; ; ; ; ; ;1;05;834,299602227753
448126;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;744,040042581961
448127;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;653,247638744421
448129;1;1;05;80;1;4;3; ;2; ; ; ; ; ;1;05;960,928196879304
448129;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;960,928196879304
448130;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;827,283430366992
448132;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;599,241715215923
448132;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;599,241715215923
448133;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;691,38142008733
448134;1;1;05;80;1;2;4; ;3; ; ; ; ; ;1;05;960,928196879304
448134;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;960,928196879304
448135;1;1;05;80;1;3;4; ;3; ; ; ; ; ;1;05;824,078566379521
448135;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;824,078566379521
448135;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;824,078566379521
448137;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;599,241715215923
448137;1;3;05;80;1;1;5; ;2; ; ; ; ; ;1;05;599,241715215923
448138;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;798,96070301241
448138;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;798,96070301241
448139;1;1;05;80;1;4;2; ;2; ; ; ; ; ;1;05;814,105519160031
448140;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;801,119448117324
448141;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;960,928196879304
448141;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;960,928196879304
448143;1;2;05;80;1;4;5; ;2; ; ; ; ; ;1;05;765,265492813775
448147;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;774,225127058616
448148;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;772,466062767448
448148;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;772,466062767448
448148;1;6;05;80;2; ; ; ; ; ; ; ; ; ;1;05;772,466062767448
448150;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;722,713941201206
448151;1;1;05;80;1;4;3; ;2; ; ; ; ; ;1;05;960,928196879304
448151;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;960,928196879304
448152;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;797,105832947723
448152;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;797,105832947723
448153;1;7;05;80;2; ; ; ; ; ; ; ; ; ;1;05;650,326042601407
448153;1;8;05;80;2; ; ; ; ; ; ; ; ; ;1;05;650,326042601407
448153;1;9;05;80;2; ; ; ; ; ; ; ; ; ;1;05;650,326042601407
448153;1;10;05;80;2; ; ; ; ; ; ; ; ; ;1;05;650,326042601407
448154;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;847,558567489769
448154;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;847,558567489769
448154;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;847,558567489769
448155;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;905,188605320423
448156;1;3;05;80;1;1;1; ;2; ; ; ; ; ;1;05;714,333051292143
448156;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;714,333051292143
448157;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;768,33897482064
448158;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;653,247638744421
448160;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;694,987746285944
448160;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;694,987746285944
448163;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;719,208266151533
448168;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;717,939377490757
448169;1;3;05;80;1;4;3; ;2; ; ; ; ; ;1;05;720,219203530118
448171;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;768,33897482064
448172;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;561,666029611685
448172;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;561,666029611685
448176;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;899,423534016896
448177;1;5;05;80;1;4;0; ;2; ; ; ; ; ;1;05;927,136786204035
448178;1;1;05;80;1;4;2; ;2; ; ; ; ; ;1;05;716,213196517758
448180;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;801,119448117324
448181;1;3;05;80;1;1;7; ;2; ; ; ; ; ;1;05;711,259569285278
448182;1;1;05;80;1;2;3; ;3; ; ; ; ; ;1;05;694,987746285944
448182;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;694,987746285944
448183;1;4;05;80;1;1;8;TRABAJO VACACIONAL;2; ; ; ; ; ;1;05;722,814592350147
448184;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;643,261648796808
448184;1;2;05;80;1;4;0; ;2; ; ; ; ; ;1;05;643,261648796808
448185;1;1;05;80;1;2;4; ;3; ; ; ; ; ;1;05;643,261648796808
448185;1;2;05;80;1;4;4; ;3; ; ; ; ; ;1;05;643,261648796808
448187;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;731,673575446046
448190;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;653,247638744421
448193;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;771,533537761954
448193;1;7;05;80;1;4;6; ;2; ; ; ; ; ;1;05;771,533537761954
448196;1;1;05;80;1;4;2; ;3; ; ; ; ; ;1;05;773,813363801315
448196;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;773,813363801315
448196;1;3;05;80;1;4;6; ;2; ; ; ; ; ;1;05;773,813363801315
448196;1;6;05;80;1;4;3; ;2; ; ; ; ; ;1;05;773,813363801315
448198;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;938,783164370117
448203;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;975,867814059397
448205;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;793,170751251068
448206;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;486,119093070706
448206;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;486,119093070706
448209;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;862,637053707853
448211;1;2;05;80;1;1;7; ;2; ; ; ; ; ;1;05;632,022188512606
448213;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;839,950708565109
448215;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;739,164827722571
448217;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;942,776228654354
448217;1;3;05;80;1;2;5; ;2; ; ; ; ; ;1;05;942,776228654354
448217;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;942,776228654354
448218;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;960,008614601931
448219;1;2;05;80;1;4;7; ;2; ; ; ; ; ;1;05;690,034119053463
448219;1;3;05;80;1;1;1; ;2; ; ; ; ; ;1;05;690,034119053463
448219;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;690,034119053463
448220;1;2;05;80;1;4;0; ;1;2;2; ;2; ;1;05;925,056453472213
448220;1;3;05;80;1;2;2; ;2; ; ; ; ; ;1;05;925,056453472213
448221;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;634,302014551968
448221;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;634,302014551968
448224;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;571,33645677863
448225;1;2;05;80;1;4;4; ;3; ; ; ; ; ;1;05;960,928196879304
448226;1;1;05;80;1;3;4; ;3; ; ; ; ; ;1;05;1033,87974460025
448227;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;821,005084372656
448227;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;821,005084372656
448228;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;960,928196879304
448229;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;657,25364575678
448229;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;657,25364575678
448229;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;657,25364575678
448230;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;513,945939134908
448230;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;513,945939134908
448230;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;513,945939134908
448230;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;513,945939134908
448232;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;716,213196517758
448233;1;1;05;80;1;4;3; ;2; ; ; ; ; ;1;05;902,916266338446
448233;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;902,916266338446
448235;1;1;05;80;1;4;2; ;2; ; ; ; ; ;1;05;768,967874775161
448235;1;2;05;80;1;2;5; ;2; ; ; ; ; ;1;05;768,967874775161
448235;1;4;05;80;1;4;4; ;3; ; ; ; ; ;1;05;768,967874775161
448235;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;768,967874775161
448235;1;6;05;80;2; ; ; ; ; ; ; ; ; ;1;05;768,967874775161
448235;1;8;05;80;2; ; ; ; ; ; ; ; ; ;1;05;768,967874775161
448236;1;1;05;80;1;2;4; ;3; ; ; ; ; ;1;05;818,725258333294
448236;1;2;05;80;1;4;0; ;2; ; ; ; ; ;1;05;818,725258333294
448236;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;818,725258333294
