DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6290;P6290S1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;DPTO;fex_c_2011
448060;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;701,589142118332
448060;1;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;701,589142118332
448060;1;3;05;50;3;3; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;701,589142118332
448060;1;4;05;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;701,589142118332
448060;1;5;05;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;701,589142118332
448061;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;821,412373343643
448062;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;862,637053707853
448062;1;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;862,637053707853
448064;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;764,332967808281
448065;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;847,176674779566
448066;1;1;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;960,008614601931
448066;1;2;05;50;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;960,008614601931
448067;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;980,402190977192
448067;1;2;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;980,402190977192
448068;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;707,253562272918
448069;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;653,247638744421
448069;1;2;05;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;653,247638744421
448071;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;771,412456827505
448071;1;2;05;50;2;4; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;05;771,412456827505
448071;1;3;05;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;771,412456827505
448071;1;4;05;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;771,412456827505
448072;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;811,011607367658
448072;1;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;811,011607367658
448072;1;3;05;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;811,011607367658
448072;1;4;05;50;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;811,011607367658
448073;1;1;05;50;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;662,207272989261
448073;1;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;662,207272989261
448074;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;862,637053707853
448074;1;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;862,637053707853
448075;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;598,13694714006
