DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6050;P6080;P6080S1;P6060;P6060S1;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6180;P6180S1;P6180S2;P6190;P6190S1;P6200;P6200S1;P6210;P6210S1;P6220;P6040;DPTO;fex_c_2011
448060;1;1;05;10;1;1;1;12;1954;1;6; ;2; ;6;1; ; ;1;1;76000;2;1;2; ; ; ; ; ; ; ; ;6;1;3;52;05;701,589142118332
448060;1;2;05;10;2;2;1;6;1959;2;6; ;2; ;6;1; ; ;1;1;17400;2;1;2; ; ; ; ; ; ; ; ;5;11;2;48;05;701,589142118332
448060;1;3;05;10;1;1;1;7;1984;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;6;4;2;23;05;701,589142118332
448060;1;4;05;10;1;1;1;9;1987;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;6;1;2;19;05;701,589142118332
448060;1;5;05;10;1;1;1;4;1991;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;2;2; ; ;2; ;2; ;5;10;2;16;05;701,589142118332
448061;1;1;05;10;1;2;1;8;1980;1;6; ;2; ;3;1; ; ;3; ; ;1;1;2; ; ; ; ;2; ;2; ;4;7; ;27;05;821,412373343643
448061;1;2;05;10;1;2;1;7;2001;3;6; ;2; ; ;1; ; ;3; ; ;2;2;1;1;1;50;1000;2; ;2; ;2;0; ;6;05;821,412373343643
448061;1;3;05;10;1;2;1;1;2006;3;6; ;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;821,412373343643
448062;1;1;05;10;1;1;1;7;1979;1;6; ;2; ;6;1; ; ;1;3;54000;2;1;2; ; ; ; ;2; ;2; ;3;5; ;28;05;862,637053707853
448062;1;2;05;10;2;2;1;2;1979;2;6; ;2; ;6;1; ; ;1;1;17400;2;1;2; ; ; ; ;2; ;2; ;5;11;2;28;05;862,637053707853
448062;1;3;05;10;1;1;1;12;1999;3;6; ;2; ; ;1; ; ;1;5; ;2;1;1;1;1;40;700;2; ;2; ;3;1; ;7;05;862,637053707853
448064;1;1;05;10;1;2;1;11;1977;1;6; ;2; ;3;1; ; ;1;1;48000;2;1;2; ; ; ; ;2; ;2; ;6;5;4;29;05;764,332967808281
448064;1;2;05;10;1;2;1;8;2002;3;6; ;2; ; ;1; ; ;1;5; ;2;2;1;2;2; ; ;2; ;2; ;2;0; ;5;05;764,332967808281
448065;1;1;05;10;1;1;1;12;1973;1;6; ;2; ;5;1; ; ;1;1;40000;2;1;1;2;2; ; ;2; ;2; ;6;3;2;33;05;847,176674779566
448066;1;1;05;10;2;1;1;10;1967;1;6; ;2; ;2;1; ; ;1;1;16300;2;1;2; ; ; ; ; ; ; ; ;3;5; ;39;05;960,008614601931
448066;1;2;05;10;2;2;1;3;1973;2;6; ;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;5; ;34;05;960,008614601931
448066;1;3;05;10;2;1;1;9;1997;3;6; ;2; ;5;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;3;2; ;10;05;960,008614601931
448066;1;4;05;10;2;1;1;7;2001;3;6; ;2; ; ;1; ; ;3; ; ;2;2;1;1;2; ; ;2; ;2; ;2;0; ;6;05;960,008614601931
448067;1;1;05;10;1;1;1;10;1974;1;6; ;2; ;3;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;1; ;32;05;980,402190977192
448067;1;2;05;10;1;1;1;5;1990;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;3; ;17;05;980,402190977192
448067;1;3;05;10;1;1;1;10;1998;3;6; ;2; ; ;1; ; ;3; ; ;2;1;1;1;1;0;5000;2; ;2; ;3;2; ;8;05;980,402190977192
448067;1;4;05;10;1;2;1;11;2001;3;6; ;2; ; ;1; ; ;3; ; ;2;2;1;1;1;40;2000;2; ;2; ;2;0; ;5;05;980,402190977192
448068;1;1;05;10;1;2;1;4;1980;1;6; ;2; ;5;1; ; ;1;1;44000;2;1;2; ; ; ; ;2; ;2; ;6;5;4;27;05;707,253562272918
448069;1;1;05;10;1;2;1;4;1964;1;6; ;2; ;3;1; ; ;1;1;32000;2;1;2; ; ; ; ; ; ; ; ;6;5;4;43;05;653,247638744421
448069;1;2;05;10;1;2;1;4;1988;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;2;2; ; ;2; ;1;2750000;6;1;2;19;05;653,247638744421
448071;1;1;05;10;1;1;1;7;1973;1;6; ;2; ;2;1; ; ;1;3;54300;2;1;2; ; ; ; ;2; ;2; ;5;10;1;34;05;771,412456827505
448071;1;2;05;10;2;2;1;2;1973;2;6; ;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2;34;05;771,412456827505
448071;1;3;05;10;1;2;1;6;1991;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;1;200;2500;2; ;2; ;4;8; ;16;05;771,412456827505
448071;1;4;05;10;1;2;1;9;1994;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;1;200;2500;2; ;2; ;4;0; ;13;05;771,412456827505
448071;1;5;05;10;1;2;1;11;1996;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;1;200;2500;2; ;2; ;3;3; ;10;05;771,412456827505
448071;1;6;05;10;1;2;1;4;1998;3;6; ;2; ; ;1; ; ;1;5; ;2;1;1;1;1;200;2500;2; ;2; ;3;3; ;9;05;771,412456827505
448072;1;1;05;10;1;1;1;12;1980;1;5; ;2; ;5;1; ; ;1;4; ;2;1;2; ; ; ; ;2; ;2; ;3;5; ;26;05;811,011607367658
448072;1;2;05;10;2;2;1;2;1931;5;5; ;2; ;4;1; ; ;3; ; ;2;2;2; ; ; ; ; ; ; ; ;1;0; ;76;05;811,011607367658
448072;1;3;05;10;3;1;1;6;1985;5;6; ;2; ;5;1; ; ;1;1;24000;2;1;2; ; ; ; ;2; ;2; ;5;11;2;22;05;811,011607367658
448072;1;4;05;10;4;1;1;11;1963;5;5; ;2; ;5;1; ; ;1;4; ;2;1;2; ; ; ; ; ; ; ; ;3;3; ;43;05;811,011607367658
448073;1;1;05;10;1;2;1;8;1945;1;6; ;2; ;3;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ;62;05;662,207272989261
448073;1;2;05;10;2;2;1;1;1984;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;6;2;3;23;05;662,207272989261
448074;1;1;05;10;1;1;1;2;1981;1;6; ;2; ;6;1; ; ;1;1;44000;2;1;2; ; ; ; ;2; ;2; ;6;2;2;26;05;862,637053707853
448074;1;2;05;10;2;2;1;8;1975;2;6; ;2; ;6;1; ; ;1;1;40000;2;1;2; ; ; ; ;2; ;2; ;6;3;3;32;05;862,637053707853
448074;1;3;05;10;1;1;1;7;2005;3;6; ;2; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;05;862,637053707853
448075;1;1;05;10;1;2;1;8;1951;1;6; ;2; ;5;1; ; ;1;1;59994;2;1;2; ; ; ; ; ; ; ; ;6;3;3;56;05;598,13694714006
448075;1;2;05;10;2;1;1;8;1985;3;6; ;2; ;5;1; ; ;1;3;54300;2;1;1;1;2; ; ;2; ;2; ;6;4;2;22;05;598,13694714006
448075;1;3;05;10;3;2;1;2;1948;5;6; ;2; ;5;2;1;24; ; ; ; ;1;2; ; ; ; ; ; ; ; ;5;11;2;59;05;598,13694714006
448075;1;4;05;10;4;1;1;7;1975;5;6; ;2; ;3;1; ; ;1;4; ;2;1;2; ; ; ; ;2; ;2; ;6;3;3;32;05;598,13694714006
448075;1;5;05;10;5;2;1;2;1957;5;6; ;2; ;5;1; ; ;1;1;17300;2;1;2; ; ; ; ; ; ; ; ;5;10;1;50;05;598,13694714006
448076;1;1;05;10;1;1;1;2;1944;1;6; ;2; ;6;1; ; ;1;2;90000;2;1;2; ; ; ; ; ; ; ; ;6;2;3;63;05;676,128344633527
448076;1;2;05;10;2;2;1;3;1956;2;6; ;2; ;6;1; ; ;2;1;160000;2;1;2; ; ; ; ; ; ; ; ;6;4;4;51;05;676,128344633527
448076;1;3;05;10;1;2;1;5;1982;3;6; ;2; ;5;1; ; ;1;3;54300;2;1;1;1;2; ; ;2; ;2; ;6;5;4;25;05;676,128344633527
448076;1;4;05;10;1;2;1;7;1986;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;2;2; ; ;2; ;2; ;6;4;2;21;05;676,128344633527
448076;1;5;05;10;5;2;1;12;1976;6;6; ;2; ;5;1; ; ;1;4; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2;30;05;676,128344633527
448077;1;1;05;10;1;1;1;4;1942;1;6; ;2; ;6;1; ; ;1;2;79200;2;1;2; ; ; ; ; ; ; ; ;3;3; ;65;05;993,175825984238
448077;1;2;05;10;2;2;1;6;1946;2;6; ;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ;61;05;993,175825984238
448077;1;3;05;10;3;1;1;3;1975;3;6; ;2; ;6;1; ; ;1;1;68000;2;1;1;2;2; ; ;2; ;2; ;6;2;2;32;05;993,175825984238
448077;1;4;05;10;4;2;1;7;1978;5;6; ;2; ;6;1; ; ;1;1;17300;2;1;2; ; ; ; ;2; ;2; ;6;5;2;29;05;993,175825984238
448077;1;5;05;10;4;2;1;7;2002;4;6; ;2; ; ;1; ; ;1;5; ;2;2;1;2;2; ; ;2; ;2; ;2;0; ;5;05;993,175825984238
448077;1;6;05;10;4;2;1;1;2007;4;6; ;2; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;0;05;993,175825984238
