DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6080;P6080S1;P6060;P6060S1;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6180;P6180S1;P6180S2;P6190;P6190S1;P6200;P6200S1;P6210;P6210S1;P6220;CLASE;DPTO;fex_c_2011
449989;1;1;10;1;1;1;11;1957;49;1;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ;2;19;797,62728901397
449989;1;2;10;2;2;1;4;1955;52;2;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ;2;19;797,62728901397
449990;1;1;10;1;1;1;8;1951;56;1;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ;2;19;866,679347097184
449990;1;2;10;2;2;1;7;1956;51;2;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;1;0; ;2;19;866,679347097184
449991;1;1;10;1;1;1;8;1993;14;1;6; ;2; ;5;1; ; ;3; ; ;2;1;1;1;1;100;1500;2; ;2; ;3;5; ;2;19;2072,52920920459
449991;1;2;10;1;1;1;4;1998;9;5;6; ;2; ; ;1; ; ;3; ; ;2;1;1;1;1;100;1500;2; ;2; ;3;2; ;2;19;2072,52920920459
449992;1;1;10;1;1;1;8;1954;53;1;6; ;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ;2;19;2927,23400169868
449992;1;2;10;2;2;1;3;1959;48;2;6; ;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;3; ;2;19;2927,23400169868
449992;1;3;10;3;2;1;2;1984;23;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;6; ;2;19;2927,23400169868
449992;1;4;10;4;1;1;7;1985;22;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;3; ;2;19;2927,23400169868
449992;1;5;10;5;1;1;12;1988;18;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;2; ;2;19;2927,23400169868
449992;1;6;10;6;1;1;11;1990;16;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;5; ;2;19;2927,23400169868
449992;1;7;10;7;2;1;12;1995;11;3;6; ;2; ;5;1; ; ;3; ; ;2;1;1;1;1;100;1500;2; ;2; ;3;2; ;2;19;2927,23400169868
449992;1;8;10;8;2;1;12;1995;11;3;6; ;2; ;5;1; ; ;3; ; ;2;1;1;1;1;100;1500;2; ;2; ;3;2; ;2;19;2927,23400169868
449992;1;9;10;1;2;1;6;1999;8;3;6; ;2; ; ;1; ; ;3; ; ;2;2;1;2;2; ; ;2; ;2; ;3;0; ;2;19;2927,23400169868
449992;1;10;10;3;1;1;7;2006;1;4;6; ;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;19;2927,23400169868
449993;1;1;10;1;1;1;9;1956;51;1;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;5;11;2;2;19;2171,51611606545
449993;1;2;10;2;2;1;2;1992;15;3;6; ;2; ;5;1; ; ;3; ; ;2;1;1;1;1;100;3000;2; ;2; ;4;6; ;2;19;2171,51611606545
449993;1;3;10;3;1;2; ; ;55;5;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;3; ;2;19;2171,51611606545
449994;1;1;10;1;1;1;11;1972;34;1;6; ;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;6; ;2;19;1687,29457617049
449994;1;2;10;2;2;1;3;1979;28;2;6; ;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;7; ;2;19;1687,29457617049
449994;1;3;10;2;2;1;4;1998;9;3;6; ;2; ; ;1; ; ;3; ; ;2;1;1;1;1;100;3500;2; ;2; ;3;3; ;2;19;1687,29457617049
449994;1;4;10;2;2;1;1;2000;7;3;6; ;2; ; ;1; ; ;3; ; ;2;1;1;1;1;100;3500;2; ;2; ;3;1; ;2;19;1687,29457617049
449995;1;1;10;1;1;1;6;1958;49;1;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;4;6; ;2;19;959,245606332771
449995;1;2;10;2;2;1;10;1961;45;2;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;3; ;2;19;959,245606332771
449995;1;3;10;3;2;1;11;1985;21;3;6; ;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;5; ;2;19;959,245606332771
449995;1;4;10;3;1;1;3;2007;0;4;6; ;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;19;959,245606332771
449996;1;1;10;1;1;1;11;1981;25;1;6; ;2; ;2;1; ; ;3; ; ;1;1;2; ; ; ; ;2; ;2; ;4;6; ;2;19;1913,66848587986
449996;1;2;10;2;2;1;11;1986;20;2;6; ;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2;2;19;1913,66848587986
449996;1;3;10;1;1;1;3;2004;3;3;6; ;2; ; ;1; ; ;3; ; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ;2;19;1913,66848587986
449997;1;1;10;1;1;1;7;1960;47;1;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;4; ;2;19;731,80850042467
449997;1;2;10;2;2;1;8;1966;41;2;6; ;2; ;6;1; ; ;3; ; ;1;1;2; ; ; ; ; ; ; ; ;5;11;2;2;19;731,80850042467
449997;1;3;10;3;2;1;9;1992;14;3;6; ;2; ;5;2;1;9; ; ; ; ;1;1;1;2; ; ;2; ;2; ;4;7; ;2;19;731,80850042467
449997;1;4;10;4;2;1;7;1994;13;3;6; ;2; ;5;2;1;9; ; ; ; ;1;1;1;2; ; ;2; ;2; ;4;7; ;2;19;731,80850042467
449997;1;5;10;2;1;1;9;2004;3;3;6; ;2; ; ;1; ; ;3; ; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ;2;19;731,80850042467
449997;1;6;10;6;2;1;1;1939;68;5;6; ;2; ;4;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ;2;19;731,80850042467
449998;1;1;10;1;1;1;9;1967;40;1;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;4;7; ;2;19;1913,35386265693
449998;1;2;10;2;2;1;11;1964;42;2;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;4;6; ;2;19;1913,35386265693
449998;1;3;10;3;2;1;5;1995;12;3;6; ;2; ;5;1; ; ;3; ; ;2;1;1;1;1;100;2000;2; ;2; ;3;5; ;2;19;1913,35386265693
449998;1;4;10;4;1;1;11;1996;10;3;6; ;2; ;5;1; ; ;3; ; ;2;1;1;1;1;100;2000;2; ;2; ;3;2; ;2;19;1913,35386265693
449998;1;5;10;1;2;1;5;1998;9;3;6; ;2; ; ;1; ; ;3; ; ;2;1;1;1;1;100;2000;2; ;2; ;3;2; ;2;19;1913,35386265693
449998;1;6;10;1;1;1;2;2004;3;3;6; ;2; ; ;1; ; ;3; ; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ;2;19;1913,35386265693
