DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6080;P6080S1;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P3147S10A1;P3246;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
5225576;1;1;1;10;1;1;8;1965;55;1;6; ;1;3; ;3; ;1;2; ; ; ; ; ; ; ; ; ; ;1; ;2;1; ; ;1;1;36000;2;1;2; ;3;5; ; ;2;5;09;05;2395,97753093601
5225576;1;2;1;10;2;2;9;1970;50;2;1;800_02;1;3; ;3; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;09;05;2395,97753093601
5225576;1;3;1;10;3;2;12;2004;15;3;1;800_02;6;2; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;1;1;4;7; ; ;2;7;09;05;2395,97753093601
5225577;1;1;1;10;1;1;4;1993;27;1;6; ;2;3; ;2; ;1;2; ; ; ;1; ; ; ; ; ; ; ; ;2;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;09;05;5896,40354006172
5225577;1;2;1;10;2;2;2;2001;19;2;6; ;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;8;09;05;5896,40354006172
5225577;1;3;1;10;3;1;6;2019;1;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;09;05;5896,40354006172
5225578;1;1;1;10;1;1;6;1945;75;1;6; ;3;3; ;3; ;1;2; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;09;05;3233,18201599458
5225578;1;2;1;10;2;2;4;1950;70;2;6; ;3;3; ;3; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;09;05;3233,18201599458
5225579;1;1;1;10;1;1;12;1998;21;1;6; ;6;2; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2;1; ; ;1;1;36000;2;1;2; ;4;8; ; ;2;8;09;05;4867,10132879738
5225579;1;2;1;10;2;2;4;1981;39;5;1;800_02;4;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;09;05;4867,10132879738
5225579;1;3;1;10;2;2;12;2019;0;5;6; ; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ;2; ; ; ; ; ; ; ;2; ;09;05;4867,10132879738
5225579;1;4;1;10;4;1;12;1992;27;5;6; ;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;1;36000;2;1;2; ;3;5; ; ;2;5;09;05;4867,10132879738
5225580;1;1;1;10;1;1;12;1986;33;1;6; ;2;3; ;2; ;1;2; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ;1;1;36000;2;1;2; ;3;1; ; ;2;1;09;05;6638,61703694259
5225580;1;2;1;10;2;2;7;1993;27;2;6; ;2;2; ;2; ;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;11;09;05;6638,61703694259
5225580;1;3;1;10;3;1;4;2006;14;3;6; ;6;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;5; ;2;1;1;1;4;0; ; ;2;5;09;05;6638,61703694259
5225580;1;4;1;10;4;2;9;2007;13;3;6; ;6;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;5; ;2;1;1;1;3;4; ; ;2;4;09;05;6638,61703694259
5225580;1;5;1;10;5;2;9;2009;11;3;6; ;6;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;5; ;2;1;1;1;3;2; ; ;2;2;09;05;6638,61703694259
5225580;1;6;1;10;6;1;8;2009;11;3;6; ;6;2; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;5; ;2;1;1;1;3;3; ; ;2;3;09;05;6638,61703694259
5225580;1;7;1;10;2;2;4;2011;9;3;6; ; ;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;1;1;1;3;1; ; ;2;1;09;05;6638,61703694259
5225580;1;8;1;10;2;1;6;2014;6;3;6; ; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;2;1;1;3;0; ; ;2;0;09;05;6638,61703694259
5225581;1;1;1;10;1;1;7;1978;42;1;6; ;4;3; ;2; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ;1;2;1;6; ; ; ;2;1;1;1;4;0; ; ;2;5;09;05;4377,77740690544
5225582;1;1;1;10;1;2;12;1955;64;1;6; ;4;3; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;09;05;3651,61909399151
