DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5214368;1;3;1;70;05;52;48;1; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;49;84;98;1;2;4921;09;05;1302,98247483777
5214381;1;2;1;70;52;8;48;3; ;2;20;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;97;54;54;1;1;9700;09;52;283,616756009422
5214385;1;2;1;70;52;8;40;1; ;2;52;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;01;45;62;1;1;0121;09;52;173,500566365295
5214402;1;2;1;70;52;48;48;1; ;2;48;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;97;97;54;1;2;9700;09;52;250,641209429005
5214482;1;3;1;70;17;44;60;1; ;2;44;4; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;49;98;98;1;2;4921;09;17;176,24600342972
5214517;1;1;1;70;50;24;50;4; ;2;26;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;950000;2; ;41;95;95;1;2;4111;09;50;153,472052205636
5214521;1;1;1;70;50;26;30;1; ;2;26;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;53;53;1;2;5619;09;50;327,599261960456
5214531;1;1;1;70;50;30;48;1; ;2;70;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877000;2; ;41;95;95;1;2;4111;09;50;94,1723216331621
5214531;1;3;1;70;50;32;48;1; ;2;32;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877000;2; ;92;33;59;1;2;9200;09;50;94,1723216331621
5214541;1;2;1;70;66;26;48;1; ;2;26;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;41;95;95;1;2;4111;09;66;299,684653118101
5214541;1;3;1;70;66;26;48;1; ;2;26;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;82;38;38;1;2;8220;09;66;299,684653118101
5214542;1;3;1;70;66;13;48;1; ;2;13;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;31;81;81;1;1;3110;09;66;409,56369534579
5214546;1;5;1;70;66;26;48;1; ;2;26;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;41;95;95;1;2;4111;09;66;581,123243773952
5214551;1;2;1;70;66;20;48;1; ;2;20;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;41;95;95;1;2;4111;09;66;366,905802662509
5214553;1;2;1;70;66;21;48;1; ;2;21;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;56;95;50;1;2;5613;09;66;332,616686568809
5214553;1;3;1;70;66;12;48;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;82;53;38;1;1;8220;09;66;332,616686568809
5214562;1;2;1;70;05;4;48;1; ;2;12;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;890000;2; ;56;79;53;1;1;5611;09;05;1134,10424945926
5214592;1;1;1;70;17;20;48;3; ;2;20;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;97;54;54;1;2;9700;09;17;246,157130318634
