DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6006;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;clase;MES;DPTO;fex_c_2011;AREA
4161807;1;5;4;1;1;1;1;1;3;1; ; ;50000000;400000; ;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;2;2;2;1;2;2;1;4; ;4;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1337,27845013839;05
4161808;1;2;1;1;1;1;1;1;3;1; ; ;25000000;350000; ;2;1;2;1;1;1;1;1;1;2;1;2;1;2;2;2;2;2;1;2;2;1;2; ;4;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;881,033675820259;05
4161809;1;3;1;1;1;1;1;1;3;3; ; ; ; ;350000;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;873,065689846278;05
4161810;1;4;1;1;1;1;1;1;3;3; ; ; ; ;750000;2;1;1;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1; ;1;1;1;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1037,1364043129;05
4161811;1;4;2;1;1;1;1;1;3;2; ;1300000;180000000;850000; ;2;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;897,662329413117;05
4161812;1;3;2;1;1;1;1;1;3;3; ; ; ; ;620000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;3; ;3;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1022,58893496046;05
4161813;1;4;3;1;1;1;1;1;4;3; ; ; ; ;320000;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;3; ;3;2; ;1;2;1;4;1;2;2;1;1;2;1;1;01;1;10;05;2233,22578430222;05
4161814;1;4;2;1;1;1;1;1;4;3; ; ; ; ;290000;2;1;2;2;1;1;1;2;1;2;1;2;1;2;2;2;1;2;2;2;2;1;3; ;3;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;1;10;05;2276,60876020649;05
4161815;1;7;4;1;1;1;1;1;4;1; ; ;98;350000; ;1;1;2;1;1;1;1;2;2;1;1;2;2;1;2;2;2;2;1;2;2;1;2; ;5;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;1;10;05;1878,87623071699;05
4161816;1;4;3;1;1;1;1;1;3;1; ; ;100000000;500000; ;1;1;1;1;1;1;1;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;2; ;3;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;10;05;1050,090726142;05
4161817;1;3;2;1;1;1;1;1;1;2; ;569000;80000000;4000000; ;2;1;2;1;1;1;1;1;1;2;1;1;1;2;2;2;1;1;2;2;2;1;2; ;3;2; ;1;2;1;4;1;3;2;1;1;3;1;1;01;1;10;05;1205,57357732527;05
4161818;1;4;2;1;1;1;1;1;3;2; ;460000;65000000;400000; ;1;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;2; ;3;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;10;05;1022,58893496046;05
4161819;1;3;1;1;1;1;1;1;1;3; ; ; ; ;450000;2;1;1;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;1;2;1;1; ;1;2; ;1;2;1;4;1;3;2;1;1;3;1;1;01;1;10;05;1131,16036150355;05
4161820;1;4;2;1;1;1;1;1;3;3; ; ; ; ;750000;1;1;1;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;1;2;2;1;2; ;3;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1216,3761167444;05
4161821;1;3;2;1;1;1;1;1;4;3; ; ; ; ;200000;2;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2; ;4;2; ;1;2;1;2;1;2;2;1;1;2;1;1;01;1;10;05;2147,99378045984;05
4161822;1;4;2;1;1;1;1;1;3;2; ;1000000;98;500000; ;1;1;1;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2; ;2;1;1;1;2;1;4;1;2;1;1;1;3;1;1;01;1;10;05;972,004947065285;05
4161823;1;4;1;1;1;1;1;1;3;1; ; ;70000000;500000; ;2;2;2;2;1;2;1;1;1;2;1;2;2;1;2;2;2;2;2;2;2;1;1; ;2;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;10;05;1066,85287163022;05
4161824;1;4;3;1;1;1;1;1;3;3; ; ; ; ;350000;1;1;2;2;1;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;3; ;8;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;841,960165070532;05
4161825;1;5;1;1;1;1;1;1;3;1; ; ;98;500000; ;2;1;2;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;1;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;10;05;1040,0415559276;05
4161826;1;1;1;1;1;1;1;2;1;4; ; ; ;80000; ;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ;1;2; ;1;2;1;2;1;1;2;1;1;2;1;1;01;1;10;05;2407,80565353237;05
