DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
6,000,637;1;3;1;70;2;52;50;700,000;3;;2;52;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;11;9700;15;1333.0602624
6,005,468;1;2;1;70;2;43;30;300,000;1;;2;13;4;;1;2;1;;2;;;;;;;;;;;1;2;;01;53;62;1;2;11;0161;19;638.53295622
6,005,562;1;1;1;70;2;12;40;700,000;3;;2;12;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;1;11;9700;19;638.53295622
6,005,578;1;3;1;70;2;12;40;1,000,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;11;;19;2745.6917117
6,005,580;1;3;1;70;2;4;35;700,000;4;;2;4;4;;1;2;1;;2;;;;;;1;;;;;;1;170000;01;62;62;1;1;11;0161;19;638.53295622
6,005,581;1;4;1;70;2;8;40;908,526;1;;2;12;1;;4;2;1;;2;;;;;;;;;;;1;2;;47;58;58;1;1;11;4711;19;638.53295622
6,005,581;1;5;1;70;2;12;40;908,526;3;;2;16;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;1;11;9700;19;638.53295622
6,005,582;1;3;1;70;2;12;44;800,000;1;;2;16;1;;1;2;1;;2;;;;;;;;;;;1;2;;97;45;54;1;1;11;9700;19;638.53295622
6,005,683;1;1;1;70;2;40;40;500,000;8;;2;4;8;;3;2;1;;2;;;;;;;;;;;1;2;;10;62;62;1;2;11;1040;20;1730.8933778
6,005,684;1;1;1;70;2;4;48;900,000;4;;2;4;8;;5;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;11;0115;20;1730.8933778
