DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3148;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;P7240S1;P6980;P7140;OFICIO;RAMA2D_R4;OCI;MES;P6430;RAMA4D_R4;INGLABO;DPTO;fex_c_2011;RAMA4DP8_R4
6,000,579;1;2;1;60;2;15;2;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;100,000;1;99;1;;3;2;8;30;1;;30;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;18;84;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;2;2;2;1;3;20;8;;1;;61;01;1;11;4;0161;100000;15;1219.3190331;
6,000,583;1;1;1;60;2;15;2;;;;;;;;;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;300,000;1;3,000,000;3;;3;2;12;40;;.;40;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;1;3;40;5;;1;;61;01;1;11;4;0161;300000;15;1327.6482369;
6,000,585;1;1;1;60;2;15;2;;;;;;;;;;420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;250,000;1;99;3;;9;2;12;40;;.;40;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;2;2;2;1;3;45;8;;1;;61;01;1;11;4;0161;250000;15;1126.6380954;
6,000,586;1;1;1;60;2;15;2;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;230,000;12;99;3;;1;1;12;36;1;;36;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;8;60;1;;2;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;2;2;2;1;3;15;9;;1;;61;01;1;11;4;0161;230000;15;1725.6172603;
6,000,589;1;1;1;60;2;15;2;;;;;;;;;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;320,000;1;99;3;;10;2;12;40;;.;40;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;1;3;40;8;;1;;61;01;1;11;4;0161;320000;15;1418.9652279;
6,000,591;1;1;1;60;2;15;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;250,000;1;98;3;;1;1;12;40;;.;40;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;6;230;4;;13;2;;;;;;;;1;20;1;1;2;;;;;;;;;;;;;1;2;2;2;2;1;3;25;8;;1;;61;01;1;11;4;0161;250000;15;809.52275679;
6,000,591;1;3;1;60;2;15;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;300,000;1;98;3;;1;1;12;30;1;;30;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;7;120;4;;13;2;;;;;;;;1;15;1;1;2;;;;;;;;;;;;;1;2;2;2;2;1;3;15;9;;1;;61;01;1;11;4;0161;300000;15;809.52275679;
6,000,592;1;1;1;60;2;15;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;280,000;1;99;2;;1;2;12;40;;.;40;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;6;48;4;;2;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;1;3;30;8;;1;;61;01;1;11;4;0161;280000;15;809.52275679;
6,000,593;1;1;1;60;2;15;2;;;;;;;;;;440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;7;;2;;;2;200,000;1;99;3;;3;2;12;48;;.;48;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;15;8;;1;;61;01;1;11;4;0124;200000;15;1989.4242646;
6,000,595;1;4;1;60;2;15;2;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;600,000;1;99;3;;3;2;12;48;;.;48;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;0;26;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;2;2;2;2;3;20;5;;1;;61;01;1;11;4;0161;600000;15;1284.8264205;
