DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500S1;P7500S1A1;P7500S2;P7500S2A1;P7500S3;P7500S3A1;P7505;P7510S1;P7510S1A1;P7510S2;P7510S2A1;P7510S3;P7510S3A1;P750S1A1;P750S2A1;P750S1;P750S2;P750S3;P750S4;P1661S1;P1661S2;P1661S3;P1661S4;P1661S1A1;P1661S2A1;P1661S3A1;P1661S4A1;P1661S4A2;P750S3A1;P7510S5;P7510S5A1;P7510S6;P7510S6A1;P7510S7;P7510S7A1;AREA;MES;DPTO;fex_c_2011
6,000,013;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;210,000;2;;05;11;05;1030.3000973
6,000,013;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1030.3000973
6,000,013;1;3;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;2,200,000;05;11;05;1030.3000973
6,000,013;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1030.3000973
6,000,014;1;1;1;95;2;;;;;;;1;1;1,200,000;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;05;11;05;1130.6677527
6,000,015;1;1;1;95;1;2;;1;835,844;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;1,786,000;05;11;05;1064.4435899
6,000,015;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;1,200,000;2;;05;11;05;1064.4435899
6,000,015;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1064.4435899
6,000,015;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1064.4435899
6,000,016;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;151,200;2;;05;11;05;1238.1629936
