DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6290;P6290S1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;CLASE;DPTO;AREA;fex_c_2011
502651;1;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;874,134463318699
502651;1;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;874,134463318699
502651;1;3;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;874,134463318699
502652;1;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;595,977295415678
502652;1;2;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;595,977295415678
502654;1;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;767,237690304403
502654;1;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;767,237690304403
502655;1;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;879,873223733001
502655;1;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;879,873223733001
502655;1;3;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;879,873223733001
502655;1;4;50;4;2; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;1;05;05;879,873223733001
502655;1;5;50;5;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;879,873223733001
502656;1;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;817,802041060034
502656;1;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;817,802041060034
502657;1;1;50;1;6;VER T V;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;893,201693213056
502657;1;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;893,201693213056
502658;1;1;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;593,274899026225
502658;1;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;593,274899026225
502659;1;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;740,664503548555
502659;1;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;740,664503548555
