DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;CLASE;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DSI;DPTO;fex_c_2011
509872;1;1;70;1;48;3; ;1;1;2;624;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;10000;1;10000;2;54;45;5262;52;1;25;1842,07761709951
509873;1;1;70;16;32;8; ;1;1;2;16;8; ;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;1;300000;2;62;62;0121;01;1;25;1585,58152827497
509873;1;2;70;48;32;3; ;1;1;2;384;3; ;1;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;2;54;54;9500;95;1;25;1585,58152827497
509875;1;3;70;24;40;1; ;1;1;2;24;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;2;58;62;0121;01;1;25;2876,87333966814
509876;1;2;70;24;16;8; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;25;2411,28077730092
509883;1;3;70;24;72;1; ;1;1;2;24;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;960000;2;79;79;1810;18;1;25;1099,8621428152
509883;1;6;70;8;48;1; ;1;1;2;24;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;2;32;32;7412;74;1;25;1099,8621428152
511268;1;1;70;8;63;8; ;1;1;2;8;8; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;2;62;62;0121;01;1;25;1795,29510033602
511280;1;2;70;2;30;4; ;1;1;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;56;56;9301;93;1;25;2305,2423395318
516235;1;2;70;4;8;4; ;2;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;25;1966,43985797471
516259;1;3;70;58;48;1; ;1;1;2;208;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;39;7515;75;1;25;1432,09486399172
516275;1;4;70;2;40;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;25;1882,1913877759
517009;1;3;70;3;35;1; ;1;1;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;2;45;45;5261;52;1;54;1207,98223827336
517014;1;3;70;5;48;1; ;1;1;2;4;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;2;45;45;5233;52;1;54;645,36480503409
517016;1;3;70;20;48;4; ;2;2;2;24;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;41;45;5231;52;1;54;596,694615911009
518551;1;2;70;4;48;8; ;1;1;2;4;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1800000;2;62;62;0116;01;1;15;1015,48903532609
518592;1;3;70;12;48;1; ;1;1;2;12;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2500000;2;21;39;5521;55;1;15;550,698213033605
518603;1;7;70;24;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;32; ; ; ;1;15;498,251172383577
518609;1;2;70;8;48;1; ;1;1;2;6;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2500000;2;53;53;5511;55;1;15;1092,54522806793
518629;1;4;70;2;48;8; ;1;1;2;2;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;96000;1;700000;2;62;97;0116;01;1;15;555,70886239479
