DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;MES;DPTO;ORDEN;fex_c_2011
2058688;1;4;3;1;1;1;1;1;3;1; ; ;99;350000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;1;1;3;2;2; ;3;1;2;1;4;1;1;1;1;1;3;2;1;01;17;01;17;1;161,798801513165
2058714;1;6;1;1;1;1;1;1;4;1; ; ;150000000;1000000; ;1;1;1;1;1;1;2;2;2;1;2;1;1;2;1;1;1;1;1;1;1;1;2;2;2; ;2;1;2;1;4;1;2;1;1;1;6;2;1;01;17;01;17;1;326,260515135223
2062863;1;6;1;1;1;1;1;1;1;1; ; ;130000000;1000000; ;1;1;1;2;1;2;2;2;2;1;2;2;1;2;2;1;1;1;1;1;1;1;2;2;2; ;2;1;1;1;4;1;2;1;1;1;5;2;1;01;05;01;05;1;1291,51739894494
2062864;1;1;1;1;1;1;1;2;1;1; ; ;15000000;100000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;1;1;4;1;4;1;2;1;1;1;2;2;1;01;05;01;05;1;1104,02993414366
2062865;1;5;2;1;1;1;1;1;1;1; ; ;25000000;400000; ;1;1;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2; ;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;01;05;1;1285,33512202987
2062866;1;5;2;1;1;1;1;1;4;3; ; ; ; ;320000;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2; ;3;1;2;1;4;1;2;1;1;1;2;2;1;01;05;01;05;1;1314,56728956024
2062867;1;3;2;1;1;1;1;1;1;3; ; ; ; ;260000;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1;1;2;2; ;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;01;05;1;1291,51739894494
2062868;1;2;1;1;1;1;1;1;3;3; ; ; ; ;250000;1;2;1;1;1;1;2;2;1;1;2;2;1;2;1;1;1;1;1;2;2;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;01;05;1;1231,03857452716
2062869;1;2;1;1;1;1;1;1;1;3; ; ; ; ;215000;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;1;1;2;1;4;1;2;1;1;1;2;2;1;01;05;01;05;1;1320,39332124228
2062870;1;6;5;1;1;1;1;1;3;4; ; ; ;200000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1;3;2;2; ;5;1;1;3;4;1;1;1;1;1;2;2;1;01;05;01;05;1;912,184964711936
