Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;Dpto;Fex_c_2011
3167867;1;1;1;10;1;1;1;12;1992;20;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;03;18;1528,16561660845
3167867;1;2;1;10;2;2;1;12;1994;18;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;03;18;1528,16561660845
3167867;1;3;1;10;2;1;1;7;2012;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;03;18;1528,16561660845
3167868;1;1;1;10;1;1;1;11;1959;53;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;03;18;1583,35645451261
3167868;1;2;1;10;2;2;1;5;1964;48;2;2;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;03;18;1583,35645451261
3167868;1;3;1;10;3;1;1;7;1984;28;3;6;1; ; ;3; ; ;2;1;1;1;6;3;2;2;14;03;18;1583,35645451261
3167868;1;4;1;10;4;1;1;6;1987;25;3;6;1; ; ;3; ; ;2;1;1;1;6;5;2;2;16;03;18;1583,35645451261
3167869;1;1;1;10;1;1;1;12;1944;68;1;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;03;18;1428,81167004718
3167869;1;2;1;10;2;2;1;3;1951;62;2;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;03;18;1428,81167004718
3167870;1;1;1;10;1;1;1;10;1951;61;1;3;1; ; ;1;3;62000;2;1;2; ;5;11;2;2;11;03;18;1428,81167004718
3167870;1;2;1;10;2;2;1;10;1954;58;2;3;1; ; ;1;5; ;2;1;2; ;5;11;2;2;11;03;18;1428,81167004718
3167871;1;1;1;10;1;1;1;11;1947;65;1;2;1; ; ;1;2;72000;2;1;2; ;3;3; ;2;3;03;18;1037,5280326271
3167871;1;2;1;10;2;2;1;11;1986;26;6;4;2;2; ; ; ; ;2;1;2; ;3;2; ;2;2;03;18;1037,5280326271
3167871;1;3;1;10;2;2;1;1;2010;3;9; ;2;2; ; ; ; ;2;2;2; ;1;0; ;2;0;03;18;1037,5280326271
3167871;1;4;1;10;2;1;1;10;2011;1;9; ;2;2; ; ; ; ;2; ; ; ; ; ; ;2; ;03;18;1037,5280326271
3167871;1;5;1;10;5;1;1;11;1990;22;8;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;03;18;1037,5280326271
3167872;1;1;1;10;1;1;1;9;1965;47;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;03;18;1134,96980634278
3167872;1;2;1;10;2;2;1;4;1965;47;2;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;03;18;1134,96980634278
3167872;1;3;1;10;3;2;1;10;2002;10;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;03;18;1134,96980634278
3167873;1;1;1;10;1;1;1;6;1988;24;1;2;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;03;18;1448,15037483164
3167873;1;2;1;10;2;2;1;8;1990;22;2;2;1; ; ;3; ; ;2;1;2; ;5;10;1;2;10;03;18;1448,15037483164
3167873;1;3;1;10;2;1;1;7;2008;4;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;03;18;1448,15037483164
3167873;1;4;1;10;2;2;1;1;2011;2;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;03;18;1448,15037483164
3167874;1;1;1;10;1;2;1;3;1958;54;1;4;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;03;18;905,370498553278
3167874;1;2;1;10;2;1;1;12;1928;84;5;4;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;03;18;905,370498553278
3167875;1;1;1;10;1;2;1;3;1970;43;1;4;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;03;18;1401,7352842207
3167875;1;2;1;10;2;1;1;4;1998;14;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;03;18;1401,7352842207
3167875;1;3;1;10;3;2;1;7;1999;13;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;03;18;1401,7352842207
3167875;1;4;1;10;4;1;1;5;2001;11;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;03;18;1401,7352842207
3167875;1;5;1;10;1;1;1;6;2008;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;03;18;1401,7352842207
3167876;1;1;1;10;1;1;1;1;1968;45;1;2;1; ; ;1;5; ;2;1;2; ;4;9; ;2;9;03;18;1522,20199662565
3167877;1;1;1;10;1;1;1;5;1944;68;1;3;1; ; ;3; ; ;2;2;2; ;3;2; ;2;2;03;18;1428,81167004718
