Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3173340;1;2;1;70;2;1;84;1; ;2;11;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;45;18;1;1;1810;03;76;5396,30620936823
3173342;1;2;1;70;2;1;48;1; ;2;10;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;58;85;45;1;1;4542;03;76;4313,34177134099
3173618;1;2;1;70;2;2;60;4; ;2;3;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;98;98;60;1;1;6042;03;52;1278,68578610355
3173623;1;2;1;70;2;2;40;3; ;2;2;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;1;48000;2;54;61;01;1;1;0140;03;52;1246,72140817262
3173657;1;5;1;70;2;8;40;3; ;2;52;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;55;55;1;1;5521;03;52;2405,10006944659
3173672;1;6;1;70;2;208;48;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;03;52;1753,37271375917
3173731;1;1;1;70;2;2;50;1; ;2;2;8; ;2;7; ; ; ; ; ; ; ; ; ;1; ;1;480000;2;62;62;01;1;1;0121;03;13;1555,18529838562
3173731;1;2;1;70;2;48;48;3; ;2;8;3; ;1;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;03;13;1555,18529838562
3173768;1;2;1;70;2;12;48;2; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;77;15;1;1;1581;03;13;2672,29703909572
3173772;2;2;2;70;2;1;48;3; ;2;1;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;250000;2;54;54;95;1;1;9500;03;13;3501,69911622909
3173812;1;4;1;70;2;1;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;77; ; ;1;1; ;03;13;2363,44400162655
3173815;1;1;1;70;2;52;40;3; ;2;26;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;56;93;1;2;9301;03;52;1213,50240865568
3173818;1;2;1;70;2;2;40;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;61;61;01;1;1;0117;03;52;2144,07033554783
3173822;1;1;1;70;2;26;40;1; ;2;26;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6031;03;52;1802,08366821971
3173832;1;3;1;70;2;4;40;1; ;2;4;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;58;58;11;1;1;1110;03;52;2512,75019540559
3173838;1;3;1;70;2;3;40;1; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;61;01;1;1;0140;03;52;2101,30288133713
3173841;1;3;1;70;2;13;40;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;03;52;1917,79678519096
3173843;1;3;1;70;2;3;40;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0118;03;52;1469,56619376475
3173852;1;4;1;70;2;4;40;4; ;2;4;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0118;03;52;2136,33769929571
3173852;1;5;1;70;2;8;40;1; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;61;01;1;1;0140;03;52;2136,33769929571
3173853;1;1;1;70;2;13;40;4; ;2;26;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;62;01;1;1;0118;03;52;2905,94086156333
3173858;1;1;1;70;2;8;28;3; ;2;13;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;45;52;1;1;5224;03;52;1888,64827959357
3173858;1;2;1;70;2;2;40;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;61;61;01;1;1;0140;03;52;1888,64827959357
3173873;1;3;1;70;2;6;40;1; ;2;6;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;61;01;1;1;0140;03;52;1685,1918798522
