Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P6290;P6290s1;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Mes;Ft;Dpto;Fex_c_2011
2990256;1;1;1;50;17; ; ;1;6;CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;154,711273192621
2990256;1;2;1;50;17; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;154,711273192621
2990258;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;169,40258137991
2990259;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;157,259028075621
2990259;1;2;1;50;17; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;07;1;17;157,259028075621
2990259;1;3;1;50;17; ; ;3;3; ;2;2;2;2;1;12; ; ; ; ; ; ;07;1;17;157,259028075621
2990259;1;4;1;50;17; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;157,259028075621
2990259;1;5;1;50;17; ; ;5;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;157,259028075621
2990259;1;6;1;50;17;1; ;6;4; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;17;157,259028075621
2990260;1;1;1;50;17;1; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;17;199,223394908145
2990260;1;2;1;50;17; ; ;2;4; ;2;2;2;2;1;2; ;2; ;1;4;1;07;1;17;199,223394908145
2990261;1;1;1;50;17;2; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;17;176,523027047625
2990262;1;1;1;50;17; ; ;1;6;DESCANSAR;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;154,711273192621
2990262;1;2;1;50;17; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;154,711273192621
2990263;1;1;1;50;17; ; ;1;6;DESCANSAR;2;2;2;2;1;12; ; ; ; ; ; ;07;1;17;155,458854237862
2990264;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;173,506683268296
2990265;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;164,334138379084
2990268;1;1;1;50;17; ; ;1;4; ;2;2;2;2;1;11; ; ; ; ; ; ;07;1;17;141,754832989743
2990268;1;2;1;50;17; ; ;2;6;DE VIAJE;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;141,754832989743
2990268;1;3;1;50;17; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;141,754832989743
2990269;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;174,845617571061
2990269;1;2;1;50;17; ; ;2;6;PASEANDO;2;2;1; ; ; ; ; ; ; ; ; ;07;1;17;174,845617571061
2990270;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;154,711273192621
2990270;1;2;1;50;17; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;07;1;17;154,711273192621
2990271;1;1;1;50;17; ; ;1;4; ;2;2;2;2;1;9; ; ; ; ; ; ;07;1;17;149,495457619317
2990271;1;2;1;50;17; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;149,495457619317
2990271;1;3;1;50;17; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;149,495457619317
2990271;1;4;1;50;17; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;149,495457619317
2990272;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;162,550570755851
2990272;1;2;1;50;17; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;162,550570755851
2990273;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;169,326854272984
2990273;1;2;1;50;17;1; ;2;6;LEYENDO;2;2;2;1; ; ; ; ; ; ; ;1;07;1;17;169,326854272984
2990273;1;3;1;50;17; ; ;1;6;EN VACACIONES EN BOGOTA;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;169,326854272984
2990274;1;1;1;50;17; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;155,248239834541
2990274;1;2;1;50;17; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;155,248239834541
2990274;1;3;1;50;17; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;155,248239834541
2990274;1;4;1;50;17; ; ;4;6;PASEANDO;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;155,248239834541
2990275;1;1;1;50;17;2; ;1;6;DESCANSANDO;2;2;2;1; ; ; ; ; ; ; ;1;07;1;17;155,458854237862
2990276;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;179,486686101368
2990276;1;2;1;50;17; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;179,486686101368
2990276;1;3;1;50;17; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;179,486686101368
2990276;1;4;1;50;17; ; ;2;6;VACACIONES;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;179,486686101368
2990277;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;161,438857070933
2990277;1;2;1;50;17; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;161,438857070933
2990277;1;3;1;50;17; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;161,438857070933
2990277;1;4;1;50;17; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;161,438857070933
2990278;1;1;1;50;17; ; ;1;4; ;2;2;2;2;1;11; ; ; ; ; ; ;07;1;17;168,290867694993
2990278;1;2;1;50;17; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;07;1;17;168,290867694993
2990278;1;3;1;50;17; ; ;2;6;JUGAR FULLBOL;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;168,290867694993
2990279;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;154,711273192621
2990279;1;2;1;50;17; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;07;1;17;154,711273192621
2990280;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;172,460679358876
2990280;1;2;1;50;17; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;172,460679358876
2990281;1;1;1;50;17;2; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;17;209,969836713246
2990282;1;1;1;50;17; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;154,711273192621
2990282;1;2;1;50;17; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;154,711273192621
2990283;1;1;1;50;17; ; ;1;6;VIAJANDO;2;2;2;2;1;10; ; ; ; ; ; ;07;1;17;232,787685880327
2990285;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;187,034506239603
2990285;1;2;1;50;17; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;187,034506239603
2990286;1;1;1;50;17; ; ;1;6;LEER;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;154,711273192621
2990286;1;2;1;50;17; ; ;2;6;DESCANSAR;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;154,711273192621
2990287;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;148,606843613802
2990287;1;2;1;50;17; ; ;1;6;VACACIONES;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;148,606843613802
2990288;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;164,871105021004
2990288;1;2;1;50;17; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;164,871105021004
2990288;1;3;1;50;17; ; ;1;6;VACACIONES;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;164,871105021004
2990289;1;1;1;50;17; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;155,458854237862
2990304;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;147,859262568561
2990304;1;2;1;50;17; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;147,859262568561
2990304;1;3;1;50;17; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;147,859262568561
2990305;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;131,095981225288
2990305;1;2;1;50;17; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;131,095981225288
2990305;1;3;1;50;17; ; ;3;4; ;2;2;2;2;1;13;ESPERANDO SORTEO RURAL; ; ; ; ; ;07;1;17;131,095981225288
2990305;1;4;1;50;17; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;131,095981225288
2990306;1;1;1;50;17; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;160,099922768168
2990306;1;2;1;50;17; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;160,099922768168
2990306;1;3;1;50;17; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;160,099922768168
2990307;1;1;1;50;17; ; ;1;6;DESCANSAR;2;2;2;2;1;8; ;2; ;2; ; ;07;1;17;174,633841051552
2990307;1;2;1;50;17; ; ;2;4; ;2;2;2;2;1;7; ;2; ;2; ; ;07;1;17;174,633841051552
2990307;1;3;1;50;17; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;17;174,633841051552
2990307;1;4;1;50;17; ; ;4;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;174,633841051552
2990307;1;6;1;50;17; ; ;6;6;VACACIONES;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;174,633841051552
2990308;1;1;1;50;17; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;158,815375081007
2990308;1;2;1;50;17; ; ;2;3; ;1; ; ; ; ; ; ; ; ; ; ; ;07;1;17;158,815375081007
2990309;1;1;1;50;17; ; ;1;6;DESCANSAR;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;157,031807457774
2990309;1;2;1;50;17; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;157,031807457774
2990309;1;3;1;50;17; ; ;2;6;VACACIONES;2;2;2;2;2; ; ; ; ; ; ; ;07;1;17;157,031807457774
2990310;1;1;1;50;17; ; ;1;3; ;1; ; ; ; ; ; ; ; ; ; ; ;07;1;17;155,458854237862
2990316;1;1;1;50;54; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;54;290,858943594015
2990317;1;1;1;50;54; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;54;414,602337500806
2990317;1;2;1;50;54; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;54;414,602337500806
2990318;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;73;264,469525582066
2990318;1;2;1;50;73; ; ;2;4; ;2;2;2;2;1;7; ;2; ;2; ; ;07;1;73;264,469525582066
2990318;1;3;1;50;73; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;73;264,469525582066
2990318;1;4;1;50;73; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;73;264,469525582066
2990318;1;5;1;50;73; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;73;264,469525582066
2990320;1;1;1;50;73; ; ;1;2; ;1; ; ; ; ; ; ; ; ; ; ; ;07;1;73;228,77404534993
2990320;1;2;1;50;73; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;07;1;73;228,77404534993
2990322;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;73;220,162848792029
2990322;1;2;1;50;73; ; ;2;4; ;2;2;2;2;1;6; ;2; ;2; ; ;07;1;73;220,162848792029
2990322;1;3;1;50;73; ; ;3;2; ;2;1; ; ; ; ; ; ; ; ; ; ;07;1;73;220,162848792029
2990322;1;4;1;50;73; ; ;4;3; ;2;2;2;2;1;9; ; ; ; ; ; ;07;1;73;220,162848792029
2990323;1;1;1;50;73;1; ;1;6;VIAJANDO;2;2;2;1; ; ; ; ; ; ; ;1;07;1;73;228,77404534993
2990323;1;2;1;50;73; ; ;2;6;VIAJANDO;2;2;1; ; ; ; ; ; ; ; ; ;07;1;73;228,77404534993
2990324;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;73;269,685599771726
2990324;1;3;1;50;73; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;73;269,685599771726
2990325;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;73;522,884952364725
2990325;1;2;1;50;73; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;07;1;73;522,884952364725
2990325;1;3;1;50;73; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;73;522,884952364725
2990325;1;4;1;50;73; ; ;4;3; ;2;2;1; ; ; ; ; ; ; ; ; ;07;1;73;522,884952364725
2990325;1;5;1;50;73; ; ;5;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;73;522,884952364725
2990327;1;1;1;50;73;1; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;73;231,736593960547
2990328;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;73;271,572307994821
2990329;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;73;236,98774158733
2990329;1;2;1;50;73; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;73;236,98774158733
2990334;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;73;448,936894141959
2990334;1;2;1;50;73; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;73;448,936894141959
2990334;1;3;1;50;73; ; ;3;3; ;2;2;2;2;1;12; ; ; ; ; ; ;07;1;73;448,936894141959
2990335;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;73;231,736593960547
2990337;1;1;1;50;73; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;73;268,969915689794
2990337;1;2;1;50;73;1; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;73;268,969915689794
2990337;1;3;1;50;73; ; ;3;3; ;2;2;1; ; ; ; ; ; ; ; ; ;07;1;73;268,969915689794
2990408;1;1;1;50;76; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;76;876,732666724898
2990409;1;1;1;50;76; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;76;1090,29472173911
2990409;1;2;1;50;76; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;76;1090,29472173911
2990409;1;3;1;50;76; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;76;1090,29472173911
2990410;1;1;1;50;76; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;76;664,001932818172
2990410;1;2;1;50;76; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;76;664,001932818172
2990410;1;3;1;50;76; ; ;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;76;664,001932818172
2990411;1;1;1;50;76; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;76;1039,57881290595
2990412;1;1;1;50;76; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;76;665,610781018113
2990412;1;2;1;50;76; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;76;665,610781018113
2990412;1;3;1;50;76; ; ;3;6;REPOSAR;2;2;2;2;2; ; ; ; ; ; ; ;07;1;76;665,610781018113
2990415;1;1;1;50;76; ; ;1;6;DESCANSAR;2;2;2;2;1;9; ; ; ; ; ; ;07;1;76;665,610781018113
2990415;1;2;1;50;76; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;76;665,610781018113
2990415;1;3;1;50;76; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;76;665,610781018113
2990416;1;1;1;50;76; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;76;1184,3262715591
2990416;1;2;1;50;76; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;76;1184,3262715591
2990417;1;1;1;50;76; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;76;880,913918966623
2990417;1;2;1;50;76; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;76;880,913918966623
2990418;1;1;1;50;11; ; ;1;6;VIAJANDO;2;1; ; ; ; ; ; ; ; ; ; ;07;1;11;2254,57513670709
2990418;1;2;1;50;11; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;11;2254,57513670709
2990419;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;08;475,87392127411
2990419;1;2;1;50;08; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;08;475,87392127411
2990419;1;3;1;50;08; ; ;1;3; ;1; ; ; ; ; ; ; ; ; ; ; ;07;1;08;475,87392127411
2990419;1;4;1;50;08; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;08;475,87392127411
2990419;1;5;1;50;08; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;08;475,87392127411
2990420;1;1;1;50;08; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;08;549,934281105429
2990434;1;1;1;50;52;2; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;52;201,965220343223
2990434;1;2;1;50;52;2; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;52;201,965220343223
2990435;1;1;1;50;52; ; ;1;2; ;1; ; ; ; ; ; ; ; ; ; ; ;07;1;52;187,975287677109
2990435;1;2;1;50;52; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;52;187,975287677109
