DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;P5070;DPTO;ORDEN;fex_c_2011
973701;1;5;3;1;1;1;1;1;1;;;25000000;180000;;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;2;2;1;1;1;2;1;2;1;1;1;2;2;1;1;5;1;5;1;988.924.105.061.753
973703;1;4;2;1;1;1;1;3;1;;;140000000;1000000;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;1;2;1;4;1;1;1;1;1;4;2;1;1;5;1;5;1;839.461.633.689.915
973704;1;5;2;1;1;1;1;4;1;;;100000000;700000;;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;2;2;2;1;2;1;2;1;4;1;2;1;1;1;4;2;1;1;5;1;5;1;704.727.217.440.268
973706;1;3;1;1;1;1;1;4;3;;;;;500000;1;1;2;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;5;2;1;1;5;1;5;1;93.449.755.746.406
973707;1;5;3;1;1;1;1;3;1;;;160000000;1000000;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;2;1;4;1;1;1;1;1;5;2;1;1;5;1;5;1;113.081.272.070.167
973710;1;2;1;1;1;1;1;4;1;;;30000000;200000;;1;1;2;1;2;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;3;2;1;1;5;1;5;1;775.546.613.245.756
973712;1;4;3;1;1;1;1;4;2;;500000;110000000;800000;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;2;1;4;1;2;1;1;1;5;2;1;1;5;1;5;1;100.021.051.640.861
973714;1;5;3;1;1;1;1;4;1;;;400000000;2000000;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;1;1;4;1;1;1;1;1;5;2;1;1;5;1;5;1;936.155.368.370.691
973716;1;2;2;1;1;1;1;4;5;;;;70000;;2;2;2;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;1;2;2;1;1;1;4;1;2;1;1;1;3;2;1;1;5;1;5;1;116.782.150.722.544
973717;1;4;1;1;1;1;1;4;1;;;98;500000;;1;1;2;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;1;5;1;5;1;11.138.437.868.492
973720;1;5;1;1;1;1;1;1;3;;;;;650000;1;1;2;1;1;1;1;1;1;1;1;2;1;2;2;2;1;2;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;1;5;1;5;1;863.718.679.124.425
973721;1;4;1;1;1;1;1;4;1;;;60000000;800000;;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;1;5;1;5;1;706.738.751.537.556
973722;1;5;3;1;1;1;1;1;1;;;150000000;900000;;1;1;2;1;1;1;1;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;1;5;1;5;1;863.718.679.124.425
973723;1;3;1;1;1;1;1;4;1;;;90000000;600000;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;2;1;4;1;2;1;1;1;4;2;1;1;5;1;5;1;115.566.407.162.155
973725;1;5;1;1;1;1;1;1;1;;;700000000;3000000;;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;1;2;1;1;1;4;1;2;1;1;1;5;2;1;1;5;1;5;1;812.911.697.999.459
973727;1;5;3;1;1;1;1;3;1;;;98;3000000;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;2;1;1;1;4;1;1;1;1;1;5;2;1;1;5;1;5;1;87.232.987.882.663
973728;1;3;2;1;1;1;1;1;3;;;;;540000;1;2;1;1;1;1;1;1;2;2;1;2;1;1;1;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;1;5;1;5;1;120.148.851.574.552
973729;1;5;4;1;1;1;1;1;2;;490000;150000000;1000000;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;2;1;2;1;4;1;2;1;1;1;5;2;1;1;5;1;5;1;630.226.087.739.572
973733;1;8;3;1;1;1;1;3;1;;;380000000;2000000;;2;2;1;2;1;1;1;2;2;2;1;1;2;1;2;2;1;2;2;1;2;1;1;1;4;1;1;1;1;1;5;3;1;1;8;1;8;1;467.573.262.553.886
973735;1;4;3;1;1;1;1;3;3;;;;;260000;1;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;2;1;4;1;1;1;1;1;2;3;1;1;8;1;8;1;550.397.686.972.449
973736;1;3;2;1;1;1;1;3;1;;;45000000;370000;;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;1;4;1;1;1;1;1;4;3;1;1;8;1;8;1;523.248.207.547.155
973738;1;4;1;1;1;1;1;3;1;;;80000000;500000;;1;2;1;1;1;1;1;2;2;2;1;2;1;1;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;4;3;1;1;8;1;8;1;495.404.113.183.621
973739;1;5;3;1;1;1;1;3;1;;;12000000;180000;;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;1;3;1;1;8;1;8;1;530.240.052.739.534
973740;1;4;2;1;1;1;1;3;1;;;10000000;120000;;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;1;2;1;1;1;1;1;1;3;1;1;8;1;8;1;625.779.170.200.714
973741;1;2;1;1;1;1;1;3;1;;;10000000;150000;;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;1;1;1;1;1;3;1;1;8;1;8;1;624.351.377.834.146
973742;1;4;2;1;1;1;1;3;3;;;;;250000;2;1;2;2;1;1;1;2;2;2;1;1;1;1;2;1;1;2;2;2;2;1;1;1;4;1;1;1;1;1;2;3;1;1;8;1;8;1;597.338.753.912.344
973743;1;5;4;1;1;1;1;3;4;;;;400000;;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;3;3;1;1;8;1;8;1;619.407.820.443.342
973744;1;4;3;1;1;1;1;3;1;;;40000000;300000;;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;1;1;1;4;1;1;1;1;1;3;3;1;1;8;1;8;1;353.797.128.028.376
973746;1;4;3;1;1;1;1;3;1;;;35000000;300000;;2;1;2;2;1;1;1;2;1;2;1;1;1;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;3;3;1;1;8;1;8;1;483.797.765.611.197
973747;1;3;1;1;1;1;1;3;1;;;20000000;150000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;1;3;1;1;8;1;8;1;450.657.528.378.759
973748;1;2;1;1;1;1;1;1;3;;;;;90000;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;1;2;1;2;1;1;1;1;3;1;1;8;4;8;1;554.165.867.419.113
973749;1;3;2;1;1;1;1;1;4;;;;100000;;2;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;1;1;2;2;2;1;1;1;2;1;2;1;1;1;1;3;1;1;8;1;8;1;577.273.455.390.758
973750;1;3;1;1;1;1;1;3;1;;;35000000;250000;;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;1;1;1;4;1;1;1;1;1;3;3;1;1;8;1;8;1;523.248.207.547.155
973751;1;3;2;1;1;1;1;3;1;;;30000000;250000;;1;2;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;3;3;1;1;8;1;8;1;405.211.067.772.965
973752;1;3;2;1;1;1;1;3;3;;;;;200000;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;1;1;1;1;3;3;1;1;8;1;8;1;477.653.527.038.872
973753;1;4;3;1;1;1;1;3;1;;;50000000;350000;;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;2;1;2;2;1;1;1;4;1;1;1;1;1;3;3;1;1;8;1;8;1;383.948.846.739.462
973754;1;3;2;1;1;1;1;3;3;;;;;230000;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1;4;1;1;1;1;1;2;3;1;1;8;1;8;1;532.515.940.809.523
973754;2;2;1;1;2;1;1;3;4;;;;100000;;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;;;;;;;;;;;1;1;8;;8;1;532.515.940.809.523
973755;1;3;2;1;1;1;1;3;3;;;;;280000;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;4;1;1;1;1;1;2;3;1;1;8;1;8;1;525.080.765.374.122
973756;1;4;3;1;1;1;1;3;1;;;50000000;400000;;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;3;3;1;1;8;1;8;1;517.083.908.788.699
973757;1;5;4;1;1;1;1;3;1;;;45000000;300000;;1;2;2;1;1;1;1;2;2;2;1;2;1;2;1;2;1;2;2;1;2;1;1;1;4;1;1;1;1;1;2;3;1;1;8;1;8;1;597.283.304.343.807
973758;1;4;3;1;1;1;1;3;1;;;40000000;400000;;1;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;2;3;1;1;8;1;8;1;509.556.138.117.743
973760;1;3;2;1;1;1;1;3;1;;;45000000;350000;;1;2;2;1;1;1;1;1;1;2;1;1;1;2;2;1;2;2;1;1;2;1;1;1;4;1;1;1;1;1;2;3;1;1;8;1;8;1;431.479.149.867.441
973762;1;2;1;1;1;1;1;3;3;;;;;220000;2;2;2;2;2;1;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1;4;1;1;1;1;1;2;3;1;1;8;1;8;1;536.552.136.777.856
