DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6290;P6290S1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;FT;DPTO;fex_c_2011
973701;1;1;1;50;5;1;1;;;;;;;;;;;;;;;;1;5;988.924.105.061.753
973701;1;2;1;50;5;2;1;;;;;;;;;;;;;;;;1;5;988.924.105.061.753
973701;1;3;1;50;5;3;3;;2;2;2;2;;;2;;;;;;;;1;5;988.924.105.061.753
973703;1;1;1;50;5;1;4;;2;2;2;2;;;2;;;;;;;;1;5;839.461.633.689.915
973703;1;2;1;50;5;2;3;;2;2;2;2;;;2;;;;;;;;1;5;839.461.633.689.915
973704;1;1;1;50;5;1;6;TRABAJOS VOLUNTARIOS;2;2;2;2;;;2;;;;;;;;1;5;704.727.217.440.268
973704;1;2;1;50;5;2;6;VACACIONES;2;1;;;;;;;;;;;;;1;5;704.727.217.440.268
973704;1;3;1;50;5;2;3;;2;2;2;2;;;1;9;;;;;;;1;5;704.727.217.440.268
973706;1;1;1;50;5;1;1;;;;;;;;;;;;;;;;1;5;93.449.755.746.406
973707;1;1;1;50;5;1;1;;;;;;;;;;;;;;;;1;5;113.081.272.070.167
973707;1;2;1;50;5;2;1;;;;;;;;;;;;;;;;1;5;113.081.272.070.167
973707;1;4;1;50;5;4;1;;;;;;;;;;;;;;;;1;5;113.081.272.070.167
973710;1;1;1;50;5;1;1;;;;;;;;;;;;;;;;1;5;775.546.613.245.756
973710;1;2;1;50;5;2;1;;;;;;;;;;;;;;;;1;5;775.546.613.245.756
973710;1;3;1;50;5;3;4;;1;;;;;;;;;;;;;;1;5;775.546.613.245.756
973712;1;1;1;50;5;1;1;;;;;;;;;;;;;;;;1;5;100.021.051.640.861
973712;1;2;1;50;5;2;1;;;;;;;;;;;;;;;;1;5;100.021.051.640.861
973712;1;3;1;50;5;3;3;;2;2;2;2;;;2;;;;;;;;1;5;100.021.051.640.861
973712;1;4;1;50;5;1;3;;2;2;2;2;;;2;;;;;;;;1;5;100.021.051.640.861
973714;1;1;1;50;5;1;4;;2;2;2;2;;;2;;;;;;;;1;5;936.155.368.370.691
973714;1;2;1;50;5;2;1;;;;;;;;;;;;;;;;1;5;936.155.368.370.691
973714;1;3;1;50;5;3;1;;;;;;;;;;;;;;;;1;5;936.155.368.370.691
973714;1;4;1;50;5;4;1;;;;;;;;;;;;;;;;1;5;936.155.368.370.691
973716;1;1;1;50;5;1;1;;;;;;;;;;;;;;;;1;5;116.782.150.722.544
973716;1;2;1;50;5;2;1;;;;;;;;;;;;;;;;1;5;116.782.150.722.544
973717;1;1;1;50;5;1;1;;;;;;;;;;;;;;;;1;5;11.138.437.868.492
973720;1;1;1;50;5;1;6;CUIDANDO  ENFERMA;2;2;2;2;;;1;10;;;;;;;1;5;863.718.679.124.425
973721;1;1;1;50;5;1;6;CATEQUISTA;2;2;2;2;;;2;;;;;;;;1;5;706.738.751.537.556
973721;1;2;1;50;5;2;6;CATEQUISTA;2;2;2;2;;;2;;;;;;;;1;5;706.738.751.537.556
973722;1;1;1;50;5;1;4;;2;2;2;2;;;2;;;;;;;;1;5;863.718.679.124.425
973723;1;1;1;50;5;1;1;;;;;;;;;;;;;;;;1;5;115.566.407.162.155
973723;1;2;1;50;5;2;1;;;;;;;;;;;;;;;;1;5;115.566.407.162.155
973725;1;1;1;50;5;1;1;;;;;;;;;;;;;;;;1;5;812.911.697.999.459
973727;1;1;1;50;5;1;1;;;;;;;;;;;;;;;;1;5;87.232.987.882.663
973727;1;2;1;50;5;2;1;;;;;;;;;;;;;;;;1;5;87.232.987.882.663
973727;1;3;1;50;5;3;3;;2;2;2;2;;;1;12;;;;;;;1;5;87.232.987.882.663
973727;1;4;1;50;5;4;1;;;;;;;;;;;;;;;;1;5;87.232.987.882.663
973728;1;1;1;50;5;1;1;;;;;;;;;;;;;;;;1;5;120.148.851.574.552
973728;1;2;1;50;5;2;1;;;;;;;;;;;;;;;;1;5;120.148.851.574.552
973728;1;3;1;50;5;3;3;;1;;;;;;;;;;;;;;1;5;120.148.851.574.552
973729;1;1;1;50;5;1;4;;2;2;2;2;;;2;;;;;;;;1;5;630.226.087.739.572
973729;1;2;1;50;5;2;1;;;;;;;;;;;;;;;;1;5;630.226.087.739.572
973729;1;4;1;50;5;4;1;;;;;;;;;;;;;;;;1;5;630.226.087.739.572
973733;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;467.573.262.553.886
973733;1;2;1;50;8;2;1;;;;;;;;;;;;;;;;1;8;467.573.262.553.886
