DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;AREA;fex_c_2011
973947;1;3;1;70;1;1;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;1;;8;8;403.378.509.945.998
973953;1;2;1;70;1;2;48;1;;2;2;1;;6;4;;;;;;;;;;1;;1;1500000;2;6;6;85;1;1;8512;8;8;536.956.902.238.255
973955;1;1;1;70;1;20;48;1;;2;20;1;;3;4;;;;;;;;;;1;;2;;2;98;98;60;1;2;6041;8;8;406.453.954.789.224
973958;1;5;1;70;1;4;48;4;;2;4;1;;5;4;;;;;;;;;;1;;2;;2;58;93;28;1;1;2811;8;8;599.520.627.631.174
973967;1;2;1;70;1;12;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;7;;;1;1;;8;8;656.826.599.839.412
973979;2;2;2;70;1;12;40;1;;2;48;1;;3;4;;;;;;;;;;1;;2;;2;13;13;80;1;1;8011;8;8;514.273.974.574.936
973986;1;2;1;70;1;8;48;1;;2;9;3;;2;2;;;;;;;;;;1;;2;;2;54;54;95;1;1;9500;11;11;347.125.176.352.391
974000;1;2;1;70;1;40;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;2;;11;11;276.049.163.875.006
974003;1;3;1;70;1;24;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;2;;11;11;259.493.665.634.987
974007;1;3;1;70;1;8;48;1;;2;9;1;;3;4;;;;;;;;;;1;;2;;2;45;33;55;1;1;5521;11;11;200.115.962.934.633
974017;1;3;1;70;1;4;48;4;;2;4;4;;2;1;;;;;;;;;;1;;2;;2;95;95;45;1;1;4521;11;11;216.095.694.213.695
974018;1;2;1;70;1;4;24;3;;2;4;3;;1;1;;;;;;;;;;1;;1;140000;2;54;54;95;1;1;9500;11;11;273.481.436.577.825
974019;1;1;1;70;1;108;48;1;;2;108;4;;1;1;;;;;;;;;;1;;2;;2;58;44;70;1;2;7020;11;11;223.224.838.642.613
974019;1;3;1;70;1;12;48;1;;2;52;1;;3;1;;;;;;;;;;1;;2;;2;45;97;15;1;1;1551;11;11;223.224.838.642.613
974022;1;3;1;70;1;3;48;1;;2;44;1;;4;1;;;;;;;;;;1;;2;;2;45;45;52;1;1;5237;11;11;266.217.033.191.406
974023;1;3;1;70;1;24;48;1;;2;2;1;;6;6;;;;;;;;;;1;;1;300000;2;13;13;80;1;2;8041;11;11;308.845.197.882.918
974025;1;3;1;70;1;4;48;1;;2;4;1;;4;1;;;;;;;;;;1;;1;400000;2;75;75;18;1;1;1810;11;11;288.075.673.629.192
974026;1;3;1;70;1;3;40;1;;2;3;1;;9;4;;;;;;;;;;1;;1;1300000;2;16;16;72;1;1;7220;11;11;29.437.196.560.288
974037;1;5;1;70;1;2;48;1;;2;2;1;;3;1;;;;;;;;;;1;;2;;2;80;80;19;1;1;1921;11;11;209.101.808.742.276
974046;1;3;1;70;1;36;48;1;;2;36;1;;4;8;;;;;;;;;;1;;2;;2;98;97;51;1;2;5155;11;11;273.450.112.945.334
974047;1;2;1;70;1;2;48;1;;2;2;1;;3;8;;;;;;;;;;1;;2;;2;53;53;55;1;1;5521;11;11;306.604.792.449.532
974048;1;2;1;70;1;32;48;1;;2;32;4;;9;1;;;;;;;;;;1;;2;;2;2;2;11;1;2;1110;11;11;302.049.483.821.271
974065;1;2;1;70;1;2;48;3;;2;32;3;;3;2;;;;;;;;;;1;;2;;2;55;54;95;1;1;9500;11;11;295.698.054.678.874
974068;1;2;1;70;1;48;48;1;;2;48;1;;2;1;;;;;;;;;;1;;2;;2;80;80;19;1;2;1921;11;11;244.576.737.742.764
974068;1;4;1;70;1;1;48;1;;2;48;1;;9;1;;;;;;;;;;1;;2;;2;0;95;70;1;1;7010;11;11;244.576.737.742.764
974069;1;2;1;70;1;28;48;1;;2;28;1;;5;1;;;;;;;;;;1;;2;;2;55;39;45;1;2;4521;11;11;311.642.251.771.331
974074;1;3;1;70;1;2;48;1;;2;1;4;;1;8;;;;;;;;;;1;;2;;2;45;21;92;1;1;9242;11;11;23.898.854.962.894
974082;1;1;1;70;1;10;90;1;;2;8;1;;3;8;;;;;;;;;;1;;1;2000000;2;98;98;60;1;1;6041;11;11;334.850.852.250.206
974083;1;4;1;70;1;12;48;1;;2;12;1;;3;8;;;;;;;;;;1;;2;;2;45;45;52;1;1;5233;11;11;249.530.098.548.548
974085;1;4;1;70;1;12;48;1;;2;2;4;;8;1;;;;;;;;;;1;;1;500000;2;2;13;80;1;1;8050;11;11;22.390.107.595.681
974102;1;4;1;70;1;26;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;33;;;1;2;;11;11;298.589.103.566.074
974124;1;2;1;70;1;1;54;1;;2;40;1;;2;2;;;;;;;;;;1;;2;;2;97;39;74;1;1;7499;11;11;264.137.480.575.903
974126;1;1;1;70;1;200;48;1;;2;26;1;;6;1;;;;;;;;;;1;;2;;2;40;97;64;1;2;6412;11;11;226.147.211.162.303
974147;1;1;1;70;1;3;60;1;;2;3;1;;9;8;;;;;;;;;;1;;1;600000;2;45;85;45;1;1;4542;11;11;256.467.357.790.288
974152;1;3;1;70;1;60;48;1;;2;60;1;;4;6;;;;;;;;;;1;;2;;2;8;8;72;1;2;7250;11;11;283.845.993.997.923
974175;1;5;1;70;1;32;24;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;2;;11;11;313.463.418.963.451
974183;1;3;1;70;1;24;48;1;;2;32;1;;8;1;;;;;;;;;;1;;2;;2;2;2;15;1;2;1589;11;11;197.671.213.197.758
974193;1;2;1;70;1;28;20;1;;2;28;1;;9;2;;;;;;;;;;1;;2;;2;13;13;80;1;2;8050;11;11;2.965.547.780.992
974195;1;1;1;70;1;8;40;4;;2;24;4;;1;1;;;;;1;;;;;;;2;;2;18;18;92;1;1;9241;11;11;271.131.366.047.321
974201;1;3;1;70;1;8;48;1;;2;4;1;;3;8;;;;;;;;;;1;;1;40000;2;97;58;70;1;1;7020;11;11;281.575.024.778.537
974203;1;3;1;70;1;8;48;1;;2;8;4;;1;1;;;;;;;;;;1;;2;;2;45;45;52;1;1;5231;11;11;207.245.107.363.551
974203;1;4;1;70;1;40;52;1;;1;;;.;;;.;.;;;;;;;;;.;;;;97;;;1;2;;11;11;207.245.107.363.551
974205;1;3;1;70;1;52;48;1;;2;32;1;;9;1;;;;;;;;;;1;;2;;2;15;38;74;1;2;7499;11;11;25.112.794.347.294
974225;1;2;1;70;1;96;48;4;;2;480;1;;5;2;;;;;;;;;;1;;2;;2;45;45;52;1;2;5222;11;11;332.961.134.165.322
974226;1;1;1;70;1;140;50;4;;2;140;4;;1;8;;;;;;;;;;1;;2;;2;81;81;36;1;2;3613;11;11;279.799.084.735.047
974233;1;3;1;70;1;12;48;1;;2;12;2;;9;7;;;;;;;;;;1;;2;;2;45;58;75;1;1;7524;11;11;219.153.325.690.885
974235;1;2;1;70;1;8;48;1;;2;12;1;;5;2;;;;;;;;;;1;;2;;2;53;45;52;1;1;5233;11;11;280.475.322.049.243
974237;1;1;1;70;1;8;40;1;;2;9;1;;9;1;;;;;;;;;;1;;2;;2;95;95;45;1;1;4521;11;11;266.352.292.148.906
974260;1;1;1;70;1;8;48;1;;2;16;1;;2;1;;;;;;;;;;1;;2;;2;45;38;64;1;1;6421;11;11;263.325.984.304.206
