DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,OFICIO1,OFICIO2,RAMA2D_D,DSI,DSCY,RAMA4D_D,DPTO,fex_c_2011
996309,1,1,1,70,2,3,40,8,,2,3,8,,3,6,,,,,,,,,,1,,2,,2,62,62,1,1,1,121,20,223.589.488.015.801
996309,1,3,1,70,2,30,50,3,,2,30,3,,1,1,,,,,,,,,,1,,2,,2,54,54,95,1,2,9500,20,223.589.488.015.801
996318,1,2,1,70,2,8,40,1,,2,24,1,,9,1,,,,,1,,,,,,,2,,2,32,45,52,1,1,5222,20,157.013.983.512.824
996738,1,3,1,70,2,3,56,1,,2,16,1,,4,1,,,,,,,,,,1,,2,,2,53,53,55,1,1,5521,23,130.355.847.122.741
996741,1,2,1,70,2,3,36,1,,2,52,1,,3,1,,,,,,,,,,1,,2,,2,53,53,55,1,1,5529,23,157.158.346.527.549
996745,1,1,1,70,2,8,56,3,,2,16,3,,1,1,,,,,,,,,,1,,2,,2,54,54,95,1,1,9500,23,250.279.999.617.915
996773,1,3,1,70,2,3,54,3,,2,12,3,,1,1,,,,,,,,,,1,,1,30000,2,54,54,95,1,1,9500,23,247.318.253.664.951
996784,1,4,1,70,2,2,56,3,,2,20,3,,2,1,,,,,,,,,,1,,2,,2,54,54,95,1,1,9500,23,217.339.691.380.069
996836,1,3,1,70,2,2,48,1,,2,12,1,,8,2,,,,,,,,,,1,,2,,2,32,32,92,1,1,9241,23,197.813.937.327.122
996843,1,4,1,70,2,2,48,1,,2,30,1,,3,1,,,,,,,,,,1,,2,,2,32,45,52,1,1,5231,23,128.943.928.484.283
996847,1,1,1,70,2,2,48,1,,2,54,3,,1,1,,,,,,,,,,1,,1,20000,2,45,54,95,1,1,9500,23,221.622.588.271.682
996866,1,4,1,70,2,1,35,8,,2,4,8,,2,1,,,,,,,,,,1,,1,84000,2,62,62,1,1,1,118,23,197.813.937.327.122
996870,1,5,1,70,2,1,60,8,,2,3,8,,2,4,,,,,,,,,,1,,1,21000,2,62,62,1,1,1,118,23,282.236.449.482.719
996872,1,2,1,70,2,1,30,3,,2,24,3,,1,1,,,,,,,,,,1,,2,,2,54,54,95,1,1,9500,23,188.049.264.761.912
996878,1,4,1,70,2,1,60,3,,2,8,3,,1,1,,,,,,,,,,1,,2,,2,54,54,95,1,1,9500,23,244.449.556.174.048
996919,1,1,1,70,2,28,48,4,,2,2,4,,1,1,,,,,,,,,,1,,1,60000,2,41,45,52,1,2,5262,23,126.933.147.822.632
996919,1,2,1,70,2,25,36,1,,2,8,7,,2,1,,,,,,,,,,1,,2,,2,55,45,52,1,2,5219,23,126.933.147.822.632
996935,1,3,1,70,2,40,36,2,,1,,,.,,,.,.,,,,,,,,,.,,,,59,,,1,2,,23,99.341.854.037.459
996957,1,2,1,70,2,3,48,1,,2,4,1,,4,1,,,,,,,,,,1,,1,100000,2,53,55,55,1,1,5521,23,151.176.316.802.952
996966,1,4,1,70,2,25,36,4,,2,12,1,,4,1,,,,,,,,,,1,,2,,2,18,18,92,1,2,9241,23,134.614.310.380.212
997002,1,2,1,70,2,3,48,3,,2,24,4,,1,1,,,,,,,,1,,,,2,,2,54,45,52,1,1,5269,23,261.856.214.098.372
997049,1,3,1,70,2,1,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,23,23.709.462.942.984
997058,2,2,2,70,2,1,48,1,,2,52,4,,1,1,,,,,,,,,,1,,2,,2,45,45,52,1,1,5261,23,137.755.478.501.315
997364,1,4,1,70,2,18,48,2,,1,,,.,,,.,.,,,,,,,,,.,,,,0,,,1,2,,27,329.601.941.440.796
997371,1,3,1,70,2,16,54,3,,1,,,.,,,.,.,,,,,,,,,.,,,,54,,,1,2,,27,36.846.338.759.643
998609,1,4,1,70,2,17,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,2,,47,14.025.121.921.848
998619,1,3,1,70,2,36,48,2,,2,36,1,,2,2,,,,,,,,,,1,,2,,2,58,45,52,1,2,5233,47,126.165.483.784.377
998692,1,3,1,70,2,52,56,3,,2,54,3,,1,1,,,,,,,,,,1,,2,,2,54,54,95,1,2,9500,47,862.970.513.124.747
998714,1,2,1,70,2,4,56,2,,2,4,2,,7,1,,,,,,,,,,1,,2,,2,59,59,85,1,1,8511,47,760.758.203.970.488
998714,1,3,1,70,2,20,56,2,,2,20,1,,2,1,,,,,,,,,,1,,2,,2,58,58,95,1,2,9500,47,760.758.203.970.488
998814,1,3,1,70,2,20,40,8,,1,,,.,,,.,.,,,,,,,,,.,,,,62,,,1,2,,47,159.178.644.701.239
998831,1,6,1,70,2,20,60,4,,1,,,.,,,.,.,,,,,,,,,.,,,,98,,,1,2,,47,963.755.133.940.272
998834,1,2,1,70,2,20,48,3,,2,40,3,,1,1,,,,,,,,,,1,,2,,2,54,54,95,1,2,9500,47,11.083.883.894.543
998843,1,2,1,70,2,20,40,3,,2,40,3,,1,1,,,,,,,,,,1,,2,,2,54,54,95,1,2,9500,47,716.615.438.121.105
998845,1,2,1,70,2,24,40,1,,2,28,1,,4,1,,,,,,,,,,1,,2,,2,32,32,65,1,2,6512,47,597.829.036.201.572
998877,1,1,1,70,2,1,50,4,,2,1,4,,1,4,,,,,,,,,,1,,1,600000,2,62,62,1,1,1,140,47,136.992.837.011.525
998954,1,2,1,70,2,52,48,1,,2,16,1,,3,1,,,,,,,,1,,,,2,,2,13,13,80,1,2,8012,47,130.482.269.913.978
999235,1,1,1,70,2,8,56,1,,2,9,4,,1,1,,,,,,,,,,1,,2,,2,95,61,1,1,1,140,50,685.126.882.827.848
999286,1,3,1,70,2,40,48,5,,1,,,.,,,.,.,,,,,,,,,.,,,,0,,,1,2,,50,734.461.732.498.825
999291,1,3,1,70,2,30,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,8,,,1,2,,50,601.427.320.462.664
999306,1,1,1,70,2,4,40,1,,2,30,4,,1,1,,,1,,,,,,,,,2,,2,14,14,91,1,1,9191,50,646.502.917.413.701
1002302,1,2,1,70,2,2,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,62,,,1,1,,25,208.091.172.186.216
1002385,1,6,1,70,2,3,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,25,170.665.174.945.141
1002404,1,2,1,70,2,2,48,1,,2,96,3,,1,2,,,,,,,,,,1,,2,,2,55,54,95,1,1,9500,25,218.332.545.100.348
1002426,1,2,1,70,2,6,48,1,,2,80,3,,1,8,,,,,,,,,,1,,2,,2,53,54,95,1,1,9500,25,17.324.782.403.044
1002457,1,3,1,70,2,4,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,25,178.152.062.111.519
1002498,1,2,1,70,2,24,48,3,,2,8,4,,1,1,,,,,,,,,,1,,2,,2,54,61,1,1,2,118,25,243.502.867.642.426
1003468,1,2,1,70,2,4,9,1,,2,4,4,,1,2,,,,,,,,,,1,,1,100000,2,62,62,1,1,1,140,50,815.714.760.064.091
1003468,1,3,1,70,2,4,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,50,815.714.760.064.091
1003496,1,1,1,70,2,4,94,8,,2,4,4,,1,8,,,,,,,,,,1,,2,,2,62,61,1,1,1,140,50,845.052.592.587.828
1003586,1,3,1,70,2,16,48,8,,2,20,8,,4,1,,,,,1,,,,,,,2,,2,62,62,1,1,2,121,50,872.770.531.686.779
1003598,1,1,1,70,2,1,40,1,,2,1,1,,8,8,,,,,,,,,,1,,1,600000,2,95,95,73,1,1,7310,50,641.946.908.136.334
1003607,1,2,1,70,2,1,40,1,,2,48,3,,1,5,,,,,,,,,,1,,2,,2,53,54,95,1,1,9500,50,828.940.050.086.692
1003646,1,3,1,70,2,4,4,8,,2,52,8,,3,4,,,,,,,,,,1,,2,,2,62,62,1,1,1,121,50,711.458.225.692.882
1003655,1,1,1,70,2,12,60,8,,2,16,8,,2,5,,,,,,,,,,1,,2,,2,62,62,1,1,1,121,50,437.240.344.224.462
1003657,1,2,1,70,2,28,48,1,,2,52,1,,9,4,,,,,,,,,,1,,2,,2,32,45,52,1,2,5211,50,427.108.555.994.513
1003802,1,1,1,70,2,8,48,8,,2,12,8,,2,1,,,,,,,,,,1,,2,,2,62,62,1,1,1,121,50,796.240.567.150.608
1003805,1,2,1,70,2,12,48,3,,2,43,3,,1,8,,,,,,,,,,1,,2,,2,54,54,95,1,1,9500,50,672.785.786.363.962
1003808,1,4,1,70,2,8,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,32,,,1,1,,50,633.733.254.496.888
1003814,1,1,1,70,2,1,48,1,,2,2,8,,2,7,,,,,,,,,,1,,1,461500,2,58,62,1,1,1,121,50,80.871.804.942.273
1004009,1,3,1,70,2,4,56,8,,2,4,8,,2,4,,,,,,,,,,1,,1,250000,2,62,62,1,1,1,140,50,808.544.750.652.776
1004009,1,4,1,70,2,4,56,8,,2,3,4,,1,1,,,,,,,,,,1,,1,200000,2,62,62,1,1,1,116,50,808.544.750.652.776
1004479,1,2,1,70,2,52,48,3,,2,156,1,,3,8,,,,,,,,,,1,,2,,2,54,53,55,1,2,5521,52,20.735.466.627.928
1004481,1,3,1,70,2,52,40,1,,2,8,1,,2,2,,,,,,,,,,1,,2,,2,45,95,45,1,2,4521,52,248.016.122.194.278
1004482,1,2,1,70,2,26,48,1,,2,8,1,,2,1,,,,,,,,,,1,,2,,2,55,77,15,1,2,1551,52,229.778.022.605.997
1004487,1,2,1,70,2,52,40,3,,2,312,3,,1,1,,,,,,,,,,1,,2,,2,54,54,95,1,2,9500,52,298.102.201.505.045
1004494,1,2,1,70,2,26,48,1,,2,260,1,,3,8,,,,,,,,,,1,,2,,2,53,53,55,1,2,5521,52,228.528.928.185.307
1004502,1,2,1,70,2,8,40,1,,2,8,4,,1,1,,,,,,,,,,1,,2,,2,53,61,1,1,1,140,52,226.748.420.048.691
1004507,1,3,1,70,2,104,48,3,,1,,,.,,,.,.,,,,,,,,,.,,,,54,,,1,2,,52,139.394.486.145.469
1004509,1,3,1,70,2,52,48,1,,2,156,1,,3,8,,,,,,,,,,1,,2,,2,45,45,52,1,2,5233,52,116.908.716.654.544
1004513,1,2,1,70,2,26,40,3,,2,26,3,,1,8,,,,,,,,,,1,,2,,2,54,54,95,1,2,9500,52,359.844.479.086.509
1004516,1,2,1,70,2,24,40,1,,2,24,1,,3,1,,,,,,,,,,1,,2,,2,45,45,52,1,2,5233,52,224.924.223.629.243
1004518,1,4,1,70,2,12,40,1,,2,12,1,,5,1,,,,,,,,,,1,,2,,2,13,13,80,1,1,8044,52,137.172.037.855.116
1004526,1,3,1,70,2,56,40,1,,2,56,1,,3,1,,,,,,,,,,1,,2,,2,13,13,80,1,2,8012,52,116.908.716.654.544
1004533,1,2,1,70,2,256,40,4,,2,256,6,,2,1,,,,,,,,,,1,,2,,2,61,62,1,1,2,118,52,20.735.466.627.928
1004535,1,3,1,70,2,8,35,4,,1,,,.,,,.,.,,,,,,,,,.,,,,61,,,1,1,,52,22.644.387.657.561
1004545,1,3,1,70,2,4,40,3,,2,16,4,,1,1,,,,,,,,,,1,,2,,2,54,61,1,1,1,140,52,141.263.854.353.993
1004551,1,2,1,70,2,28,40,3,,1,,,.,,,.,.,,,,,,,,,.,,,,54,,,1,2,,52,186.180.404.373.254
1004769,1,2,1,70,2,2,48,4,,2,2,4,,3,7,,,,,,,,,,1,,1,240000,2,98,98,14,1,1,1411,54,728.811.911.664.876
1004769,1,3,1,70,2,48,48,4,,2,1,4,,3,4,,,,,,,,,,1,,1,240000,2,71,98,14,1,2,1411,54,728.811.911.664.876
1004772,1,3,1,70,2,48,48,4,,2,2,4,,3,6,,,,,,,,,,1,,1,500000,2,71,71,14,1,2,1411,54,615.526.522.891.189
1005319,1,1,1,70,2,12,48,3,,2,12,3,,2,1,,,,,,,,,,1,,2,,2,54,54,95,1,1,9500,66,191.082.993.546.994
1005370,1,2,1,70,2,6,48,1,,2,4,8,,4,1,,,,,,,,,,1,,2,,2,95,62,1,1,1,111,66,119.894.786.626.568
1005475,1,3,1,70,2,52,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,32,,,1,2,,66,109.887.742.550.371
1005478,1,4,1,70,2,4,48,1,,2,12,1,,3,1,,,,,,,,,,1,,2,,2,77,95,45,1,1,4521,66,124.842.564.250.337
1005526,1,1,1,70,2,24,48,1,,2,24,3,,1,1,,,,,,,,,,1,,2,,2,45,54,95,1,2,9500,66,110.099.921.093.465
1005527,1,6,1,70,2,48,48,8,,2,1,8,,4,1,,,,,,,,,,1,,1,180000,2,62,62,1,1,2,111,66,870.142.159.424.049
1005540,1,1,1,70,2,2,48,8,,2,2,8,,4,1,,,,,,,,,,1,,1,200000,2,62,62,1,1,1,111,66,124.667.969.768.174
1005554,1,2,1,70,2,2,48,1,,2,2,1,,9,1,,,1,,,,,,,,,1,500000,2,45,89,51,1,1,5141,66,131.316.645.539.983
1005556,1,1,1,70,2,2,54,3,,2,2,3,,1,1,,,,,,,,,,1,,1,220000,2,54,54,95,1,1,9500,66,141.031.926.263.479
1005576,1,2,1,70,2,3,50,1,,2,3,1,,2,1,,,,,,,,,,1,,1,500000,2,95,95,45,1,1,4521,66,131.316.645.539.983
1005932,1,3,1,70,2,96,54,1,,2,96,1,,2,1,,,,,,,,,,1,,2,,2,54,54,95,1,2,9500,68,117.206.780.133.352
1005971,1,1,1,70,2,4,48,1,,2,4,1,,8,6,,,,,,,,,,1,,1,1400000,2,99,99,45,1,1,4530,68,164.824.990.524.891
1005976,1,2,1,70,2,4,48,4,,2,50,3,,1,1,,,,,,,,,,1,,2,,2,56,54,95,1,1,9500,68,154.191.661.482.411
1005977,1,2,1,70,2,4,48,3,,2,144,3,,1,2,,,,,,,,,,1,,2,,2,53,53,95,1,1,9500,68,178.044.858.782.456
