DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6440;P6450;P6460;P6460S1;P6400;P6422;P6424;P6424S2;P6424S3;P6424S1;P6426;P6430S1;P6480;P6480S1;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585;P6585S2A1;P6585S3A1;P6585S4A1;P6585S3A2;P6585S2A2;P6585S1A2;P6585S2;P6585S3;P6585S1A1;P6585S4;P6585S1;P6580;P6580S1;P6580S2;P6630;P6630S3;P6630S4A1;P6630S3A1;P6630S2A1;P6630S1A1;P6630S4;P6630S2;P6630S1;P6640;P6642S2;P6642S1;P6765;P6765S1;P6772;P6750;P6760;P550;P6780;P6780S1;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6835;P6835S1;P6835S2;P6836;P6836S1;P6836S2;P6837;P6837S1;P6837S2;P6870;P6880;P6880S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S8;P6980S7A1;P6990;P7020;P7026;P7028;P7028S1;P7040;P7045;P7050;P7050S1;P7070;P760;P6410;P6640S1;P6642S11;P6642S7;P6642S8;P6642S9;P6642S10;P6642S12;P6642S5;P6642S4;P6642S3;P6642S6;P9440;P9450;P6630S6;P6630S6A1;P6410S1;P6545S1;P6545;P6545S2;P6915S1;P6915;P6585S4A2;P6773;P6773S1;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170;P7170S1;P7170S2;P7170S3;P7170S4;P7170S5;P7170S6;P7180;P7190;P7200;P7240;P7240S1;OFICIO;RAMA2D;RAMA2DP8;OCI;P6430;P6420S1;RAMA4D;RAMA4DP8;INGLABO;DPTO;fex_c_2011
990931;1;1;1;60;2;1;2;2;12;1;1;;2;1;1;7;;1;;500000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;;1;;250000;;250000;2;2;1;2;;;;;;;;;;;12;48;;.;48;;;1;8;18;2;;;;;;8;7;;1;1;1;5;1;1;;;;;;;;;1;1;12;1;;2;;;;;12;;;;;;;;;;;;;2;2;2;;;;2;;;1;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;3;;53;92;;1;1;;9249;;500000;5;115.424.841.485.577
990932;1;1;1;60;2;2;;;;;;;;;;344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;250000;1;2800000;3;;12;40;;.;40;;;1;8;18;2;;;;;;1;8;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;3;3;3;;61;1;;1;4;;111;;250000;5;609.528.738.800.996
990932;2;1;2;60;2;1;1;;;1;1;;2;2;2;4;;1;;170000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;1;8;18;2;;;;;;2;8;;2;;;;1;;;;;;;;1;;2;1;3;1;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;11;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;3;3;5;;62;1;;1;8;;111;;170000;5;609.528.738.800.996
990935;1;1;1;60;2;2;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;250000;1;2800000;3;;12;50;;.;50;;;1;8;18;2;;;;;;2;1;;2;;;;1;;;;;;;;1;;2;1;12;8;;2;;;;;0;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;3;3;3;;41;52;;1;4;;5224;;250000;5;650.920.659.353.809
990935;1;2;1;60;2;2;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;19;2;;19;;;1;8;18;2;;;;;;2;1;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;3;3;3;;45;52;;1;6;;5225;;;5;650.920.659.353.809
990935;1;3;1;60;2;1;1;;;1;1;;2;2;2;104;;1;;170000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;;2;;;;;2;2;2;2;;;;;;;;;;;12;40;;.;40;;;1;6;18;2;;;;;;3;8;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;3;3;3;;62;1;;1;8;;111;;170000;5;650.920.659.353.809
990949;1;1;1;60;2;1;1;;;1;1;;2;2;2;96;;1;;300000;2;;;1;90000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;;2;;;;;2;2;2;2;;;;;;;;;;;12;40;;.;40;;;1;8;18;2;;;;;;3;7;;2;;;;1;;;;;;;;1;;2;1;24;1;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;3;3;3;;53;55;;1;1;;5521;;390000;5;904.509.945.525.365
990949;1;5;1;60;2;1;1;;;1;1;;2;2;2;24;;1;;400000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;1;7;18;2;;;;;;4;9;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;3;3;3;;95;45;;1;1;;4521;;400000;5;904.509.945.525.365
990954;1;2;1;60;2;1;1;;;1;1;;2;2;2;12;;1;;400000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;1;7;18;2;;;;;;4;9;;2;;;;1;;;;;;;;1;;2;1;8;1;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;3;3;3;;95;45;;1;1;;4522;;400000;5;113.638.127.524.259
990954;1;3;1;60;2;2;;;;;;;;;;12;;1;;400000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;1;7;18;2;;;;;;6;9;;2;;;;1;;;;;;;;1;;2;1;24;1;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;3;3;3;;95;45;;1;1;;4522;;400000;5;113.638.127.524.259
990958;1;1;1;60;2;1;1;;;1;1;;2;2;2;12;;1;;150000;2;;;1;60000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;;2;;;;;2;2;2;2;;;;;;;;;;;12;16;1;;16;;;1;7;18;2;;;;;;1;2;;2;;;;1;;;;;;;;1;;2;1;12;1;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;2;2;3;3;3;;54;95;;1;3;;9500;;210000;5;141.665.164.108.341
990958;1;2;1;60;2;1;1;;;1;1;;2;2;2;1;;1;;200000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;;2;;;;;2;2;2;2;;;;;;;;;;;1;48;;.;48;;;1;7;18;2;;;;;;3;7;;2;;;;1;;;;;;;;1;;2;1;12;1;;2;;;;;10;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;3;3;2;3;3;3;;93;45;;1;1;;4552;;200000;5;141.665.164.108.341
