DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;AREA;fex_c_2011
973701;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;988.924.105.061.753
973703;1;1;1;80;1;2;;;;3;;2;;2;;.;;;1;5;5;839.461.633.689.915
973703;1;2;1;80;1;1;1;1;;2;;2;;;;;2;2;1;5;5;839.461.633.689.915
973704;1;1;1;80;1;1;4;6;;3;;2;;;;;10;2;1;5;5;704.727.217.440.268
973704;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;704.727.217.440.268
973712;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;100.021.051.640.861
973712;1;4;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;100.021.051.640.861
973714;1;1;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;936.155.368.370.691
973720;1;1;1;80;1;1;4;4;;3;;2;;;;;9;2;1;5;5;863.718.679.124.425
973721;1;1;1;80;1;1;4;4;;3;;2;;;;;10;2;1;5;5;706.738.751.537.556
973721;1;2;1;80;1;1;4;4;;3;;2;;;;;10;2;1;5;5;706.738.751.537.556
973722;1;1;1;80;1;1;4;4;;3;;2;;;;;10;2;1;5;5;863.718.679.124.425
973727;1;3;1;80;1;1;3;1;;2;;2;;;;;2;2;1;5;5;87.232.987.882.663
973729;1;1;1;80;1;2;;;;2;;2;;2;;.;;;1;5;5;630.226.087.739.572
973733;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;8;8;467.573.262.553.886
973733;1;5;1;80;1;1;4;2;;2;;2;;;;;9;2;1;8;8;467.573.262.553.886
973738;1;1;1;80;1;1;4;3;;3;;2;;;;;4;2;1;8;8;495.404.113.183.621
973739;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;8;8;530.240.052.739.534
