Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011;Area
3791262;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;08;47;212,230383553281;47
3791262;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;08;47;212,230383553281;47
3791262;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;212,230383553281;47
3791262;1;5;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;212,230383553281;47
3791262;1;7;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;212,230383553281;47
3791263;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;08;47;117,365330953341;47
3791263;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;1;08;47;117,365330953341;47
3791263;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;117,365330953341;47
3791263;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;117,365330953341;47
3791264;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;47;128,363764024432;47
3791264;1;2;1;90;2;1;2;2;2;1;2;2;2;2; ;14; ; ; ;21; ; ; ; ;1;08;47;128,363764024432;47
3791265;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;1;08;47;144,834097523914;47
3791266;1;1;1;90;2;2;2;1;2;2;1;2;2;2; ; ; ;18; ; ;5; ; ; ;1;08;18;79,4051775821165;18
3791266;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;42; ;14; ; ; ; ; ; ;1;08;18;79,4051775821165;18
3791267;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;2; ;24; ; ; ; ; ; ;1;08;18;59,4345201593202;18
3791267;1;2;1;90;2;1;2;1;2;2;1;2;2;2; ;1; ;40; ; ;8; ; ; ;1;08;18;59,4345201593202;18
3791267;1;3;1;90;2;1;2;1;2;2;2;2;2;1; ;2; ;15; ; ; ; ; ;5;1;08;18;59,4345201593202;18
3791268;1;1;1;90;2;1;2;2;1;2;2;2;2;2; ;21; ; ;14; ; ; ; ; ;1;08;18;75,748325664113;18
3791268;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;18;75,748325664113;18
3791269;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;08;18;52,3409659489945;18
3791269;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;08;18;52,3409659489945;18
3791270;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;1;08;15;90,6992684077118;15
3791270;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;08;15;90,6992684077118;15
3791270;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;08;15;90,6992684077118;15
3791271;1;1;1;90;1;1;2;2;2;2;2;2;2;2;8;12; ; ; ; ; ; ; ; ;1;08;15;78,6624456287801;15
3791271;1;2;1;90;1;1;2;2;2;2;1;2;2;2;4;18; ; ; ; ;20; ; ; ;1;08;15;78,6624456287801;15
3791271;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;08;15;78,6624456287801;15
3791271;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;08;15;78,6624456287801;15
3791272;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;1;08;15;90,7585587693067;15
3791273;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;1;08;15;73,4162556711756;15
3791273;1;2;1;90;2;1;2;1;1;2;2;2;2;2; ;24; ;24;18; ; ; ; ; ;1;08;15;73,4162556711756;15
3791273;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;1;08;15;73,4162556711756;15
3791273;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;1;08;15;73,4162556711756;15
3791273;1;5;1;90;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;1;08;15;73,4162556711756;15
3791274;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;6; ;2; ; ; ; ; ; ;1;08;15;72,6730295344713;15
3791274;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;18; ;40; ; ; ; ; ; ;1;08;15;72,6730295344713;15
3791274;1;4;1;90;2;1;2;1;2;2;2;2;2;2; ;18; ;15; ; ; ; ; ; ;1;08;15;72,6730295344713;15
3791274;1;5;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;1;08;15;72,6730295344713;15
3791275;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;35; ;30; ; ; ; ; ; ;1;08;15;70,9628361695084;15
3791275;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;14; ;4; ; ; ; ; ; ;1;08;15;70,9628361695084;15
3791276;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;08;15;87,4028653090153;15
3791277;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;08;15;102,459536163562;15
3791277;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;42; ; ; ; ; ; ; ; ;1;08;15;102,459536163562;15
3791278;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;1;08;15;81,1902126144707;15
3791278;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;28; ;5; ; ; ; ; ; ;1;08;15;81,1902126144707;15
