DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4212183;1;1;1;10;1;2;1;1987;29;1;1;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;12;68;1701,65922474566
4212183;1;2;1;10;2;1;10;1977;39;2;1;2;1;36; ; ; ;1;1;2; ;4;7; ; ;2;7;12;68;1701,65922474566
4212183;1;3;1;10;3;2;5;2005;11;3;6;2;1;36; ; ; ;1;1;1;1;3;4; ; ;2;4;12;68;1701,65922474566
4212183;1;4;1;10;1;1;10;2007;9;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;12;68;1701,65922474566
4212183;1;5;1;10;1;1;2;2011;5;3; ;1; ; ;1;5; ;2;2;1;1;3;0; ; ;2;0;12;68;1701,65922474566
4212184;1;1;1;10;1;1;6;1969;47;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;12;68;2302,09016901389
4212184;1;2;1;10;2;2;10;1971;45;2;3;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;12;68;2302,09016901389
4212184;1;3;1;10;3;1;7;1989;27;3;6;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;12;68;2302,09016901389
4212184;1;4;1;10;4;1;5;2006;10;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;12;68;2302,09016901389
4212184;1;5;1;10;2;1;8;2009;7;4; ;1; ; ;1;5; ;2;1;1;1;3;1; ; ;2;1;12;68;2302,09016901389
4212184;1;6;1;10;2;2;7;2011;5;4; ;1; ; ;1;5; ;2;1;1;1;3;0; ; ;2;0;12;68;2302,09016901389
4212184;1;7;1;10;2;2;7;2011;5;4; ;1; ; ;1;5; ;2;1;1;1;3;0; ; ;2;0;12;68;2302,09016901389
4212185;1;1;1;10;1;1;11;1961;55;1;3;1; ; ;1;3;86182;2;1;2; ;6;3;3; ;2;14;12;68;575,522542253473
4212185;1;2;1;10;2;2;10;1966;50;2;3;1; ; ;1;5; ;2;1;2; ;6;5;4; ;2;16;12;68;575,522542253473
4212185;1;3;1;10;2;1;1;2005;11;3;6;1; ; ;1;5; ;2;1;1;1;4;6; ; ;2;6;12;68;575,522542253473
