DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6410S1;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P7240;P7240S1;OFICIO;RAMA2D;OCI;P6430;RAMA4D;RAMA4DP8;RAMA2DP8;INGLABO;MES;DPTO;fex_c_2011
4212183;1;2;1;60;2;68;2; ; ; ; ; ; ; ; ; ; ;120; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;1000000;1;12000000;3; ;12;48; ;.;48; ; ;2;7; ;4; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;1;24;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;5; ;21;28;1;5;2811; ; ;1000000;12;68;1701,65922474566
4212184;1;1;1;60;2;68;1;1; ; ;1; ; ;1;2;2;2;48; ;1; ;2;900000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;48; ;.;48; ; ;4;7; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;4;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;5; ;95;92;1;1;9249; ; ;900000;12;68;2302,09016901389
4212184;1;2;1;60;2;68;1;1; ; ;1; ; ;1;2;2;2;48; ;1; ;2;120000;2; ; ;1;60000;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;12;2; ;12; ; ;4;7; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;90;6;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;53;92;1;1;9249; ; ;180000;12;68;2302,09016901389
4212184;1;3;1;60;2;68;2; ; ; ; ; ; ; ; ; ; ;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;200000;1;1600000;3; ;12;24;2; ;0;7;AUTOCONSTRUCCION DE VIVIENDA;1;4; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;8;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;98;60;1;4;6031; ; ;200000;12;68;2302,09016901389
4212185;1;1;1;60;2;68;2; ; ; ; ; ; ; ; ; ; ;348; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;1;1;2016;2;1000000;1;12000000;3; ;12;72; ;.;72; ; ;2;7; ;1; ;1;2;2;15;1; ;1; ; ; ; ; ; ; ;2;2;1;0;12;6; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;2;1;1;5; ;41;52;1;4;5211; ; ;1000000;12;68;575,522542253473
4212185;1;2;1;60;2;68;2; ; ; ; ; ; ; ; ; ; ;348; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;12;28;2; ;28; ; ;2;7; ;3; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;3;4; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;3; ;45;52;1;6;5211; ; ; ;12;68;575,522542253473
4212187;1;1;1;60;2;68;2; ; ; ; ; ; ; ; ; ; ;300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;1;2; ;2;1200000;1;14400000;3; ;12;50; ;.;42;2; ;2;9; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;36;1; ;2; ; ; ; ; ; ; ;2; ; ; ;1;1;1;1;2;2;2;1;1;1;2; ;2;1;2;2;2;2;1;1;5; ;95;45;1;5;4521; ; ;1200000;12;68;802,669695700659
4212187;1;2;1;60;2;68;2; ; ; ; ; ; ; ; ; ; ;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;50000;1;600000;3; ;12;12;2; ;12; ; ;1;1; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;48;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;79;52;1;4;5271; ; ;50000;12;68;802,669695700659
4212187;1;3;1;60;2;68;1;2;1; ;2;4;SEGURIDAD MOVIL DE COLOMBIA SA;1;1;2;1;18; ;1; ;2;689454;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;77700;2;1;28000;2;2; ; ;2; ; ;2; ; ;1;689454;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;48; ;.;48; ; ;9;7; ;1; ;1;1;1;1;1;1; ; ; ; ; ; ; ; ;1;1;1;0;6;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;33;63;1;1;6331;6331;63;689454;12;68;802,669695700659
4212187;2;1;2;60;2;68;2; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;240000;1;240000;3; ;12;18;1; ;18; ; ;1;6; ;10; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;240;4; ;1;68;0;4; ;200000;1;8;1;20;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;5; ;97;63;1;4;6310; ; ;440000;12;68;802,669695700659
