Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Area;Mes;Dpto;Fex_c_2011
3748023;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;06;17;156,191509725792
3748023;1;2;1;90;2;1;2;2;1;2;2;2;2;2; ;7; ; ;15; ; ; ; ; ;17;06;17;156,191509725792
3748023;1;3;1;90;2;1;2;2;1;2;1;2;2;1; ;10; ; ;7; ;20; ; ;12;17;06;17;156,191509725792
3748026;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;17;06;17;206,759946016092
3748027;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;17;06;17;163,149525530197
3748027;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;17;06;17;163,149525530197
3748028;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;17;06;17;179,796859221841
3748028;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;24; ; ; ; ; ; ; ; ;17;06;17;179,796859221841
3748029;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;17;06;17;190,786719210633
3748031;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;17;06;17;174,139385518989
3748032;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;06;17;196,7251172012
3748032;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;17;06;17;196,7251172012
3748032;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;17;06;17;196,7251172012
3748034;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;17;06;17;199,205200027995
3748035;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;24; ; ; ; ; ; ; ; ;17;06;17;185,748677886921
3748036;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;17;06;17;220,543942417165
3748037;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;17;06;17;185,748677886921
3748038;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;06;17;187,943019430014
3748038;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;06;17;187,943019430014
3748038;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;06;17;187,943019430014
3748039;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;17;06;17;163,149525530197
3748039;1;2;1;90;2;1;1;2;2;2;2;2;2;2; ;15;2; ; ; ; ; ; ; ;17;06;17;163,149525530197
3748040;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;17;06;17;177,45189781937
3748040;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;17;06;17;177,45189781937
3748040;1;3;1;90;2;2;2;2;2;2;1;2;1;2; ; ; ; ; ; ;4; ;4; ;17;06;17;177,45189781937
3748041;1;1;1;90;2;1;2;2;2;2;1;2;2;1; ;24; ; ; ; ;9; ; ;3;17;06;17;106,98647221603
3748041;1;2;1;90;2;1;2;2;2;2;1;2;2;1; ;4; ; ; ; ;8; ; ;3;17;06;17;106,98647221603
3748041;2;1;2;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;17;06;17;106,98647221603
3748041;3;1;3;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;17;06;17;106,98647221603
3748048;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;42; ; ; ; ; ; ; ; ;08;06;08;673,847412689047
3748048;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;08;06;08;673,847412689047
3748048;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;08;06;08;673,847412689047
3748048;1;4;1;90;2;1;2;2;2;2;1;2;2;2; ;30; ; ; ; ;20; ; ; ;08;06;08;673,847412689047
3748049;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;2; ;2; ; ; ; ; ; ;08;06;08;690,621963290329
3748049;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;28; ;28; ; ; ; ; ; ;08;06;08;690,621963290329
3748050;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;08;06;08;549,594745220374
3748050;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;08;06;08;549,594745220374
3748050;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;08;06;08;549,594745220374
3748051;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;08;06;08;670,954165885806
3748051;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;42; ;5; ; ; ; ; ; ;08;06;08;670,954165885806
3748051;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;08;06;08;670,954165885806
3748051;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;08;06;08;670,954165885806
3748056;1;1;1;90;2;1;2;1;1;2;2;2;2;2; ;10; ;7;15; ; ; ; ; ;76;06;76;1051,17954923831
3748056;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;15; ; ; ; ; ; ;76;06;76;1051,17954923831
3748057;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;42; ; ; ; ; ; ; ; ;76;06;76;1110,78816998373
3748057;1;2;1;90;2;1;2;2;1;2;2;2;2;2; ;24; ; ;8; ; ; ; ; ;76;06;76;1110,78816998373
3748058;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;12; ; ; ; ; ; ;76;06;76;882,368169446066
3748058;1;2;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;30; ; ; ; ; ; ;76;06;76;882,368169446066
3748058;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;76;06;76;882,368169446066
3748059;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;76;06;76;962,376292660603
3748060;1;1;1;90;2;1;1;1;2;2;2;2;2;2; ;40;6;15; ; ; ; ; ; ;76;06;76;969,928368485159
3748060;1;2;1;90;2;1;2;1;2;2;2;1;2;2; ;2; ;14; ; ; ;6; ; ;76;06;76;969,928368485159
3748060;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;24; ;14; ; ; ; ; ; ;76;06;76;969,928368485159
3748061;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;76;06;76;733,956292122937
3748061;1;2;1;90;2;1;2;2;2;2;1;2;2;2; ;14; ; ; ; ;25; ; ; ;76;06;76;733,956292122937
3748062;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;76;06;76;1110,78816998373
3748062;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;42; ; ; ; ; ; ; ; ;76;06;76;1110,78816998373
3748063;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;32; ; ; ; ; ; ; ; ;76;06;76;1325,25346321382
3748063;1;2;1;90;2;2;2;2;1;2;2;2;2;2; ; ; ; ;48; ; ; ; ; ;76;06;76;1325,25346321382
3748064;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;24; ; ; ; ; ; ; ; ;76;06;76;962,376292660603
3748065;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;73;06;73;177,064703324183
3748065;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;73;06;73;177,064703324183
3748065;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;73;06;73;177,064703324183
3748066;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;06;73;174,921312018745
3748066;1;2;1;90;2;1;2;2;1;2;2;2;2;2; ;63; ; ;49; ; ; ; ; ;73;06;73;174,921312018745
3748066;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;73;06;73;174,921312018745
3748066;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;73;06;73;174,921312018745
3748067;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;73;06;73;261,419472075284
3748067;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;73;06;73;261,419472075284
3748068;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;7; ;35; ; ; ; ; ; ;73;06;73;213,479289317611
3748068;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;28; ; ; ; ; ; ;73;06;73;213,479289317611
3748069;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;06;73;232,590851036386
3748070;1;1;1;90;2;1;2;2;2;2;1;2;2;2; ;18; ; ; ; ;2; ; ; ;73;06;73;222,77477067844
3748071;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;73;06;73;200,07209841656
3748071;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;12; ;30; ; ; ; ; ; ;73;06;73;200,07209841656
3748072;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;24; ;14; ; ; ; ; ; ;50;06;50;222,204234487676
3748072;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;14; ;28; ; ; ; ; ; ;50;06;50;222,204234487676
3748073;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;50;06;50;172,119681339299
3748073;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;6; ;36; ; ; ; ; ; ;50;06;50;172,119681339299
3748073;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;50;06;50;172,119681339299
3748074;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;50;06;50;93,4976640259972
3748074;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;50;06;50;93,4976640259972
3748074;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;50;06;50;93,4976640259972
3748075;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;50;06;50;121,3367839816
3748076;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;50;06;50;93,4976640259972
3748076;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;50;06;50;93,4976640259972
3748076;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;50;06;50;93,4976640259972
3748077;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;50;06;50;233,926246208173
3748077;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;30; ; ; ; ; ; ;50;06;50;233,926246208173
3748078;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;50;06;50;205,958328636197
3748078;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;50;06;50;205,958328636197
3748079;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;50;06;50;233,926246208173
3748079;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;28; ;40; ; ; ; ; ; ;50;06;50;233,926246208173
3748080;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;66;06;66;350,010416870836
3748080;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;66;06;66;350,010416870836
3748081;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;66;06;66;297,755795657623
3748081;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;66;06;66;297,755795657623
3748081;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;66;06;66;297,755795657623
3748082;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;66;06;66;210,384400569104
3748082;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;66;06;66;210,384400569104
3748082;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;66;06;66;210,384400569104
3748082;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;66;06;66;210,384400569104
3748082;1;5;1;90;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;66;06;66;210,384400569104
