Directorio;Secuencia_p;Orden;Hogar;Regis;P7480;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011;Area
3374748;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;41;82,9824645730625;41
3374748;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;41;82,9824645730625;41
3374748;1;3;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;5; ; ; ; ; ; ;1;01;41;82,9824645730625;41
3374749;1;1;1;90; ;2;2;1;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ;1;01;41;169,501012618637;41
3374749;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;1;01;41;169,501012618637;41
3374750;1;1;1;90; ;2;1;2;2;1;2;2;2;2;2; ;12; ; ;30; ; ; ; ; ;1;01;41;114,321831268044;41
3374751;1;1;1;90; ;2;1;2;1;2;2;2;2;1;2; ;28; ;24; ; ; ; ;2; ;1;01;41;80,3850209413756;41
3374752;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;01;41;139,317128816599;41
3374753;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;3; ;6; ; ; ; ; ; ;1;01;41;81,8110538557357;41
3374753;1;2;1;90; ;2;1;1;1;2;2;2;2;2;2; ;18;6;21; ; ; ; ; ; ;1;01;41;81,8110538557357;41
3374754;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;1;01;18;72,6134539261118;18
3374754;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;12; ;25; ; ; ; ; ; ;1;01;18;72,6134539261118;18
3374755;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;59,8639949937235;18
3374755;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;21; ;60; ; ; ; ; ; ;1;01;18;59,8639949937235;18
3374755;1;5;1;90; ;2;1;2;1;2;2;2;2;2;2; ;25; ;10; ; ; ; ; ; ;1;01;18;59,8639949937235;18
3374756;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;51,8540456507706;18
3374756;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;01;18;51,8540456507706;18
3374756;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;1;01;18;51,8540456507706;18
3374756;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;01;18;51,8540456507706;18
3374757;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;42; ;42; ; ; ; ; ; ;1;01;18;55,115869702746;18
3374757;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;1;01;18;55,115869702746;18
3374758;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;98,8468062317579;18
3374758;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;36; ; ; ; ; ; ; ; ;1;01;18;98,8468062317579;18
3374758;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;98,8468062317579;18
3374758;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;1;01;18;98,8468062317579;18
3374758;1;5;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;98,8468062317579;18
3374759;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;34; ; ; ; ; ; ; ; ;1;01;18;49,5401823717483;18
3374760;1;1;1;90; ;2;1;2;1;1;2;2;2;2;2; ;28; ;20;30; ; ; ; ; ;1;01;18;87,0409892251413;18
3374760;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;87,0409892251413;18
3374760;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;87,0409892251413;18
3374760;1;4;1;90; ;2;1;2;1;2;2;2;2;2;2; ;18; ;30; ; ; ; ; ; ;1;01;18;87,0409892251413;18
3374761;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;01;18;34,9120591039093;18
3374761;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;01;18;34,9120591039093;18
3374762;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;1;01;18;91,8613888612106;18
3374763;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;87,0409892251413;18
3374763;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;1;01;18;87,0409892251413;18
3374763;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;87,0409892251413;18
3374763;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;87,0409892251413;18
3374764;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;28; ;28; ; ; ; ; ; ;1;01;18;94,031631146703;18
3374764;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;94,031631146703;18
3374764;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;21; ;40; ; ; ; ; ; ;1;01;18;94,031631146703;18
3374764;1;9;1;90; ;2;1;2;1;2;2;2;2;2;2; ;18; ;28; ; ; ; ; ; ;1;01;18;94,031631146703;18
3374765;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;70,2022919303109;18
3374765;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;1;01;18;70,2022919303109;18
3374765;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;70,2022919303109;18
3374765;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;01;18;70,2022919303109;18
3374765;1;6;1;90; ;2;1;2;1;2;2;2;2;2;2; ;16; ;40; ; ; ; ; ; ;1;01;18;70,2022919303109;18
3374766;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;1;01;18;46,8952460798957;18
3374766;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;01;18;46,8952460798957;18
3374767;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;64,6783951381578;18
3374767;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;8; ;15; ; ; ; ; ; ;1;01;18;64,6783951381578;18
3374768;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;18;49,5401823717483;18
3374769;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;1;01;76;932,841343661907;76
3374770;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;1;01;76;1000,93930117406;76
3374770;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;01;76;1000,93930117406;76
