Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Mes;Dpto;Fex_c_2011
3385235;1;4;2;2;1;5;1;1;4;1; ; ;10000000;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2; ;10;1;1;1;3;1;2;2;2;1;1; ;1;01;2;01;17;1665,58248699412
3385236;1;3;2;2;1;5;1;1;4;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;1;1;1;2;2;2;2;1;2;1;2;2;1;2;2;2; ;6;1;1;1;2;1;2;2;2;1;1; ;1;01;2;01;17;1476,57581976676
3385237;1;4;3;3;1;4;1;1;5;1; ; ;8000000;60000; ;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;3;1;1;1;2;1;2;2;2;1;1; ;1;01;2;01;17;1734,28439696124
3385238;1;6;3;2;1;4;1;1;4;1; ; ;70000000;200000; ;2;2;1;1;1;1;2;2;2;1;1;1;2;2;2;1;1;1;1;2;2;1;3;2;2; ;3;1;1;1;2;1;2;2;2;1;2; ;1;01;2;01;17;968,484269442521
3385239;1;4;1;3;1;5;1;1;4;3; ; ; ; ;34000;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;1;3;1;1;1;4;2;1;2;2;2;1;1; ;1;01;2;01;17;1302,96600127598
3385240;1;3;2;1;1;3;1;1;4;4; ; ; ;60000; ;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;5;1;1;4;2;1;2;1;2;1;1; ;1;01;2;01;17;1421,71302770161
3385241;1;3;2;2;1;5;1;1;4;2; ;100000;30000000;80000; ;2;2;1;2;1;2;2;2;2;1;1;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;4;1;1;1;1;1;2;2;2;1;1; ;1;01;2;01;17;1667,80777985701
3385242;1;2;2;2;1;5;1;1;4;1; ; ;15000000;50000; ;2;2;1;2;2;2;2;2;2;1;2;1;2;2;2;2;1;1;1;2;2;1;6;2;2; ;6;1;1;1;4;1;2;2;2;1;2; ;1;01;2;01;17;1378,95274714802
3385244;1;4;3;2;1;5;1;1;4;1; ; ;30000000;150000; ;2;1;1;1;1;1;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;7;2;2; ;9;1;1;1;4;1;2;2;2;1;2; ;1;01;2;01;17;2295,31989039478
3385703;1;6;3;2;1;4;4;1;4;1; ; ;98;1000000; ;2;2;1;1;1;1;2;2;1;1;1;2;1;2;2;1;1;1;1;1;1;1;1;2;2; ;4;1;1;1;4;1;2;2;1;2;2;3; ;01;2;01;68;4563,36410656709
3385714;1;3;1;2;1;4;1;1;4;1; ; ;80000000;150000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;2;2; ;2;1;1;3;4;1;2;2;2;1;2; ;2;01;2;01;68;5501,10122127434
3385725;1;3;1;2;1;4;4;1;5;1; ; ;18000000;500000; ;1;2;1;1;1;2;2;2;1;1;2;2;1;2;2;2;1;1;2;2;2;1;2;2;2; ;2;1;1;1;4;1;2;2;2;2;2; ; ;01;2;01;68;3686,13505574687
3385735;1;4;3;2;1;1;1;1;4;4; ; ; ;300000; ;2;2;1;1;2;1;2;2;2;1;2;1;1;2;1;1;1;1;1;2;2;1;3;2;2; ;5;1;1;1;2;1;2;2;1;1;2;3;1;01;2;01;68;2089,62290596312
3385736;1;6;1;2;1;4;1;1;4;4; ; ; ;200000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;1;1;1;1;2;1;2;2;2;1;2; ;2;01;2;01;68;3640,60304958435
3385737;1;4;2;2;1;4;4;1;4;4; ; ; ;300000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;3;2;2; ;3;1;1;1;2;1;2;2;2;2;2; ; ;01;2;01;68;806,48407863594
3385738;1;3;2;2;1;1;1;1;5;1; ; ;60000000;300000; ;2;2;1;1;1;2;2;2;2;1;2;1;2;2;2;1;1;1;1;1;2;1;1;2;2; ;5;1;1;1;4;1;2;2;1;1;2;3;2;01;2;01;68;5217,506177821
3385744;1;4;1;2;1;4;4;1;4;4; ; ; ;250000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;1;1;4;1;2;2;2;2;2; ; ;01;2;01;68;3334,12422754212
3385755;1;5;4;2;1;4;4;1;4;1; ; ;800000000;1000000; ;2;2;1;1;1;1;2;2;1;1;1;2;1;2;1;1;1;1;1;1;1;1;4;2;2; ;4;1;1;1;4;1;2;2;2;2;2; ; ;01;2;01;68;5151,31819042132
3385766;1;4;3;2;1;4;4;1;5;1; ; ;15000000;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;3;2;2; ;5;1;1;1;4;1;2;2;2;2;2; ; ;01;2;01;68;2550,02087116512
