DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4529705;1;1;1;70;2;3;48;2; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;345000;300000;2; ;54;54;85;1;1;01;8532;66;525,820452924877
4529714;1;3;1;70;2;2;50;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;3000000; ; ;06; ; ;1;1;01; ;66;1280,37559738105
4529718;1;3;1;70;2;1;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2200000;1;1;13;39;80;1;1;01;8050;66;670,927173691832
4529729;1;2;1;70;2;4;48;1; ;2;4;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;800000;800000;1;1;38;30;74;1;1;01;7499;66;1128,76568378317
4529732;1;3;1;70;2;5;50;1; ;2;5;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;95;95;45;1;1;01;4521;66;1393,47319235087
4529732;1;4;1;70;2;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;700000; ; ;45; ; ;1;2;01; ;66;1393,47319235087
4529787;1;2;1;70;2;8;48;1; ;2;56;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;79;97;51;1;1;01;5135;73;2002,27627894945
4529795;1;1;1;70;2;4;20;1; ;2;156;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;45;99;52;1;1;01;5223;73;3157,67693812503
4529798;1;2;1;70;2;24;25;4; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;50000;500000;2; ;55;55;74;1;2;01;7493;73;2708,51829160701
4529802;1;2;1;70;2;48;24;4; ;2;48;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;55;55;74;1;2;01;7493;73;1399,5747962071
4529802;1;4;1;70;2;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;45; ; ;1;1;01; ;73;1399,5747962071
4529804;1;2;1;70;2;14;56;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;58; ; ;1;2;01; ;73;2512,72252635807
4529805;1;2;1;70;2;48;24;3; ;2;48;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;54;54;74;1;2;01;7493;73;2708,51829160701
4529822;1;2;1;70;2;2;30;4; ;2;8;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;55;56;93;1;1;01;9301;73;2102,61935472351
4529822;1;3;1;70;2;2;48;1; ;2;3;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;760000;700000;2; ;97;55;51;1;1;01;5141;73;2102,61935472351
4529822;1;4;1;70;2;104;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;700000; ; ;44; ; ;1;2;01; ;73;2102,61935472351
4529883;1;3;1;70;2;48;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;33; ; ;1;2;01; ;73;3453,78011050501
4529884;1;2;1;70;2;3;40;4; ;2;4;4; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;789000;800000;1;1;53;53;85;1;1;01;8531;73;2992,52088194771
4529885;1;3;1;70;2;3;45;1; ;2;11;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;64;05;1;1;01;0501;73;2182,78669842654
4529888;1;2;1;70;2;3;56;1; ;2;3;1; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;1;1200000;1000000;2; ;98;98;60;1;1;01;6042;73;1525,32968392615
4529999;1;1;1;70;2;3;48;8; ;2;3;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;781242;2; ;62;95;01;1;1;01;0111;05;5936,8691599588
4530020;1;2;1;70;2;192;48;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;782200; ; ;54; ; ;1;2;01; ;05;5293,0363380924
4530061;1;2;1;70;2;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;782000; ; ;39; ; ;1;1;01; ;05;5241,9381646746
4530085;1;1;1;70;2;2;48;1; ;2;2;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;1;98;782000;2; ;97;97;60;1;1;01;6042;05;3887,14209865729
4530176;1;3;1;70;2;3;42;4; ;2;3;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;250000;300000; ; ;61;61;01;1;1;01;0121;18;1192,98911490252
4531199;1;2;1;70;2;4;48;2; ;2;16;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;58;97;52;1;1;01;5223;20;1084,19918519882
4531229;1;2;1;70;2;4;60;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;700000; ; ;58; ; ;1;1;01; ;20;1230,29699796644
4531230;1;4;1;70;2;4;40;4; ;2;4;4; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;1;105000;800000;2; ;62;62;01;1;1;01;0115;20;1084,30359460085
4531302;1;3;1;70;2;12;44;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;780240;2; ;45;03;85;1;1;01;8532;20;1646,02615398457
4531304;1;3;1;70;2;5;48;1; ;2;7;1; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;06;13;80;1;1;01;8050;20;1019,15368301099
4531305;1;1;1;70;2;7;48;4; ;2;6;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;700000;2; ;85;61;01;1;1;01;0115;20;1045,75413835226
4531307;1;2;1;70;2;2;24;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;19;19;80;1;1;01;8060;20;1646,02615398457
4531420;1;1;1;70;2;52;40;3; ;2;52;3; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;400000;2; ;54;54;95;1;2;01;9500;23;1937,90763435168
4531421;1;3;1;70;2;3;48;1; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;13;13;80;1;1;01;8011;23;1125,44550170251
4531423;1;2;1;70;2;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;500000; ; ;45; ; ;1;1;01; ;23;2120,60315529417
4531426;1;2;1;70;2;42;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;45; ; ;1;2;01; ;23;1287,4932646471
4531437;1;3;1;70;2;21;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;33; ; ;1;2;01; ;23;1513,66919926123
4531451;1;1;1;70;2;3;48;3; ;2;3;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;54;54;95;1;1;01;9500;23;2210,04388561712
4531454;1;2;1;70;2;3;46;1; ;2;3;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;1;900000;1000000;2; ;45;45;52;1;1;01;5241;23;1710,71613411563
4531466;1;1;1;70;2;8;48;8; ;2;8;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;750000;2; ;61;61;01;1;1;01;0114;25;2555,7114179959
4531482;1;3;1;70;2;24;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;98; ; ;1;2;01; ;25;5002,82348980054
4531495;1;3;1;70;2;5;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;737717; ; ;39; ; ;1;1;01; ;25;4623,74239389343
4531514;1;2;1;70;2;104;54;1; ;2;104;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;55;55;80;1;2;01;8045;25;1715,24103225756
4531514;1;3;1;70;2;10;48;1; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;30000;1000000;2; ;95;61;01;1;1;01;0140;25;1715,24103225756
4531663;1;2;1;70;2;3;48;3; ;2;1;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;1000000;1;1;58;45;52;1;1;01;5231;25;937,769694250633
4531669;1;2;1;70;2;12;48;1; ;2;102;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;737171;2; ;32;39;91;1;1;01;9199;25;1072,13058779251
4531699;1;2;1;70;2;4;72;1; ;2;3;3; ;1;2;9;TIENE EPS SUBSIDIADA DE VILLETA; ; ; ; ; ; ; ; ; ;1;1;400000;1000000;2; ;59;59;95;1;1;01;9500;25;1908,28803079762
4531699;1;3;1;70;2;208;30;4; ;2;4;3; ;1;2;9;SISBEN DE VILLETA; ; ; ; ; ; ; ; ; ;1;1;300000;600000;2; ;54;54;95;1;2;01;9500;25;1908,28803079762
4531711;1;3;1;70;2;8;48;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;98;700000;2; ;45;45;55;1;1;01;5529;25;3135,04788063954
4531719;1;3;1;70;2;20;48;1; ;2;20;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781120;2; ;39;99;60;1;2;01;6031;25;3066,16021576763
4531720;1;1;1;70;2;4;48;4; ;2;8;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;95;95;45;1;1;01;4521;25;1908,28803079762
4531721;1;1;1;70;2;259;48;1; ;2;362;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;95;87;28;1;2;01;2811;25;1632,80742109344
4531722;1;3;1;70;2;8;48;1; ;2;8;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;789000;2; ;59;39;24;1;1;01;2423;25;4623,74239389343
4531722;1;4;1;70;2;2;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;59; ; ;1;1;01; ;25;4623,74239389343
4531724;1;2;1;70;2;52;48;1; ;2;156;6; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;77;45;52;1;2;01;5211;25;3066,16021576763
4531734;1;2;1;70;2;4;48;1; ;2;24;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;53;53;55;1;1;01;5529;25;1908,28803079762
4531737;1;2;1;70;2;24;40;1; ;2;204;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;77;77;80;1;2;01;8042;27;3946,5414762844
4531737;1;3;1;70;2;32;40;1; ;2;16;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;18;18;74;1;2;01;7492;27;3946,5414762844
4531738;1;1;1;70;2;51;40;1; ;2;102;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;13;77;80;1;2;01;8011;27;2992,8815490258
4531749;1;2;1;70;2;45;8;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;750000; ; ;39; ; ;1;2;01; ;27;1463,42786945399
4531753;1;6;1;70;2;2;8;1; ;2;4;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;1;530000;700000;2; ;55;55;74;1;1;01;7493;27;1463,42786945399
4531917;1;2;1;70;2;4;40;1; ;2;4;1; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;61;61;01;1;1;01;0117;27;1222,67166504502
4532020;1;4;1;70;2;12;42;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;700000; ; ;53; ; ;1;1;01; ;27;964,899761340701
4532035;1;3;1;70;2;10;42;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1200000; ; ;13; ; ;1;1;01; ;27;822,191879788679
4532093;1;2;1;70;2;4;16;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;200000; ; ;45; ; ;1;1;01; ;41;850,069855951951
4532114;1;3;1;70;2;24;45;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;737717; ; ;97; ; ;1;2;01; ;41;859,637475239076
4532116;1;1;1;70;2;4;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ;1; ; ; ;1;1000000;1800000;2; ;05;05;01;1;1;01;0121;41;879,255352687541
4532123;1;2;1;70;2;24;24;1; ;2;672;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;53;53;55;1;2;01;5529;41;663,707258469584
4532356;1;2;1;70;2;3;20;3; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;55;77;15;1;1;01;1551;63;919,778920277855
4532359;1;3;1;70;2;2;2;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;300000; ; ;17; ; ;1;1;01; ;63;1238,09708414475
4532512;1;4;1;70;2;7;44;2; ;2;12;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;32;32;75;1;1;01;7512;70;906,608817644545
4532556;1;3;1;70;2;2;48;1; ;2;2;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;45;45;52;1;1;01;5211;70;1886,94682492409
4532558;1;2;1;70;2;6;40;1; ;2;80;4; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;58;53;85;1;1;01;8532;70;1769,11381227805
4532564;1;2;1;70;2;8;40;9;SUBCONTRATADA COMO AUXILIAR DE AGENTE EDUCATIVO EN CENTRO DE DESARROLLO INFANTIL;2;15;9;SUBCONTRATADA COMO AUXILIAR DE DOCENTE EN INSTITUCION EDUCATIVA;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;59;59;80;1;1;01;8043;70;1840,0465551111
4532569;1;3;1;70;2;9;44;1; ;2;11;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;77;77;15;1;1;01;1551;70;1267,10301283354
4532610;1;2;1;70;2;1;72;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;100000;2; ;55;55;55;1;1;01;5521;76;339,18851157873
4532625;1;1;1;70;2;24;48;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;50000;800000;2; ;84;35;45;1;2;01;4530;76;630,743690994674
4532678;1;3;1;70;2;3;40;4; ;2;4;4; ;9;2;3; ; ; ; ;1;1; ; ; ; ; ;1;1300000;2000000;1;1;59;59;85;1;1;01;8512;13;769,386508087569
4532701;1;2;1;70;2;4;48;3; ;2;96;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;54;54;95;1;1;01;9500;13;1489,9484589009
4532746;1;1;1;70;2;52;48;1; ;2;104;1; ;4;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;850000;2; ;55;55;74;1;2;01;7493;13;1104,82023568868
4534188;1;3;1;70;2;48;40;1; ;2;240;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;81;81;36;1;2;01;3611;52;2295,77877610779
4534248;2;2;2;70;2;3;40;2; ;2;352;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;782000;2; ;58;58;02;1;1;01;0201;52;2882,10109396931
4534329;1;2;1;70;2;5;10;3; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;60000;200000;2; ;54;55;74;1;1;01;7493;52;4170,18477093842
4534332;1;3;1;70;2;26;40;4; ;2;26;8; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;61;62;01;1;2;01;0114;52;6872,35939441644
4534332;1;4;1;70;2;4;40;4; ;2;4;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;62;62;01;1;1;01;0111;52;6872,35939441644
4534336;1;3;1;70;2;52;40;1; ;2;17;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;81;61;01;1;2;01;0140;52;5659,04769098178
4534342;1;1;1;70;2;13;40;4; ;2;13;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;61;61;01;1;1;01;0140;52;2439,96448323138
4534348;1;2;1;70;2;26;40;4; ;2;26;4; ;1;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;61;61;01;1;2;01;0140;52;4886,1075409628
4534353;1;4;1;70;2;2;44;1; ;2;2;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;1;60000;600000;2; ;97;97;52;1;1;01;5211;52;7797,47551902421
