DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;fex_c_2011
4513822;1;1;1;50;05; ; ;1;6;HACER DEPORTE;2;1; ; ; ; ; ; ; ; ; ; ;01;1;05;1526,66445104898
4513822;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;1526,66445104898
4513823;1;1;1;50;05; ; ;1;6;VACACIONES;2;1; ; ; ; ; ; ; ; ; ; ;01;1;05;1508,64271114865
4513823;1;2;1;50;05; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;01;1;05;1508,64271114865
4513824;1;1;1;50;05;1; ;1;6;VER TELEVICION;2;2;2;1; ; ; ; ; ; ; ;1;01;1;05;1390,39311554381
4513824;1;2;1;50;05;1; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;01;1;05;1390,39311554381
4513824;1;3;1;50;05; ; ;3;6;ACOSTADO;2;2;2;2;1;11; ; ; ; ; ; ;01;1;05;1390,39311554381
4513824;1;4;1;50;05; ; ;4;6;DIALISIS;2;2;2;2;2; ; ; ; ; ; ; ;01;1;05;1390,39311554381
4513825;1;1;1;50;05; ; ;1;6;PASEO;2;2;2;2;2; ; ; ; ; ; ; ;01;1;05;1201,47931684628
4513825;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;1201,47931684628
4513825;1;3;1;50;05; ; ;1;6;VACACIONES;2;2;2;2;2; ; ; ; ; ; ; ;01;1;05;1201,47931684628
4513826;1;1;1;50;05; ; ;1;6;PASEAR;2;1; ; ; ; ; ; ; ; ; ; ;01;1;05;1305,95774531486
4513827;1;1;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;1324,95430571861
4513827;1;2;1;50;05; ; ;2;4; ;2;2;1; ; ; ; ; ; ; ; ; ;01;1;05;1324,95430571861
4513827;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;1324,95430571861
4513828;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;1100,338929277
4513828;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;1100,338929277
4513828;1;3;1;50;05;2; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;01;1;05;1100,338929277
4513829;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;1181,68972532872
