DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;AREA;ESC;MES;DPTO;fex_c_2011
2776149;1;1;1;10;1;2;1;9;1973;38;1;4;1;;;3;;;2;1;2;;5;11;2;54;11;9;54;219.420.306.247.009
2776149;1;2;1;10;2;2;1;9;1992;18;3;6;1;;;3;;;2;1;1;2;6;0;2;54;11;9;54;219.420.306.247.009
2776149;1;3;1;10;1;2;1;7;1996;15;3;6;1;;;3;;;2;1;1;1;4;9;;54;9;9;54;219.420.306.247.009
2776149;1;4;1;10;1;2;1;3;2008;3;3;;1;;;3;;;2;2;2;;1;0;;54;0;9;54;219.420.306.247.009
2776150;1;1;1;10;1;1;1;7;1983;28;1;3;1;;;1;1;98;2;1;2;;6;10;5;54;21;9;54;317.429.917.527.457
2776150;1;2;1;10;2;2;1;6;1982;29;2;3;1;;;1;5;;2;1;2;;6;8;5;54;19;9;54;317.429.917.527.457
2776152;1;1;1;10;1;1;1;5;1970;41;1;3;1;;;1;1;31000;2;1;2;;5;11;2;54;11;9;54;395.262.760.905.512
2776152;1;2;1;10;2;2;1;1;1971;40;2;3;1;;;1;5;;2;1;2;;4;7;;54;7;9;54;395.262.760.905.512
2776152;1;3;1;10;2;1;1;5;1997;14;3;6;1;;;1;5;;2;1;1;1;4;8;;54;8;9;54;395.262.760.905.512
2776152;1;4;1;10;2;1;1;8;2008;3;3;;1;;;1;5;;2;2;2;;1;0;;54;0;9;54;395.262.760.905.512
2776154;1;1;1;10;1;2;1;4;1980;31;1;3;1;;;1;1;98;2;1;1;1;6;1;2;54;12;9;54;376.180.080.691.885
2776154;1;2;1;10;2;1;1;3;1974;37;2;3;1;;;1;1;98;2;1;2;;5;11;2;54;11;9;54;376.180.080.691.885
2776154;1;3;1;10;4;1;1;9;1996;14;3;6;1;;;1;5;;2;1;1;1;4;6;;54;6;9;54;376.180.080.691.885
2776154;1;4;1;10;4;2;1;5;1983;28;5;3;1;;;3;;;2;1;2;;4;8;;54;8;9;54;376.180.080.691.885
2776154;1;5;1;10;5;1;1;9;1973;38;5;3;1;;;3;;;2;1;2;;5;11;2;54;11;9;54;376.180.080.691.885
2776154;1;6;1;10;4;1;1;8;2000;11;5;6;1;;;3;;;2;1;1;1;3;3;;54;3;9;54;376.180.080.691.885
2776155;1;1;1;10;1;1;1;11;1945;65;1;2;1;;;3;;;2;1;2;;3;3;;54;3;9;54;286.017.208.419.971
2776155;1;2;1;10;2;2;1;3;1968;43;2;2;1;;;3;;;2;1;2;;3;5;;54;5;9;54;286.017.208.419.971
2776157;1;1;1;10;1;1;1;3;1950;61;1;2;1;;;3;;;2;1;2;;3;5;;54;5;9;54;384.911.366.226.543
2776157;1;2;1;10;2;2;1;9;1966;44;2;2;1;;;3;;;1;1;2;;3;5;;54;5;9;54;384.911.366.226.543
2776157;1;3;1;10;3;1;1;1;1989;22;3;6;1;;;3;;;2;1;2;;5;11;2;54;11;9;54;384.911.366.226.543
2776157;1;4;1;10;2;1;1;4;1996;15;3;6;1;;;3;;;2;1;1;1;4;7;;54;7;9;54;384.911.366.226.543
2776157;1;5;1;10;2;2;1;2;2003;8;3;;1;;;3;;;2;1;1;1;3;2;;54;2;9;54;384.911.366.226.543
2776158;1;1;1;10;1;2;1;5;1919;92;1;5;1;;;3;;;2;1;2;;3;5;;54;5;9;54;351.961.853.022.036
2776158;1;2;1;10;2;1;1;2;1948;63;3;6;1;;;3;;;1;2;2;;1;0;;54;0;9;54;351.961.853.022.036
2776160;1;1;1;10;1;1;1;2;1970;41;1;2;1;;;1;3;67000;2;1;2;;4;7;;73;7;9;73;261.698.222.406.648
2776160;1;2;1;10;2;2;1;1;1983;28;2;2;1;;;1;5;;2;1;2;;5;11;2;73;11;9;73;261.698.222.406.648
2776160;1;3;1;10;2;1;1;4;2004;7;3;;1;;;1;5;;2;1;1;1;3;1;;73;1;9;73;261.698.222.406.648
2776161;1;1;1;10;1;2;1;2;1953;58;1;4;1;;;1;5;;2;1;2;;4;7;;73;7;9;73;181.481.822.136.795
2776162;1;1;1;10;1;1;1;2;1960;51;1;3;1;;;1;1;40000;2;1;2;;5;11;2;73;11;9;73;260.711.640.249.297
