DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,clase,MES,DPTO,AREA,fex_c_2011
2776149,1,1,1,95,2,,,,,,,,1,2,2,,,,,4800000,2,1,2,,2,1,9,54,54,219.420.306.247.009
2776149,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,54,54,219.420.306.247.009
2776149,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,54,54,219.420.306.247.009
2776150,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,54,54,317.429.917.527.457
2776150,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,54,54,317.429.917.527.457
2776152,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,54,54,395.262.760.905.512
2776152,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,54,54,395.262.760.905.512
2776152,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,54,54,395.262.760.905.512
2776154,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,54,54,376.180.080.691.885
2776154,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,54,54,376.180.080.691.885
2776154,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,54,54,376.180.080.691.885
2776154,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,54,54,376.180.080.691.885
2776154,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,54,54,376.180.080.691.885
2776155,1,1,1,95,2,,,,,,,,1,2,2,,,,,3600000,2,1,2,,2,1,9,54,54,286.017.208.419.971
2776155,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,54,54,286.017.208.419.971
2776157,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,54,54,384.911.366.226.543
2776157,1,2,1,95,2,,,,,,,,1,1,2,,,,495000,,2,2,2,,2,1,9,54,54,384.911.366.226.543
2776157,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,54,54,384.911.366.226.543
2776157,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,54,54,384.911.366.226.543
2776158,1,1,1,95,2,,,,,,,,1,1,2,,,,900000,,2,2,2,,2,1,9,54,54,351.961.853.022.036
2776158,1,2,1,95,2,,,,,,,,1,2,2,,,,,98,2,1,2,,2,1,9,54,54,351.961.853.022.036
2776160,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,73,73,261.698.222.406.648
2776160,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,73,73,261.698.222.406.648
2776161,1,1,1,95,2,,,,,,,,1,2,2,,,,,1800000,2,1,2,,2,1,9,73,73,181.481.822.136.795
2776162,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,73,73,260.711.640.249.297
2776162,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,73,73,260.711.640.249.297
2776162,1,3,1,95,1,,2,2,167000,,,1,2,,,,,,,,,,,,,1,9,73,73,260.711.640.249.297
2776162,1,5,1,95,1,,2,2,250000,,,1,2,,,,,,,,,,,,,1,9,73,73,260.711.640.249.297
2776165,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,9,73,73,26.341.998.323.192
