DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;DPTO;ORDEN;fex_c_2011
1994050;1;6;2;1;1;1;1;1;3;1; ; ;130000000;600000; ;1;2;1;1;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;2;1;1;1;1;4;1;1;1;1;1;4;3;1;01;68;68;1;574,613193160333
1994051;1;6;1;1;1;1;1;1;3;1; ; ;160000000;700000; ;1;2;1;1;1;2;2;2;2;1;2;2;1;2;2;1;1;1;1;2;2;1;1;1;4;1;1;1;1;1;4;3;1;01;68;68;1;560,279978724604
1994052;1;4;3;1;1;1;1;1;3;3; ; ; ; ;400000;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;1;4;1;1;1;1;1;4;3;1;01;68;68;1;1111,45204815076
1994053;1;4;2;1;1;1;1;1;3;1; ; ;75000000;400000; ;1;1;1;1;1;1;2;2;1;1;2;2;2;2;1;1;1;1;1;2;2;1;2;1;4;1;1;1;1;1;4;3;1;01;68;68;1;1070,58599977178
1994054;1;4;1;1;1;1;1;1;3;4; ; ; ;400000; ;1;1;1;2;2;1;2;2;1;1;2;2;1;2;1;1;1;1;1;2;2;1;2;1;4;1;1;1;1;1;4;3;1;01;68;68;1;1091,79905992388
1994070;1;5;3;1;1;1;1;1;3;1; ; ;80000000;400000; ;1;1;1;1;1;1;2;2;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;3;3;1;01;68;68;1;586,255405034647
1994072;1;4;2;1;1;1;1;1;3;3; ; ; ; ;440000;1;2;1;1;1;1;2;2;1;1;2;1;1;2;1;1;1;1;1;1;2;1;2;1;4;1;1;1;1;1;4;3;1;01;68;68;1;1062,06914312672
1994073;1;4;3;1;1;1;1;1;3;1; ; ;150000000;550000; ;2;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;2;1;2;1;4;1;1;1;1;1;4;7;1;01;68;68;1;965,843749483675
1994074;1;4;2;1;1;1;1;1;3;2; ;780000;100000000;500000; ;1;2;1;1;1;1;2;2;1;1;2;2;1;2;1;1;1;1;1;1;2;1;2;1;4;1;1;1;1;1;4;7;1;01;68;68;1;1166,94054632041
1994075;1;4;1;1;1;1;1;1;3;1; ; ;120000000;560000; ;2;1;1;1;1;1;2;2;2;1;2;2;1;2;2;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;4;7;1;01;68;68;1;1184,79372483899
1994084;1;5;2;1;1;1;1;1;3;1; ; ;100000000;500000; ;1;1;1;2;2;2;2;2;2;1;1;2;2;2;2;1;1;1;1;1;2;1;1;1;4;1;1;1;1;1;3;3;1;01;68;68;1;407,085660123714
1994085;1;5;3;1;1;1;1;1;3;3; ; ; ; ;320000;1;2;1;1;1;1;2;2;2;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;3;3;1;01;68;68;1;437,902198414087
1994087;1;5;3;1;1;1;1;1;3;3; ; ; ; ;320000;1;2;1;2;2;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;1;1;4;1;1;1;1;1;3;3;1;01;68;68;1;437,293595266552
1994088;1;5;3;1;1;1;1;1;3;1; ; ;80000000;400000; ;1;1;1;2;2;1;2;2;2;1;2;2;1;2;1;1;1;1;1;2;2;1;1;1;4;1;1;1;1;1;4;3;1;01;68;68;1;481,021792407408
1994089;1;5;1;1;1;1;1;1;3;1; ; ;120000000;350000; ;1;1;1;2;1;2;2;2;1;1;2;2;1;2;2;1;1;1;1;1;2;1;1;1;4;1;1;1;1;1;4;3;1;01;68;68;1;476,352035459669
1994090;1;3;2;1;1;1;1;1;3;3; ; ; ; ;180000;1;2;1;2;2;2;2;2;2;1;2;1;2;2;1;1;1;1;1;1;2;1;1;1;4;1;1;1;1;1;2;3;1;01;68;68;1;328,518649428588
1994090;2;1;1;1;1;1;1;1;3;3; ; ; ; ;180000;2;2;1;2;2;2;2;2;2;1;2;1;2;2;1;1;1;1;1;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;68;68;1;328,518649428588
1994105;1;6;2;1;1;1;1;1;3;1; ; ;100000000;500000; ;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;4;3;1;01;68;68;1;601,526172155056
