DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;DPTO;ORDEN;fex_c_2011
2028006;1;1;1;6; ;4;3;5;5;1; ; ;99;40000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;5;3;1;1;2;2;2;2;1; ; ;01;2;44;1;1510,72953864059
2030635;1;3;2;6; ;4;3;5;5;3; ; ; ; ;20000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;2;1;2;2;2;2;1; ; ;01;2;13;1;903,328660725005
2030636;1;3;2;6; ;4;3;5;5;1; ; ;1000000;20000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;13;1;951,606346069525
2030650;1;2;1;2;1;4;4;5;5;1; ; ;1000000;15000; ;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;13;1;798,310513545135
2030651;1;3;1;2;2;4;3;5;3;4; ; ; ;30000; ;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;1;2;2;2;1; ; ;01;2;13;1;884,947315597616
2030652;1;3;2;2;1;4;3;5;5;1; ; ;1000000;10000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;13;1;860,516915784414
2030653;1;3;2;6; ;3;3;1;3;1; ; ;3000000;30000; ;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;1;1;1;2;1;1;2;2;2;1; ; ;01;2;13;1;848,027523664709
2030654;1;4;3;2;1;3;3;5;5;1; ; ;5000000;30000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;1; ; ;01;2;13;1;701,737377993578
2030658;1;4;2;2;1;4;3;1;3;1; ; ;5000000;20000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;1;1;1;2;2;2;1; ; ;01;2;13;1;919,991638806458
2030659;1;4;2;2;1;4;3;4;5;4; ; ; ;20000; ;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;1;1;4;2;1;2;2;2;2;1; ; ;01;2;13;1;995,445855182119
2030660;1;3;2;6; ;4;3;5;5;4; ; ; ;15000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;13;1;798,310513545135
2030661;1;3;2;2;1;4;3;5;5;4; ; ; ;30000; ;2;2;1;2;1;2;2;2;1;2;2;1;2;2;2;1;1;1;2;2;2;1;1;5;2;1;2;2;2;2;1; ; ;01;2;13;1;917,77427786551
2030662;1;3;2;2;1;4;1;1;4;3; ; ; ; ;50000;2;1;1;2;1;2;2;2;1;2;2;2;2;2;2;1;2;1;1;2;2;1;1;1;2;1;2;2;2;1;1; ;1;01;2;13;1;820,971753519035
2030663;1;5;2;2;1;1;1;5;5;1; ; ;6000000;30000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;1;2;1;2;2;1;1;1;1;2;01;2;13;1;798,310513545135
2030664;1;3;2;6; ;4;4;5;5;1; ; ;600000;10000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;13;1;987,52103206631
2030665;1;3;2;6; ;4;3;5;5;3; ; ; ; ;30000;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;1;1;2;2;2;2;1; ; ;01;2;13;1;970,737293099391
2030667;1;2;1;6; ;4;3;5;5;4; ; ; ;15000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;13;1;850,244884605658
2030668;1;4;3;6; ;4;3;5;5;1; ; ;5000000;30000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;13;1;850,339436043716
2030669;1;3;2;6; ;4;3;5;5;4; ; ; ;20000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;13;1;931,134032773156
2030670;1;4;2;6; ;4;4;5;5;4; ; ; ;20000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2; ; ; ;01;2;13;1;963,552985649526
2030671;1;3;2;2;1;3;4;5;5;4; ; ; ;15000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;13;1;804,188014552116
2030672;1;3;2;6; ;4;3;5;5;1; ; ;600000;10000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;13;1;919,991638806458
2030674;1;3;2;6; ;3;3;5;5;1; ; ;1000000;15000; ;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;13;1;859,198351894826
2030694;1;34;3;2;1;4;5;5;5;1; ; ;3000000;20000; ;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;1;1;1;1;1;2;2;2;2;1; ; ;01;2;13;1;959,531169185334
2030696;1;2;1;2;1;4;3;5;5;1; ; ;10000000;50000; ;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;13;1;898,643330835644
2030697;1;3;2;2;1;4;5;5;5;1; ; ;500000;50000; ;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;13;1;963,552985649526
2030698;1;3;2;2;1;1;3;1;5;1; ; ;8000000;80000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;1;2;1;1; ;01;2;13;1;833,197435369918
