DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;clase;DPTO;AREA;fex_c_2011
1994050;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;68;68;574,613193160333
1994050;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;48; ; ; ; ; ; ; ; ;1;68;68;574,613193160333
1994050;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;68;68;574,613193160333
1994051;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;1;68;68;560,279978724604
1994051;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;45; ;20; ; ; ; ; ; ;1;68;68;560,279978724604
1994052;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;68;68;1111,45204815076
1994052;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;1;68;68;1111,45204815076
1994052;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;68;68;1111,45204815076
1994052;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;68;68;1111,45204815076
1994053;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;68;68;1070,58599977178
1994053;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;68;68;1070,58599977178
1994053;1;3;1;90; ;2;1;2;2;2;2;1;2;2;2; ;6; ; ; ; ;4; ; ; ;1;68;68;1070,58599977178
1994054;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;7; ; ; ; ;5; ; ; ;1;68;68;1091,79905992388
1994070;1;1;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;12; ; ; ; ; ; ;1;68;68;586,255405034647
1994070;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;12; ; ; ; ; ; ;1;68;68;586,255405034647
1994070;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;1;68;68;586,255405034647
1994072;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;68;68;1062,06914312672
1994072;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;1;68;68;1062,06914312672
1994072;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;16; ; ; ; ; ; ; ; ;1;68;68;1062,06914312672
1994073;1;1;1;90; ;2;1;2;2;2;2;2;2;2;1; ;21; ; ; ; ; ; ; ;12;1;68;68;965,843749483675
1994073;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;1;68;68;965,843749483675
1994073;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;16; ; ; ; ; ; ; ; ;1;68;68;965,843749483675
1994074;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;68;68;1166,94054632041
1994074;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;1;68;68;1166,94054632041
1994074;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;1;68;68;1166,94054632041
1994075;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;68;68;1184,79372483899
1994084;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;68;68;407,085660123714
1994084;1;2;1;90; ;2;1;2;2;2;2;1;2;2;2; ;14; ; ; ; ;9; ; ; ;1;68;68;407,085660123714
1994084;1;3;1;90; ;2;1;2;2;2;2;2;2;2;1; ;15; ; ; ; ; ; ; ;8;1;68;68;407,085660123714
1994085;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;68;68;437,902198414087
1994085;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;30; ; ; ; ; ; ;1;68;68;437,902198414087
1994087;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;1;68;68;437,293595266552
1994087;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;68;68;437,293595266552
1994087;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;1;68;68;437,293595266552
1994087;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;68;68;437,293595266552
1994087;1;5;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;68;68;437,293595266552
1994088;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;1;68;68;481,021792407408
1994088;1;2;1;90; ;2;1;2;2;2;2;1;2;2;2; ;1; ; ; ; ;8; ; ; ;1;68;68;481,021792407408
1994088;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;1;68;68;481,021792407408
