DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4571112;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;320000;2;1;03;76;4066,6280639019
4571113;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;76;2137,25507244624
4571113;1;5;1;80;2;1;1;7; ;2; ; ;4; ;2; ;2; ;1;43;800000;2;1;03;76;2137,25507244624
4571113;1;6;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;76;2137,25507244624
4571115;1;4;1;80;2;1;1;8; ;2; ; ;8; ; ; ;2; ; ; ; ; ;1;03;76;3652,06465008204
4571119;1;1;1;80;2;1;4;9;SE RETIRO PORQUE NO DESEABA TRABAJAR;2; ; ;11; ;2; ;2; ; ; ; ;2;1;03;76;3175,39544175132
4571705;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;1134,96002180426
4571708;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;1194,40258518122
4571709;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;23;847,501754050915
4571759;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;1066,54424862245
4571760;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;2293,12726715651
4571760;1;5;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ; ; ; ; ;1;03;23;2293,12726715651
4571761;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;23;2481,72087655414
4571764;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;23;1471,9502028695
4571765;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;23;1507,16284005769
4571766;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;1069,42430168589
4571767;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;4266,1769944898
4571767;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;23;4266,1769944898
4571767;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;23;4266,1769944898
4571767;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;23;4266,1769944898
4571768;1;3;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;23;1691,50922610373
4571769;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;3302,89794084115
4571769;1;4;1;80;2;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;03;23;3302,89794084115
4571771;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;23;1449,38281637948
4571772;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;1153,85860818662
4571773;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;23;2634,39554038204
4571774;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;23;2481,72087655414
4571775;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;1229,12767521082
4571776;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;23;1118,64597099844
4571777;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;1559,86452059186
4571777;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;23;1559,86452059186
4571777;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;23;1559,86452059186
4571778;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;23;1484,59545356767
4571778;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;1484,59545356767
4571779;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;1066,54424862245
4571779;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;23;1066,54424862245
4571779;1;7;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;23;1066,54424862245
4571780;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;2661,48464286191
4571781;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;1449,38281637948
4571783;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;23;1609,04799308183
4571783;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;23;1609,04799308183
4571784;1;1;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;23;1847,32609782482
4571784;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;23;1847,32609782482
4571784;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;23;1847,32609782482
4571784;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;23;1847,32609782482
4571785;1;1;1;80;2;1;4;4; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;03;23;1422,72853355696
4571786;1;1;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;23;2099,48821198779
4571786;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;2099,48821198779
4571786;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;2099,48821198779
4571786;1;7;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;2099,48821198779
