DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;AREA;ESC;MES;DPTO;fex_c_2011
4561958;1;1;1;10;1;1;4;1998;19;1;1;2; ;2; ;1;2;1; ; ;1;1;31250;2;1;2; ;4;6; ; ;05;6;03;05;1452,23177927937
4561958;1;2;1;10;2;2;11;1989;28;2;1;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;03;05;1452,23177927937
4561958;1;3;1;10;2;1;9;2010;7;3; ;2; ;1;2; ; ;1; ; ;3; ; ;2;2;1;1;3;1; ; ;05;1;03;05;1452,23177927937
4561959;1;1;1;10;1;2;2;1954;64;1;3;3; ;3; ;1;2;1; ; ;1;2;97000;2;1;2; ;4;8; ; ;05;8;03;05;1174,95201149922
4561959;1;2;1;10;2;1;9;1949;68;2;3;3; ;3; ;1;1;1; ; ;1;5; ;2;1;2; ;3;5; ; ;05;5;03;05;1174,95201149922
4561960;1;1;1;10;1;1;2;1973;45;1;4;3; ;2; ; ; ;1; ; ;1;1;104000;2;1;2; ;6;5;4; ;05;16;03;05;1139,17623727894
4561961;1;1;1;10;1;1;10;1947;70;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;1; ; ;05;1;03;05;994,042537632145
4561961;1;2;1;10;2;2;1;1945;73;2;2;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;05;5;03;05;994,042537632145
4561961;1;3;1;10;3;2;11;1984;33;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;4;6; ; ;05;6;03;05;994,042537632145
4561961;1;4;1;10;4;1;9;2005;12;4;6;2; ;1;3; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;05;5;03;05;994,042537632145
