DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4691116;1;2;1;70;2;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ;32; ; ;1;1;08; ;66;2636,82854497348
4691134;1;1;1;70;2;24;24;1; ;2;28;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;450000;2; ;45;53;55;1;2;08;5529;66;2418,66345556074
4691140;1;2;1;70;2;32;48;1; ;2;32;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;79;55;52;1;2;08;5211;66;1290,93457466463
4691140;1;3;1;70;2;8;48;1; ;2;8;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;34;93;1;1;08;9309;66;1290,93457466463
4691147;1;4;1;70;2;12;48;1; ;2;50;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;53;97;15;1;1;08;1521;66;989,964554919694
4692082;1;4;1;70;2;8;48;1; ;2;9;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;45;52;1;1;08;5211;23;2354,42739657184
4692085;1;4;1;70;2;10;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;13; ; ;1;1;08; ;23;2353,63604601896
4692087;1;4;1;70;2;16;44;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;33; ; ;1;2;08; ;23;1035,59064038797
4692090;1;3;1;70;2;18;40;1; ;2;19;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;50;1;2;08;5051;23;1439,19823152159
4692092;1;2;1;70;2;26;48;1; ;2;26;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;59;59;85;1;2;08;8511;23;2001,35850797939
4692092;1;5;1;70;2;34;48;1; ;2;34;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;32;19;85;1;2;08;8532;23;2001,35850797939
4692096;1;2;1;70;2;3;40;3; ;2;3;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;230000;400000;2; ;54;54;95;1;1;08;9500;23;1341,19567314588
4692096;1;3;1;70;2;18;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;45; ; ;1;2;08; ;23;1341,19567314588
4692097;1;5;1;70;2;30;40;2; ;2;30;2; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1600000;2; ;13;13;80;1;2;08;8043;23;1035,59064038797
4692106;1;3;1;70;2;8;48;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;250000; ; ;54; ; ;1;1;08; ;23;2543,0127768425
4692107;1;1;1;70;2;6;48;1; ;2;6;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;59;54;95;1;1;08;9500;23;1180,0251041347
4692112;1;2;1;70;2;18;48;3; ;2;18;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;54;54;95;1;2;08;9500;23;2543,0127768425
4692117;1;1;1;70;2;10;48;3; ;2;18;3; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;600000;2; ;54;54;95;1;1;08;9500;23;1155,26198605246
4695271;1;1;1;70;2;7;40;2; ;2;7;2; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;1800000;2; ;13;13;80;1;1;08;8050;73;1470,50216654862
4695278;1;1;1;70;2;3;48;1; ;2;552;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;869453;2; ;45;33;92;1;1;08;9242;73;1416,67143766771
4695305;1;1;1;70;2;32;40;8; ;2;52;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;62;62;01;1;2;08;0121;73;2828,28820527192
4695342;1;3;1;70;2;1;40;8; ;2;2;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;240000;600000;2; ;62;62;01;1;1;08;0121;73;2241,17634579815
4695343;1;4;1;70;2;8;44;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;95;62;01;1;1;08;0111;73;4200,04471060851
4695347;1;2;1;70;2;4;44;1; ;2;24;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;33;53;15;1;1;08;1551;73;3208,3704880418
4695355;1;4;1;70;2;5;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;869453; ; ;45; ; ;1;1;08; ;73;3656,86799329767
