DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,CLASE,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,AREA,fex_c_2011
612200,1,1,70,154,48,1,,2,154,2,,9,1,,,1,,,,,,,,,2,,2,1,1,2,20,7512,75,17,17,174.240.290.483.991
612208,1,1,70,4,48,1,,2,4,4,,1,1,,,,,,,,,,1,,2,,2,1,1,79,79,5271,52,17,17,176.999.969.068.891
612209,1,4,70,12,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,45,,,,18,18,680.967.602.359.866
612213,1,1,70,1,60,4,,2,8,4,,1,7,,,,,,,,,,1,,2,,2,1,1,98,41,5272,52,18,18,775.225.186.469.162
612218,1,4,70,12,40,1,,2,48,4,,1,4,,,,,,,,,,1,,2,,2,1,1,45,99,5020,50,18,18,859.631.464.004.792
612220,1,8,70,1,54,4,,2,1,1,,5,7,,,,,,,,,,1,,2,,2,1,1,95,95,4521,45,18,18,72.988.938.911.398
612220,1,9,70,3,36,3,,2,8,3,,1,7,,,,,,,,,,1,,2,,2,1,1,54,54,9500,95,18,18,72.988.938.911.398
612229,1,2,70,12,40,1,,2,16,2,,9,1,,,,,,,,,,1,,2,,2,1,1,0,13,8060,80,18,18,723.642.280.200.276
612233,1,2,70,96,40,2,,2,144,2,,9,1,,,,,,,,,,1,,2,,2,1,1,30,20,7512,75,18,18,815.673.798.904.998
612239,1,1,70,4,40,1,,2,5,1,,2,1,,,,,,,,,,1,,2,,2,1,1,45,45,5262,52,18,18,776.043.648.610.507
612239,1,5,70,48,40,1,,2,72,1,,2,1,,,,,,,,,,1,,2,,2,1,1,45,45,5125,51,18,18,776.043.648.610.507
612244,1,4,70,3,48,2,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,13,,,,18,18,551.642.512.835.924
612258,1,3,70,1,48,1,,2,16,1,,5,7,,,,,,,,,,1,,2,,2,1,1,58,58,9192,91,18,18,995.719.556.870.677
612267,1,2,70,8,40,1,,2,12,1,,2,3,,,,,,,,,,1,,2,,2,1,1,45,84,5272,52,18,18,896.232.445.144.189
612269,1,1,70,52,48,2,,2,52,2,,9,1,,,,,,,,,,1,,2,,2,1,1,5,61,117,1,18,18,678.641.326.861.496
612273,1,1,70,8,48,1,,2,8,1,,2,1,,,,,,,,,,1,,2,,2,1,1,60,60,121,1,18,18,100.916.503.186.709
612278,1,5,70,12,48,1,,2,12,1,,2,4,,,,,,,,,,1,,2,,2,1,1,58,45,5125,51,18,18,520.946.297.912.384
612279,1,1,70,4,70,4,,2,4,4,,3,4,,,,,,,,,,1,,2,,2,1,1,95,61,121,1,18,18,613.628.039.931.201
612283,1,1,70,8,60,1,,2,10,2,,9,3,,,,,1,,,1,,,,2,,2,1,1,39,20,7512,75,18,18,515.143.415.166.219
612283,1,4,70,2,24,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,39,,,,18,18,515.143.415.166.219
612285,1,2,70,8,48,1,,2,8,1,,3,3,,,,,,,,,,1,,2,,2,1,1,45,45,5219,52,18,18,73.410.133.543.466
612288,1,1,70,2,24,4,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,57,,,,18,18,67.121.520.484.757
612299,1,1,70,12,48,4,,2,12,4,,2,1,,,,,,,,,,1,,2,,2,1,1,95,95,4521,45,20,20,104.186.970.962.614
612299,1,6,70,52,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,58,,,,20,20,104.186.970.962.614
612312,1,1,70,12,40,1,,2,12,1,,4,2,,,,,,,,,,1,,2,,2,1,1,32,32,6601,66,20,20,106.067.548.458.858
612315,1,3,70,2,48,1,,2,2,1,,6,1,,,,,,,,,,1,,1,98,2,1,1,8,3,4530,45,20,20,118.775.204.207.205
612315,1,4,70,22,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,13,,,,20,20,118.775.204.207.205
612319,1,2,70,8,40,1,,2,12,2,,9,1,,,,,,,,,,1,,2,,2,1,1,58,87,7524,75,20,20,102.303.606.042.235
612321,1,3,70,24,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,32,,,,20,20,116.569.741.958.203
612331,1,4,70,12,44,1,,2,12,2,,9,1,,,,,,,,,,1,,2,,2,1,1,33,33,6599,65,20,20,100.268.043.851.151
612334,1,1,70,48,48,4,,2,52,4,,1,2,,,,,,,,,,1,,2,,2,1,1,54,54,7493,74,20,20,919.121.410.340.266
612343,1,3,70,12,50,4,,2,12,4,,2,4,,,,,,,,,,1,,2,,2,1,1,95,95,4521,45,20,20,129.981.656.723.927
612343,1,4,70,4,50,4,,2,4,4,,2,4,,,,,,,,,,1,,2,,2,1,1,95,61,140,1,20,20,129.981.656.723.927
612346,1,3,70,4,50,4,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,45,,,,20,20,114.940.862.194.078
612347,1,3,70,24,48,1,,2,8,1,,4,4,,,,,,,,,,1,,2,,2,1,1,32,97,5211,52,20,20,829.511.350.688.699
612352,1,2,70,12,50,1,,2,12,4,,2,4,,,,,,,,,,1,,2,,2,1,1,84,84,5020,50,20,20,103.208.028.639.559
612357,1,1,70,8,25,4,,2,12,4,,1,4,,,,,,,,,,1,,2,,2,1,1,41,45,5261,52,23,23,114.708.000.947.603
612358,1,1,70,6,45,4,,2,6,4,,1,1,,,,,1,,,,,,,1,600000,2,1,1,84,84,7250,72,23,23,66.414.522.516.397
612361,1,4,70,8,45,1,,2,10,4,,1,4,,,,,,,,,,1,,2,,2,1,1,45,38,6421,64,23,23,987.923.016.443.058
612362,1,3,70,3,45,1,,2,4,1,,2,4,,,,,,,,,,1,,1,350000,2,1,1,95,95,4521,45,23,23,136.410.691.949.198
612367,1,2,70,28,56,4,,2,36,4,,1,4,,,,,,,,,,1,,2,,2,1,1,45,45,5262,52,23,23,118.318.802.769.883
612373,2,1,70,12,48,1,,2,16,1,,9,4,,,,,,,,,,1,,2,,2,1,1,58,45,5249,52,23,23,145.206.085.927.903
612381,1,1,70,6,48,4,,2,8,4,,1,1,,,,,,,,,,1,,2,,2,1,1,13,3,7421,74,23,23,736.051.164.974.085
612382,1,2,70,40,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,5,,,,23,23,135.013.791.602.156
612388,1,2,70,12,44,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,45,,,,23,23,160.935.973.518
612390,1,2,70,8,44,1,,2,52,1,,9,4,,,,,,,,,,1,,2,,2,1,1,45,45,5233,52,23,23,148.044.236.614.988
612393,1,3,70,8,48,2,,2,8,2,,9,1,,,,,,,,,,1,,2,,2,1,1,12,12,7523,75,23,23,161.979.715.403.457
612393,1,4,70,12,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,2,,,,23,23,161.979.715.403.457
612398,1,1,70,3,48,1,,2,3,1,,8,2,,,,,,,,1,,,,2,,2,1,1,97,97,4530,45,23,23,925.223.008.992.976
612402,1,2,70,8,40,1,,2,8,1,,9,2,,,,,,,,,,1,,2,,2,1,1,59,59,8512,85,41,41,966.677.159.896.113
612411,1,3,70,1,48,1,,2,100,1,,2,4,,,,,,,,,,1,,2,,2,1,1,53,45,5211,52,44,44,946.217.083.550.917
612416,1,3,70,60,48,3,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,54,,,,47,47,741.623.596.328.242
612430,1,3,70,7,48,4,,2,8,4,,1,4,,,,,,,,,,1,,2,,2,1,1,62,45,5155,51,47,47,924.002.142.780.291
612431,1,3,70,16,48,1,,2,16,1,,5,4,,,,,,,,,,1,,2,,2,1,1,19,19,8011,80,47,47,15.229.871.818.542
612431,1,5,70,12,48,1,,2,12,1,,2,4,,,,,,,,,,1,,2,,2,1,1,45,45,5252,52,47,47,15.229.871.818.542
612434,1,7,70,10,48,1,,2,30,1,,9,1,,,,,,,,,,1,,2,,2,1,1,33,43,2424,24,47,47,210.742.205.418.831
612440,1,2,70,12,48,1,,2,12,1,,6,4,,,1,,,,,,,,,2,,2,1,1,2,2,7421,74,47,47,952.051.389.601.242
612443,1,1,70,2,60,4,,2,2,4,,1,1,,,,,,,,,,1,,1,150000,2,1,1,95,95,4521,45,47,47,159.165.204.546.285
612443,1,3,70,12,48,1,,2,20,1,,5,1,,,,,,,,,,1,,2,,2,1,1,39,45,5219,52,47,47,159.165.204.546.285
612443,1,5,70,5,60,4,,2,5,4,,1,1,,,,,,,,,,1,,2,,2,1,1,95,95,4521,45,47,47,159.165.204.546.285
612443,1,6,70,3,60,4,,2,4,4,,1,3,,,,,,,,,,1,,1,60000,2,1,1,95,95,4521,45,47,47,159.165.204.546.285
612460,1,1,70,12,48,1,,2,8,4,,1,1,,,,,,,,,,1,,2,,2,1,1,58,95,4521,45,47,47,204.553.358.560.866
612470,1,3,70,30,48,1,,2,30,1,,8,8,,,,,,,,,,1,,2,,2,1,1,87,87,4530,45,47,47,741.623.596.328.242
612476,1,4,70,52,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,32,,,,47,47,149.470.213.782.696
612477,1,1,70,52,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,59,,,,47,47,136.427.527.201.261
612481,1,2,70,52,48,1,,2,104,1,,9,1,,,,,,,,,,1,,2,,2,1,1,21,39,6412,64,47,47,813.679.621.437.198
612482,1,3,70,9,48,2,,2,10,2,,5,2,,,,,,,,,,1,,2,,2,1,1,6,6,8511,85,47,47,98.632.702.561.248
612487,1,2,70,48,48,3,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,54,,,,47,47,286.541.502.579.005
612488,1,1,70,48,48,1,,2,96,1,,9,2,,,,,,,,,,1,,2,,2,1,1,37,39,5511,55,47,47,193.168.089.011.264
612490,1,1,70,4,48,1,,2,4,4,,1,4,,,,,,,,1,,,,2,,2,1,1,53,51,5521,55,47,47,207.358.283.242.961
612490,1,2,70,4,48,1,,2,8,1,,5,8,,,,,,,,,,1,,2,,2,1,1,53,53,5521,55,47,47,207.358.283.242.961
612496,1,3,70,4,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,58,,,,47,47,187.002.821.873.928
612505,1,3,70,52,24,1,,2,78,1,,8,4,,,,,,,,,,1,,2,,2,1,1,45,30,8060,80,47,47,25.275.501.177.833
612506,1,3,70,8,48,4,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,37,,,,47,47,143.090.057.082.772
612508,1,2,70,8,24,3,,2,52,3,,1,1,,,,,,,,,,1,,2,,2,1,1,54,54,9500,95,47,47,189.760.440.947.872
612510,1,1,70,8,48,3,,2,4,3,,1,1,,,,,,,,,,1,,2,,2,1,1,54,54,9500,95,47,47,165.297.909.508.494
612512,1,2,70,8,24,1,,2,999,4,,1,1,,,,,,,,1,,,,2,,2,1,1,45,45,5261,52,47,47,176.160.323.460.077
612519,1,3,70,24,48,2,,2,25,2,,9,1,,,,,,,,,,1,,2,,2,1,1,13,13,8060,80,47,47,148.324.719.265.648
612521,1,2,70,8,40,4,,2,12,1,,4,2,,,,,,,,,,1,,2,,2,1,1,86,86,5530,55,47,47,265.307.223.813.147
612521,1,3,70,104,32,1,,2,12,1,,4,4,,,,,,,,,,1,,2,,2,1,1,13,13,8012,80,47,47,265.307.223.813.147
612522,1,2,70,52,40,1,,2,108,1,,2,1,,,,,,,,,,1,,2,,2,1,1,55,54,8532,85,47,47,123.807.187.242.398
612534,1,1,70,52,48,4,,2,658,1,,2,5,,,,,,,,,,1,,2,,2,1,1,41,57,9302,93,50,50,161.831.751.533.929
612537,1,1,70,10,48,1,,2,10,1,,5,4,,,,,,,,,,1,,2,,2,1,1,33,33,5231,52,50,50,18.682.814.100.663
612541,1,1,70,60,48,2,,2,60,2,,9,1,,,,,,,,,,1,,2,,2,1,1,12,21,4100,41,50,50,1.659.176.431.295
612554,1,2,70,5,54,1,,2,5,1,,5,3,,,,,,,,,,1,,2,,2,1,1,95,95,4530,45,50,50,183.013.555.162.673
612554,1,3,70,24,48,1,,2,24,1,,4,4,,,,,,,,,,1,,2,,2,1,1,32,32,6021,60,50,50,183.013.555.162.673
612557,2,1,70,3,48,4,,2,8,1,,9,3,,,1,,,,,,,,,2,,2,1,1,59,59,8511,85,50,50,140.179.789.902.473
612566,1,3,70,4,40,1,,2,4,1,,5,9,PAGARIA PARTICULAR,,,,,,,,,1,,1,260000,2,1,1,32,32,5241,52,52,52,107.091.356.552.069
612579,1,4,70,4,48,1,,2,4,1,,2,4,,,,,,,,,,1,,1,150000,2,1,1,45,33,5522,55,52,52,361.684.625.330.962
612583,1,3,70,24,48,1,,2,24,4,,1,1,,,,,,,,,,1,,2,,2,1,1,45,54,8532,85,52,52,101.675.385.642.502
612595,1,1,70,32,24,1,,2,160,1,,9,6,,,,,,,,,,1,,2,,2,1,1,39,30,6422,64,52,52,176.809.067.729.551
612599,1,1,70,52,48,1,,2,52,1,,2,1,,,,,,,,,,1,,2,,2,1,1,98,98,6042,60,52,52,165.401.256.569.548
612604,1,2,70,40,48,1,,2,40,1,,5,4,,,,,,,,,,1,,2,,2,1,1,45,59,8513,85,52,52,17.980.801.303.932
612607,1,2,70,24,48,1,,2,24,1,,5,1,,,,,,,,,,1,,2,,2,1,1,45,37,6412,64,52,52,189.876.518.149.118
612608,1,1,70,4,48,1,,2,20,1,,2,1,,,,,,,,,,1,,2,,2,1,1,95,95,4521,45,52,52,170.279.439.641.544
612617,1,2,70,104,40,1,,2,104,1,,5,1,,,,,1,,,,,,,2,,2,1,1,45,45,5011,50,52,52,95.989.350.223.964
612632,2,2,70,12,48,1,,2,8,1,,2,1,,,,,,,,,,1,,2,,2,1,1,45,45,5233,52,63,98,373.832.491.919.524
612632,3,1,70,20,48,1,,2,208,1,,2,7,,,,,,,,,,1,,2,,2,1,1,39,53,5529,55,63,98,373.832.491.919.524
612633,1,2,70,52,48,3,,2,60,3,,1,1,,,,,,,,,,1,,2,,2,1,1,54,54,9500,95,63,98,211.240.514.943.484
612638,1,2,70,48,48,2,,2,20,1,,9,1,,,,1,,,,,,,,2,,2,1,1,34,84,1810,18,63,98,362.862.599.766.956
612638,1,3,70,4,48,4,,2,2,4,,1,1,,,,,,,,,,1,,1,400000,2,1,1,87,87,2811,28,63,98,362.862.599.766.956
612641,1,2,70,8,48,1,,2,24,1,,8,8,,,,,,,,,,1,,2,,2,1,1,39,39,6320,63,63,98,3.122.277.629.877
612654,1,3,70,48,48,2,,2,48,1,,2,1,,,,,,,,,,1,,2,,2,1,1,8,58,7020,70,63,98,129.792.869.125.037
612662,1,1,70,8,20,3,,2,96,3,,1,1,,,,,,,,,,1,,2,,2,1,1,54,54,9500,95,63,98,45.362.218.452.225
612667,1,2,70,48,20,4,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,81,,,,63,98,509.869.282.171.191
612668,1,1,70,220,48,1,,2,48,2,,9,1,,,,,,,,,1,,VIVIR DE SU PENSION,2,,2,1,1,98,39,7524,75,63,98,616.612.359.653.817
612669,1,1,70,3,48,1,,2,4,1,,2,4,,,,,,,,,,1,,2,,2,1,1,84,84,5020,50,63,98,269.312.963.918.984
612672,1,2,70,16,20,1,,2,32,3,,1,1,,,,,,,,,,1,,2,,2,1,1,54,54,9500,95,63,98,20.057.774.161.437
612677,1,2,70,8,20,4,,2,8,4,,1,2,,,,,,,,,,1,,2,,2,1,1,54,54,7493,74,63,98,55.634.111.954.161
612677,1,3,70,12,48,1,,2,16,1,,5,4,,,,,,,,,,1,,2,,2,1,1,53,95,4521,45,63,98,55.634.111.954.161
