DIRECTORIO;AREA;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;P5070;DPTO;ORDEN;fex_c_2011
611992;5;1;3;1;1;1;1;1;1;3;;;;;280000;1;1;1;1;1;1;1;2;2;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;1;1;5;1;880.321.363.552.371
611995;5;1;5;3;1;1;1;1;1;1;;;300000000;2000000;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;1;2;1;5;1;2;1;1;1;5;2;1;1;1;5;1;72.302.120.164.218
611997;5;1;5;3;1;1;1;1;4;2;;6330000;200000000;1000000;;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;2;1;5;1;2;1;1;1;5;2;1;1;1;5;1;748.480.898.177.083
611998;5;1;6;3;1;1;1;1;4;1;;;220000000;1000000;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;1;1;1;4;1;2;1;1;1;4;2;1;1;1;5;1;650.071.271.828.573
611999;5;1;8;2;1;1;1;1;1;1;;;120000000;900000;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;1;1;4;1;2;1;1;1;4;2;1;1;1;5;1;818.924.389.429.445
612000;5;1;5;1;1;1;1;1;3;3;;;;;1400000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;2;1;2;1;4;1;1;1;1;1;5;2;1;1;1;5;1;736.927.942.486.402
612001;5;1;6;4;1;1;1;1;3;1;;;99;1500000;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1;1;2;1;4;1;1;1;1;1;5;2;1;1;1;5;1;715.400.382.362.216
612002;5;1;4;1;1;1;1;1;3;1;;;250000000;1400000;;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;1;1;1;2;1;4;1;1;1;1;1;5;2;1;1;1;5;1;818.924.389.429.445
612004;13;1;6;2;1;1;1;1;3;1;;;110000000;350000;;1;2;2;2;1;1;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;2;3;1;1;1;13;1;350.369.675.761.602
612005;13;1;3;2;1;1;1;1;3;1;;;50000000;300000;;1;1;2;1;1;1;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;2;3;1;1;1;13;1;432.372.198.160.853
612006;13;1;2;1;1;1;1;1;3;3;;;;;220000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;1;4;1;1;1;1;1;2;3;1;1;1;13;1;620.367.035.786.091
