DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P6016,P6020,P6030,P6030S1,P6030S3,P6050,P6060,P6060S1,P6070,P6081S1,P6081,P6082,P6083S1,P6083,P6084,P6085,P6071S1,P6071,P6085S1,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6992,P6992S1,P6160,P6170,P6175,P6180,P6180S1,P6180S2,P6190,P6190S1,P6200,P6200S1,P6210,P6210S1,P6220,P6177,P6177S1,P6040,DPTO,fex_c_2011
611992,1,1,5,10,1,1,1,7,1960,1,2,,6,,3,2,,3,1,2,,,,2,1,5,,,,2,5,,1,2,,,,,,,,,6,7,5,,,47,5,880.321.363.552.371
611995,1,1,5,10,1,2,1,7,1940,1,2,,5,,3,5,,2,3,2,,,,1,,,1,2,350000,2,,.,1,2,,,,,,,,,6,5,4,,,67,5,72.302.120.164.218
611995,1,2,5,10,2,1,1,11,1974,3,2,,6,,3,5,1,1,,2,,,,1,,,1,1,90000,2,,.,1,2,,,,,,,,,6,10,5,,,33,5,72.302.120.164.218
611995,1,3,5,10,3,2,1,9,1966,6,2,,4,,2,2,,2,2,2,,,,1,,,1,1,18460,2,,.,1,2,,,,,,,,,5,11,2,,,41,5,72.302.120.164.218
611997,1,1,5,10,1,1,1,10,1940,1,2,,2,,3,2,,3,2,2,2,1,,1,,,1,3,67000,2,,.,1,2,,,,,,,,,3,1,,,,67,5,748.480.898.177.083
611997,1,2,5,10,2,2,1,3,1965,2,2,,2,,3,2,,2,2,2,1,1,,1,,,1,5,,2,,.,1,2,,,,,,,,,5,11,2,,,43,5,748.480.898.177.083
611997,1,3,5,10,3,2,1,2,1975,6,2,,3,,2,2,,3,3,2,,2,,2,2,,,,,2,8,SE CAMBIA MUCHO DE CIUDAD POR ESO NO SE HA AFILIADO,1,2,,,,,,,,,3,4,,,,33,5,748.480.898.177.083
611998,1,1,5,10,1,2,1,10,1935,1,2,,6,,3,3,,3,3,2,,,,1,,,1,3,97200,2,,.,1,2,,,,,,,,,5,11,2,,,72,5,650.071.271.828.573
611998,1,2,5,10,2,2,1,8,1940,5,2,,6,,3,5,,3,3,2,,,,1,,,1,2,98000,2,,.,1,2,,,,,,,,,5,11,2,,,67,5,650.071.271.828.573
611999,1,1,5,10,1,2,1,2,1939,1,2,,6,,3,2,,3,2,2,,,,1,,,1,2,320000,2,,.,1,2,,,,,,,,,6,4,4,,,69,5,818.924.389.429.445
