DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S4;P7510S6;P7510S2A1;P7510S4A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;CLASE;P7510S7A1;P7510S7;DPTO;AREA;fex_c_2011
611992;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;5;5;880.321.363.552.371
611995;1;1;95;1;;2;1;;3000000;;2;1;2;;2;;;;;;12000000;2;1;2;1;;2;5;5;72.302.120.164.218
611995;1;2;95;2;;;;;;;;1;2;;1;;;540000;1800000;;;1;2;2;1;;2;5;5;72.302.120.164.218
611995;1;3;95;2;;;;;;;;1;2;;1;;;40800;;;;2;2;2;1;;2;5;5;72.302.120.164.218
611997;1;1;95;2;;;;;;;;1;2;;2;;;;80000000;;;1;2;2;1;;2;5;5;748.480.898.177.083
611997;1;2;95;1;;1;2;;;300000;2;2;;;;;;;;;;;;;1;;;5;5;748.480.898.177.083
611997;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;5;5;748.480.898.177.083
611998;1;1;95;2;;;;;;;;1;2;;2;9000000;;;1200000;;9000000;1;1;1;1;;2;5;5;650.071.271.828.573
611998;1;2;95;1;;2;1;;900000;;2;1;2;;2;;;;2400000;;;1;2;2;1;;2;5;5;650.071.271.828.573
611999;1;1;95;1;;2;1;;2100000;;2;2;;;;;;;;;;;;;1;;;5;5;818.924.389.429.445
611999;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;5;5;818.924.389.429.445
612000;1;1;95;1;;1;2;;;5000000;2;2;;;;;;;;;;;;;1;;;5;5;736.927.942.486.402
612001;1;1;95;2;;;;;;;;1;2;;1;;;600000;;;;2;2;2;1;;2;5;5;715.400.382.362.216
612001;1;2;95;2;;;;;;;;1;2;;1;;;600000;;;;2;2;2;1;;2;5;5;715.400.382.362.216
612001;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;5;5;715.400.382.362.216
612001;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;5;5;715.400.382.362.216
612002;1;1;95;1;;1;1;;480000;5000000;2;2;;;;;;;;;;;;;1;;;5;5;818.924.389.429.445
612002;1;2;95;1;;2;1;;461500;;2;2;;;;;;;;;;;;;1;;;5;5;818.924.389.429.445
612004;1;1;95;1;;2;1;;500000;;2;2;;;;;;;;;;;;;1;;;13;13;350.369.675.761.602
612004;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;350.369.675.761.602
612004;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;350.369.675.761.602
612004;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;350.369.675.761.602
612005;1;1;95;2;;;;;;;;1;2;;2;;;;;;2400000;2;1;2;1;;2;13;13;432.372.198.160.853
612005;1;2;95;2;;;;;;;;1;2;;2;;;;;;3600000;2;1;2;1;;2;13;13;432.372.198.160.853
612006;1;1;95;2;;;;;;;;1;2;;2;;;;;;3600000;2;1;2;1;;2;13;13;620.367.035.786.091
612006;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;620.367.035.786.091
612006;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;620.367.035.786.091
612008;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;277.136.113.523.913
612008;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;277.136.113.523.913
612008;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;277.136.113.523.913
612008;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;277.136.113.523.913
612008;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;277.136.113.523.913
612009;1;1;95;1;;2;1;;2200000;;2;2;;;;;;;;;;;;;1;;;13;13;320.094.964.834.771
612009;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;320.094.964.834.771
612009;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;320.094.964.834.771
612009;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;320.094.964.834.771
612009;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;320.094.964.834.771
